@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1}

@data
100,100,23,17,125,126,25,class_0
105,103,18,12,120,127,35,class_0
114,115,21,24,135,135,28,class_0
115,116,28,27,135,135,24,class_0
105,110,35,33,122,123,22,class_0
105,102,33,24,122,125,24,class_0
95,96,20,36,113,120,22,class_0
112,120,26,30,122,120,12,class_0
108,113,27,30,130,138,30,class_0
108,111,26,25,123,127,33,class_0
81,111,14,13,125,129,34,class_0
112,120,26,26,126,128,26,class_0
103,110,36,41,115,120,20,class_0
105,111,33,36,125,120,22,class_0
112,121,26,24,127,135,35,class_0
112,116,26,30,128,138,30,class_0
81,115,22,2,124,136,33,class_0
112,121,32,29,115,124,26,class_0
81,123,26,36,116,124,40,class_0
105,118,26,12,113,119,48,class_0
116,115,35,30,126,126,35,class_0
105,118,36,2,122,128,30,class_0
81,111,26,29,122,128,33,class_0
112,126,35,27,115,125,32,class_0
108,96,15,24,78,121,35,class_0
114,126,18,2,77,126,30,class_0
114,121,14,12,129,129,36,class_0
111,115,22,30,132,139,39,class_0
123,126,25,29,100,113,26,class_1
126,121,26,27,110,115,24,class_1
120,123,25,30,124,126,29,class_1
123,118,22,27,124,135,28,class_1
111,109,15,14,105,130,30,class_1
114,121,22,24,123,128,18,class_1
113,118,32,35,120,135,7,class_1
112,115,27,31,105,127,10,class_1
116,120,36,30,120,130,25,class_1
113,121,4,2,110,120,25,class_1
112,120,28,36,125,130,25,class_1
100,116,23,30,106,110,20,class_1
105,102,23,27,111,116,16,class_1
105,116,36,24,113,114,10,class_1
113,118,26,27,105,115,11,class_1
103,121,25,24,100,105,14,class_1
105,111,26,25,99,88,2,class_1
114,120,25,25,102,110,22,class_1
108,96,26,31,94,115,13,class_1
114,110,27,36,116,111,22,class_1
103,121,26,30,112,114,20,class_1
114,126,20,30,118,127,22,class_1
120,116,22,29,115,124,25,class_1
126,120,14,24,118,127,12,class_1
115,115,18,30,127,132,33,class_1
112,120,22,36,127,127,10,class_1
