@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute class {class_0,class_1}

@data
41081,1456164,0.5,0,1,239,5.9,221,class_0
44286,1602171,0.5,0,1,225,4,246,class_0
102926,1601936,0.5,0,1,224,-4.9,61,class_0
25927,1776411,0.5,0,1,184,9.8,168,class_0
42643,1351184,0.5,0,1,250,6,164,class_0
31342,1790863,0.5,1,1,196,7.7,260,class_0
22815,1633386,0.5,1,1,200,0.5,27,class_0
16629,1618757,0.5,1,1,273,4,308,class_0
22315,1567602,0.5,1,1,216,2.8,93,class_0
77961,1060057,3,0,1,267,2.6,73,class_0
73178,715581,3,0,1,263,1.1,25,class_0
76167,620145,3,0,1,228,0,133,class_0
123730,1068423,3,0,0,261,3.4,203,class_0
25569,721436,3,1,0,253,5.9,159,class_0
33803,1019352,3,1,1,234,0.1,264,class_0
24512,667785,3,1,1,238,0.8,34,class_0
50545,961097,3,1,0,230,7,146,class_0
50690,1220677,3,1,1,207,1.5,212,class_0
84616,48815,24,0,1,254,3.9,155,class_0
89454,83504,24,0,2,198,4.2,214,class_0
37928,20323,24,1,1,237,2.5,224,class_0
31097,33224,24,1,2,236,5.9,380,class_0
35395,4142,72,0,2,251,4.1,39,class_0
18270,2364,72,0,1,223,4,153,class_0
11519,2423,72,1,2,226,2.2,168,class_0
1334,3242,72,1,1,240,6.7,159,class_0
55153,16885,24,0,1,256,-4.7,190,class_1
48829,22395,24,0,1,247,-2.8,101,class_1
12816,15985,24,1,1,293,3.1,151,class_1
23734,25895,24,1,1,288,9.7,285,class_1
5625,1979,72,0,1,298,12.8,164,class_1
7497,1659,72,0,1,260,7.3,364,class_1
6250,928,72,1,1,272,11,484,class_1
3184,1608,72,1,1,249,-4.4,191,class_1
