@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute class {class_0,class_1}

@data
8,0,0,21,1,5.1,35,0,2,1,class_0
9,0,0,42,1,4.95,57,2,2,1,class_0
12,0,1,17,1,7.5,35,2,2,2,class_0
16,0,1,11,1,13.28,33,2,2,1,class_0
12,0,1,17,0,11.35,35,2,2,2,class_0
8,1,1,27,1,6.5,41,2,2,2,class_0
9,1,1,29,1,19.98,44,2,2,2,class_0
12,0,1,37,1,7.3,55,2,2,0,class_0
7,1,1,44,1,8,57,2,2,2,class_0
12,0,1,26,0,22.2,44,2,2,1,class_0
12,0,1,33,1,20.55,51,2,2,2,class_0
12,0,0,16,0,5.71,34,2,2,1,class_0
7,0,1,42,0,7,55,1,2,1,class_0
11,1,1,14,1,4.5,31,1,2,2,class_0
12,0,1,23,1,9.56,41,2,2,2,class_0
6,1,1,45,1,5.75,57,2,2,1,class_0
12,0,1,8,1,9.36,26,2,2,1,class_0
10,0,1,30,1,6.5,46,2,2,2,class_0
12,0,0,8,1,3.35,26,2,2,1,class_0
12,0,1,8,1,4.75,26,2,2,2,class_0
8,0,1,19,1,4.7,33,2,2,2,class_0
12,1,1,20,1,7.61,38,1,2,0,class_0
12,0,1,35,0,10,53,1,2,0,class_0
14,1,1,10,1,12.2,30,2,2,1,class_0
14,1,1,14,0,11,34,2,2,1,class_0
12,0,1,14,1,12,32,2,2,1,class_0
9,0,0,16,1,4.85,31,2,2,1,class_0
7,1,0,15,1,6,28,2,2,1,class_0
16,0,1,12,1,15,34,2,2,1,class_0
8,0,1,33,0,9,47,2,2,2,class_0
12,0,1,9,1,6.36,27,2,2,1,class_0
12,0,1,7,1,9.15,25,2,2,2,class_0
16,0,1,13,0,11,35,2,2,1,class_0
12,0,0,7,1,4.5,25,2,2,1,class_0
12,0,0,16,1,4.8,34,2,2,1,class_0
10,0,1,13,1,6.75,29,2,2,1,class_0
12,0,0,28,1,5,46,2,2,1,class_0
12,0,1,24,0,10.75,42,2,2,0,class_0
3,1,1,55,1,7,64,0,2,1,class_0
10,0,1,27,1,9,43,2,2,0,class_0
12,1,1,19,0,13,37,1,2,1,class_0
12,0,1,19,0,12.22,37,2,2,0,class_0
12,0,0,38,1,6.28,56,2,2,1,class_0
10,1,1,41,0,6.75,57,1,2,1,class_0
14,0,1,20,0,16,40,2,2,2,class_0
10,0,1,15,1,5.25,31,2,2,2,class_0
8,1,1,8,1,3.5,22,0,2,1,class_0
8,1,0,39,1,4.22,53,2,2,1,class_0
6,0,0,43,0,3,55,0,2,1,class_0
11,1,0,25,0,4,42,2,2,1,class_0
12,0,1,11,0,10,29,2,2,2,class_0
12,0,1,12,1,5,30,1,2,2,class_0
12,1,1,35,0,16,53,2,2,1,class_0
12,0,1,16,0,13.26,34,2,2,2,class_0
11,0,1,18,0,5.5,35,2,2,2,class_0
12,0,0,18,1,8.93,36,2,2,2,class_0
11,1,1,37,0,9.75,54,2,2,1,class_0
12,1,1,2,1,6.73,20,2,2,1,class_0
12,0,1,23,1,7.78,41,2,2,1,class_0
12,1,0,10,1,3.35,28,1,2,1,class_0
12,0,1,23,1,19.98,41,2,2,1,class_0
12,0,1,8,0,8.5,26,1,2,2,class_0
15,0,0,9,1,9.75,30,2,2,1,class_0
12,0,1,33,0,15,51,2,2,0,class_0
12,0,0,19,1,8,37,2,2,1,class_0
