@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute class {class_0,class_1}

@data
10,5,4.6,2,6,6,11,2,0,3,20,1,class_0
1,1,4.6,1,4,6,4,3,19,3,8,11,class_0
5,1,0,0,4,16,8,2,4,2,2,12,class_0
0,5,0,0,6,16,11,3,14,3,0,0,class_0
9,5,4.7,2,8,6,13,0,0,3,12,11,class_0
11,1,4.8,2,6,6,8,2,4,8,0,1,class_0
3,1,4.7,1,3,6,8,0,4,0,21,12,class_0
0,6,5,0,1,6,4,3,0,0,11,9,class_0
10,1,5,2,1,6,11,2,10,0,0,0,class_0
10,1,4.7,4,6,16,11,2,4,0,22,12,class_0
10,1,4.7,2,4,6,11,3,0,0,0,12,class_0
3,5,4.7,2,4,9,8,2,3,3,3,3,class_0
2,5,0,2,4,6,11,3,19,3,1,12,class_0
1,1,4.3,1,4,6,11,2,0,0,3,12,class_0
2,5,4.6,0,8,2,4,3,4,0,0,9,class_0
11,1,4.6,0,8,6,4,3,0,3,0,11,class_0
8,1,4.6,2,8,6,11,3,4,0,12,12,class_0
2,1,4.5,2,4,16,8,2,4,0,4,12,class_0
1,1,5,0,4,16,11,3,4,2,12,12,class_0
11,1,4.8,2,8,6,11,3,4,0,0,9,class_0
2,1,0,2,6,6,6,3,4,3,20,3,class_0
2,6,0,1,8,2,4,2,0,0,0,12,class_0
10,5,5,0,6,16,11,2,0,3,0,1,class_0
2,1,0,1,4,6,6,3,16,3,11,12,class_0
2,1,4.6,0,1,6,11,3,16,3,21,12,class_0
2,1,4.9,4,8,15,4,3,4,0,0,12,class_0
9,5,4.6,1,1,6,11,3,0,0,12,12,class_0
0,5,4.5,2,6,16,11,3,16,0,0,11,class_0
3,3,0,2,4,16,4,3,17,0,0,12,class_0
10,5,4,4,1,6,11,2,4,0,0,12,class_0
2,6,4.5,4,8,6,4,3,16,0,0,9,class_0
0,1,5,0,6,16,11,3,4,1,0,11,class_0
9,5,0,2,4,16,8,3,16,15,20,12,class_0
2,1,5,6,8,2,4,0,4,0,0,5,class_0
0,7,4.7,0,8,16,11,0,16,0,0,0,class_0
2,4,4.9,1,6,2,8,0,0,3,0,9,class_0
2,5,0,4,1,6,4,3,0,0,2,12,class_0
10,1,4,4,1,16,11,0,17,3,0,9,class_0
10,5,5,2,1,6,4,3,0,3,12,11,class_0
2,1,0,1,4,2,11,3,4,0,1,9,class_0
2,1,4.8,1,8,6,8,3,4,0,17,12,class_0
2,6,0,4,4,16,4,0,0,0,0,1,class_0
2,6,0,2,4,16,13,3,19,3,20,12,class_0
10,5,4.8,1,6,16,4,3,4,8,1,11,class_0
2,1,4.7,1,6,16,8,3,0,0,0,11,class_0
2,5,0,0,8,6,6,3,16,22,0,9,class_0
0,5,4.8,0,6,6,8,0,0,0,0,1,class_0
3,5,4.7,2,4,6,8,2,16,3,20,3,class_0
2,5,4.6,0,1,6,4,3,4,0,0,12,class_0
2,6,0,0,4,6,11,3,4,2,22,12,class_0
2,5,4.7,0,8,6,11,3,4,8,0,12,class_0
8,1,5,2,4,6,6,3,0,0,0,0,class_0
9,1,3.6,1,8,16,4,3,16,21,2,12,class_0
10,5,4.6,0,4,6,4,3,0,0,12,7,class_0
10,5,0,0,8,16,11,2,4,3,0,12,class_0
2,1,0,0,4,6,8,0,4,0,12,0,class_0
10,1,4.6,2,8,6,4,3,16,0,0,9,class_0
6,1,4.9,1,1,6,8,3,16,3,0,11,class_0
3,1,4.3,0,6,2,11,0,0,0,0,0,class_0
2,1,4.7,2,1,6,11,0,4,0,0,1,class_0
2,1,0,1,4,2,11,3,4,0,12,12,class_0
3,4,4.7,0,6,6,11,0,0,3,0,11,class_0
3,4,4.5,1,6,6,11,3,4,3,21,12,class_0
10,4,4.7,0,6,15,11,3,4,0,0,12,class_0
2,4,0,0,4,16,13,0,19,0,12,0,class_0
3,6,5,0,8,6,11,3,19,0,12,12,class_0
10,5,4.8,0,4,16,11,0,0,0,22,12,class_0
2,1,3.7,0,1,2,4,0,0,0,0,12,class_0
3,1,0,6,4,2,4,0,4,22,1,3,class_0
2,1,0,1,8,7,8,3,11,14,1,12,class_0
2,3,4.9,4,4,6,13,3,0,0,0,3,class_0
1,1,4.3,2,4,6,4,3,11,22,22,9,class_0
2,1,4.5,0,6,6,8,3,4,0,0,12,class_0
10,4,4.7,2,8,11,11,0,14,0,21,12,class_0
10,4,4.3,0,8,16,11,3,19,22,12,12,class_0
3,6,4.8,0,4,11,11,3,16,3,21,12,class_0
2,5,4.6,4,4,6,4,3,4,0,0,12,class_0
11,6,4.7,0,4,15,11,3,11,0,12,12,class_0
2,4,4.6,0,7,6,4,3,16,0,1,12,class_0
2,1,4.1,2,1,16,4,0,0,3,21,0,class_0
10,1,5,2,6,16,11,2,4,0,22,12,class_0
2,1,0,2,6,6,13,3,14,2,0,12,class_0
2,4,5,0,4,11,11,2,21,0,0,14,class_0
2,1,5,2,8,6,11,3,0,3,21,12,class_0
2,1,4.3,4,4,2,4,3,4,0,12,9,class_0
2,5,4.6,0,6,6,4,3,4,22,12,12,class_0
2,1,4.6,2,4,6,11,3,0,3,21,12,class_0
2,1,4.7,4,4,6,6,2,0,3,0,0,class_0
2,4,4.8,0,6,6,11,3,4,0,0,11,class_0
2,1,4.8,2,1,16,8,0,0,3,8,11,class_0
10,4,4.8,2,1,16,4,3,4,0,0,11,class_0
2,4,4.8,0,4,6,11,0,3,3,0,11,class_0
0,1,5,2,4,11,11,2,0,3,20,12,class_0
2,5,4.9,0,7,6,11,2,19,0,21,11,class_0
2,6,4.6,2,7,6,4,3,2,0,0,12,class_0
2,1,4.8,2,7,6,13,3,0,0,0,11,class_0
2,1,0,2,7,6,4,3,4,8,9,12,class_0
2,1,4.7,1,4,16,6,3,0,2,0,11,class_0
8,7,5,2,4,11,11,3,3,3,10,0,class_0
2,1,4.9,2,1,16,11,0,16,0,0,0,class_0
2,5,4.4,2,8,16,16,0,4,0,0,0,class_0
8,7,0,2,4,16,14,3,8,16,1,0,class_0
8,1,5,2,8,6,2,2,16,0,12,0,class_0
8,0,4.8,0,8,6,11,2,0,0,8,0,class_0
8,0,4.5,1,6,0,4,0,0,0,0,0,class_0
8,7,4.9,2,4,14,9,2,0,3,2,0,class_0
8,1,5,2,4,14,11,3,16,0,0,0,class_0
8,7,4.8,1,4,14,11,2,9,12,2,0,class_0
8,7,0,2,8,14,11,3,16,3,2,0,class_0
8,1,4.8,1,0,14,11,2,0,0,16,0,class_0
8,7,4.9,2,4,14,11,3,19,3,2,0,class_0
8,6,4.8,4,4,16,11,2,0,0,0,0,class_0
8,7,4.2,1,8,16,11,0,0,0,12,0,class_0
2,5,4.4,0,6,6,11,0,0,0,0,0,class_0
8,7,4.1,2,8,10,8,3,4,11,1,0,class_0
8,7,0,2,8,6,4,3,0,0,9,0,class_0
2,2,4.6,2,6,14,11,2,0,0,2,0,class_0
8,7,4.7,1,8,11,11,2,22,3,2,0,class_0
8,7,4.5,2,4,16,3,0,0,0,12,0,class_0
8,1,4.7,0,4,14,11,2,17,3,2,12,class_0
8,2,4.8,2,6,14,11,4,0,16,0,0,class_0
8,2,4.6,2,6,11,11,3,0,3,0,0,class_0
8,6,4.7,2,8,6,11,2,4,3,4,0,class_0
3,1,4.4,0,4,14,11,2,21,19,19,12,class_0
8,1,5,2,4,6,11,0,0,0,0,0,class_0
8,7,4.8,0,4,14,11,3,16,3,2,0,class_0
