@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute class {class_0,class_1}

@data
1980,53,1,1,24,0.727,1,2.34,286,304,class_0
1980,56,0,1,25,0.781,1,3.23,149,251,class_0
1982,53,1,1,23,0.676,1,3.1,286,296,class_0
1982,44,0,1,18,0.75,1,3.34,105,224,class_0
1983,26,1,1,19,0.76,1,2.37,139,243,class_0
1983,34,0,1,24,0.706,1,3.66,148,261,class_0
1984,51,1,1,20,0.769,1,3.64,213,245,class_0
1984,61,0,0,9,0.75,35,1.92,120,140,class_0
1985,13,1,1,24,0.857,1,1.53,268,277,class_0
1985,4,0,1,20,0.769,1,2.87,158,235,class_0
1986,39,1,1,18,0.643,1,2.22,306,275,class_0
1986,46,0,1,24,0.857,1,2.48,238,254,class_0
1987,52,1,0,5,0.625,42,2.83,74,89,class_0
1987,46,0,1,20,0.69,1,2.97,256,282,class_0
1988,42,1,1,23,0.742,2,2.26,178,267,class_0
1988,19,0,1,24,0.774,1,2.64,193,255,class_0
1989,37,1,0,6,0.571,44,1.85,92,93,class_0
1989,4,0,1,23,0.793,1,2.16,193,262,class_0
1990,10,1,1,22,0.786,1,2.76,131,231,class_0
1990,8,0,1,27,0.818,1,2.95,127,238,class_0
1991,57,1,1,20,0.655,1,2.55,192,247,class_0
1991,46,0,1,19,0.643,1,2.41,241,271,class_0
1992,22,1,1,20,0.645,1,2.18,199,268,class_0
1992,11,0,0,7,0.875,51,1.91,93,80,class_0
1980,29,1,1,20,0.625,1,3.55,127,256,class_1
1980,6,1,0,5,0.385,28,2.65,76,102,class_1
1980,59,1,0,9,0.474,25,2.56,68,137,class_1
1980,38,0,1,22,0.71,1,2.54,180,284,class_1
1980,15,0,0,12,0.632,33,3.09,37,128,class_1
1980,21,0,0,6,0.75,33,2.27,103,99,class_1
1982,55,1,1,19,0.704,1,2.4,179,277,class_1
1982,6,1,0,9,0.529,36,2.9,61,102,class_1
1982,20,1,0,8,0.444,30,2.34,68,119,class_1
1982,34,0,1,19,0.559,1,3.53,124,240,class_1
1982,15,0,0,9,0.563,35,2.57,46,137,class_1
1982,21,0,0,4,0.444,30,2.23,102,93,class_1
1983,40,1,1,17,0.567,1,2.7,242,274,class_1
1983,35,1,0,4,0.286,29,1.65,91,103,class_1
1983,0,1,0,8,0.667,25,2.26,100,92,class_1
1983,48,0,1,22,0.759,1,3.23,137,240,class_1
1983,15,0,0,5,0.625,45,1.94,48,139,class_1
1983,5,0,0,8,0.444,33,2.85,65,145,class_1
1984,25,1,1,20,0.588,1,3.34,147,261,class_1
1984,6,1,0,5,0.417,45,1.54,77,123,class_1
1984,35,1,0,9,0.563,33,3.65,112,98,class_1
1984,36,0,1,20,0.645,1,2.79,128,261,class_1
1984,1,0,1,19,0.731,1,2.87,170,245,class_1
1984,15,0,0,6,0.667,44,2.64,41,129,class_1
1985,32,1,1,21,0.724,1,1.93,169,275,class_1
1985,30,1,0,2,0.2,41,3.18,67,88,class_1
1985,35,1,0,7,0.636,33,3.04,112,98,class_1
1985,49,0,1,22,0.786,1,3.27,143,259,class_1
1985,15,0,0,8,0.471,37,2.37,54,129,class_1
1985,3,0,0,8,0.533,32,2.13,32,58,class_1
1986,18,1,1,21,0.656,1,3.14,230,269,class_1
1986,60,1,0,9,0.474,36,2.08,73,104,class_1
1986,30,1,0,7,0.438,35,3.94,67,89,class_1
1986,28,0,1,21,0.724,1,3.27,223,267,class_1
1986,16,0,0,8,0.5,46,2.45,83,107,class_1
1986,9,0,0,6,0.462,34,2.98,67,82,class_1
1987,51,1,1,18,0.643,1,3.68,174,237,class_1
1987,54,1,1,17,0.607,1,4.39,123,230,class_1
1987,35,1,0,4,0.286,35,3.12,96,84,class_1
1987,17,0,1,20,0.606,1,3.68,205,261,class_1
1987,58,0,0,0,0,34,2.49,128,94,class_1
1987,30,0,0,8,0.5,31,4.48,83,80,class_1
1988,14,1,1,23,0.742,1,2.73,161,260,class_1
1988,27,1,0,6,0.5,39,1.57,46,86,class_1
1988,23,1,0,6,0.5,34,3.49,76,77,class_1
1988,17,0,1,21,0.636,1,3.23,192,276,class_1
1988,11,0,0,4,0.667,45,2.35,70,73,class_1
1988,30,0,0,2,0.333,42,2.47,56,73,class_1
1989,39,1,1,20,0.667,1,3.1,172,229,class_1
1989,22,1,1,19,0.613,1,2.95,135,238,class_1
1989,41,1,0,4,0.5,36,2.76,67,82,class_1
1989,17,0,1,21,0.7,1,3.32,155,258,class_1
1989,43,0,0,6,0.6,38,1.98,77,73,class_1
1989,7,0,0,2,0.25,34,3.76,47,79,class_1
1990,19,1,1,20,0.625,1,2.67,182,250,class_1
1990,27,1,0,5,0.625,33,2.53,56,68,class_1
1990,50,1,0,4,0.4,31,2.08,98,87,class_1
1990,17,0,1,22,0.667,1,2.56,166,267,class_1
1990,7,0,0,4,0.4,57,1.83,70,89,class_1
1990,11,0,0,4,0.667,48,0.61,73,73,class_1
1991,31,1,1,20,0.714,1,3.08,129,208,class_1
1991,35,1,0,6,0.667,47,2.34,67,73,class_1
1991,47,1,0,3,0.375,31,3.17,124,82,class_1
1991,24,0,1,20,0.69,1,3.9,91,226,class_1
1991,12,0,1,20,0.714,1,3.18,101,212,class_1
1991,2,0,0,2,0.333,45,1.6,101,78,class_1
1991,11,0,0,5,0.556,41,1.91,93,80,class_1
1992,57,1,1,20,0.714,1,2.76,129,225,class_1
1992,35,1,0,4,0.308,43,3.12,60,75,class_1
1992,50,1,0,3,0.333,38,4.29,66,80,class_1
1992,28,0,1,21,0.778,1,4.04,132,241,class_1
1992,33,0,1,21,0.656,1,3.32,173,266,class_1
1992,45,0,0,2,0.25,41,2.84,52,67,class_1
