@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1}

@data
1,0,0,1,1,class_0
1,0,0,0,5,class_0
1,0,0,3,10,class_0
1,0,0,4,3,class_0
1,0,0,2,8,class_0
0,0,0,1,3,class_0
0,0,0,0,63,class_0
0,0,0,3,88,class_0
0,0,0,4,22,class_0
0,0,0,2,78,class_0
3,0,0,1,1,class_0
3,0,0,0,25,class_0
3,0,0,3,18,class_0
3,0,0,4,5,class_0
3,0,0,2,9,class_0
2,0,0,1,2,class_0
2,0,0,0,2,class_0
2,0,0,3,0,class_0
2,0,0,4,0,class_0
2,0,0,2,1,class_0
1,1,0,1,0,class_0
1,1,0,0,24,class_0
1,1,0,3,17,class_0
1,1,0,4,3,class_0
1,1,0,2,11,class_0
0,1,0,1,1,class_0
0,1,0,0,135,class_0
0,1,0,3,89,class_0
0,1,0,4,26,class_0
0,1,0,2,68,class_0
3,1,0,1,1,class_0
3,1,0,0,34,class_0
3,1,0,3,14,class_0
3,1,0,4,1,class_0
3,1,0,2,10,class_0
2,1,0,1,0,class_0
2,1,0,0,2,class_0
2,1,0,3,1,class_0
2,1,0,4,0,class_0
2,1,0,2,1,class_0
1,2,0,1,0,class_0
1,2,0,0,26,class_0
1,2,0,3,4,class_0
1,2,0,4,2,class_0
1,2,0,2,5,class_0
0,2,0,1,2,class_0
0,2,0,0,120,class_0
0,2,0,3,62,class_0
0,2,0,4,17,class_0
0,2,0,2,29,class_0
3,2,0,1,1,class_0
3,2,0,0,27,class_0
3,2,0,3,10,class_0
3,2,0,4,2,class_0
3,2,0,2,3,class_0
2,2,0,1,0,class_0
2,2,0,0,6,class_0
2,2,0,3,2,class_0
2,2,0,4,0,class_0
2,2,0,2,0,class_0
1,3,0,1,2,class_0
1,3,0,0,41,class_0
1,3,0,3,12,class_0
1,3,0,4,1,class_0
1,3,0,2,7,class_0
0,3,0,1,6,class_0
0,3,0,0,107,class_0
0,3,0,3,32,class_0
0,3,0,4,4,class_0
0,3,0,2,26,class_0
3,3,0,1,1,class_0
3,3,0,0,18,class_0
3,3,0,3,3,class_0
3,3,0,4,0,class_0
3,3,0,2,2,class_0
2,3,0,1,1,class_0
2,3,0,0,3,class_0
2,3,0,3,0,class_0
2,3,0,4,0,class_0
2,3,0,2,0,class_0
1,4,0,1,1,class_0
