@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute class {class_0,class_1}

@data
5040,12420,0,96,329,3,class_0
6300,12060,0,82,357,3,class_0
6000,15120,0,67,315,3,class_0
6000,16320.001,0,97,354,2,class_0
6000,12300,0,66,351,2,class_0
6840,10380,0,92,374,3,class_0
8100,13979.999,0,66,369,4,class_0
6000,10140,0,82,363,2,class_0
5400,12660.001,0,91,331,3,class_0
6000,12960,0,66,355,3,class_0
6000,12360,0,86,348,3,class_0
5280,8040,1,88,745,0,class_0
4800,9000,1,77,505,2,class_0
4800,8820,1,76,482,2,class_0
5400,13320,1,86,329,3,class_0
5520,9600,1,82,558,2,class_0
5400,8940,1,88,338,2,class_0
5700,9000,1,76,667,2,class_0
3900,8760,1,98,327,2,class_0
5100,9660,1,66,554,0,class_0
4380,9600,1,92,305,0,class_0
4290,9180.001,1,69,280,2,class_0
4380,10380,1,92,305,2,class_0
5400,11880,1,66,302,2,class_0
4500,12540.001,1,96,366,0,class_0
5400,8400,1,70,628,2,class_0
5640,10080,1,90,368,2,class_0
4500,7980,1,80,298,2,class_0
5400,11940,1,77,325,2,class_0
5400,9420,1,72,589,3,class_0
6300,9780,1,66,394,2,class_0
5160,10680.001,1,87,320,2,class_0
4800,8340,1,79,602,0,class_0
4020,9840,1,92,528,1,class_0
4800,13560,1,82,338,2,class_0
5700,10260,1,82,362,3,class_0
4380,9720,1,93,303,2,class_0
4380,10500.001,1,89,310,2,class_0
5400,10680.001,0,88,359,2,class_0
6600,11220,0,66,369,3,class_0
5700,11220,0,94,392,3,class_0
6000,12180,0,91,364,2,class_0
6000,10680.001,0,87,364,3,class_0
4620,11100,0,77,293,2,class_0
5220,10080,0,85,344,2,class_0
6600,15360.001,0,83,340,3,class_0
5400,12600,0,78,305,2,class_0
6000,14400,0,96,402,4,class_0
5700,10620,1,88,410,3,class_0
5400,10320,1,78,584,3,class_0
4440,9600,1,97,341,3,class_0
5100,9600,1,85,406,2,class_0
4800,11100,1,87,349,2,class_0
5100,10560,1,84,458,2,class_0
6000,11940,1,86,486,3,class_0
4380,10020.001,1,93,313,0,class_0
4620,9420,1,96,385,2,class_0
6000,12360,0,88,555,2,class_1
6900,10920,0,75,416,3,class_1
6900,10920,0,89,481,2,class_1
5100,8940,1,95,640,3,class_1
4800,8580,1,98,774,2,class_1
5280,8760,1,98,557,0,class_1
4800,9780,1,75,619,2,class_1
6120,9360,1,78,624,2,class_1
5220,7860,1,70,671,0,class_1
5400,9540,1,66,534,3,class_1
5400,8640,1,65,603,0,class_1
5520,8880,1,67,694,2,class_1
4800,9240,1,73,590,2,class_1
5400,8640,1,66,771,0,class_1
5100,11160,1,98,571,3,class_1
5400,9600,1,98,568,2,class_1
4980,8700,1,74,718,0,class_1
5280,9780,1,88,653,2,class_1
5700,8280,1,65,714,3,class_1
4800,8340,1,87,647,2,class_1
5400,11640,0,96,474,2,class_1
5100,7860,0,84,535,2,class_1
5100,8700,0,97,637,2,class_1
6600,12240.001,0,83,536,3,class_1
6000,11580,0,83,521,3,class_1
6000,8940,0,80,686,2,class_1
6000,8940,0,78,659,0,class_1
5400,9480,0,88,690,3,class_1
6300,10860.001,1,84,662,3,class_1
6000,9720,1,69,488,2,class_1
5100,10020.001,1,87,508,4,class_1
5700,9780,1,74,542,2,class_1
5400,10440,1,72,604,2,class_1
4800,9240,1,84,571,4,class_1
5580,7860,1,69,600,2,class_1
5220,8340,1,70,468,2,class_1
