@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1}

@data
0,23.2,25.4,30,38.4,13.4,1,class_0
0,24,26.3,31.2,40,13.8,1,class_0
0,23.9,26.5,31.1,39.8,15.1,1,class_0
0,26.3,29,33.5,38,13.3,0,class_0
0,27.6,30,35,36.2,13.4,1,class_0
1,23.6,26,28.7,29.2,14.8,1,class_0
1,24.1,26.5,29.3,27.8,14.5,1,class_0
1,25.6,28,30.8,28.5,15.2,1,class_0
2,12.9,14.1,16.2,25.6,14,1,class_0
2,16.5,18.2,20.3,26.1,13.9,1,class_0
2,17.5,18.8,21.2,26.3,13.7,0,class_0
2,18.2,19.8,22.2,25.3,14.3,1,class_0
2,18.6,20,22.2,28,16.1,1,class_0
2,19,20.5,22.8,28.4,14.7,1,class_0
2,19.1,20.8,23.1,26.7,14.7,1,class_0
2,19.4,21,23.7,25.8,13.9,1,class_0
2,20.4,22,24.7,23.5,15.2,1,class_0
2,20.5,22,24.3,27.3,14.6,1,class_0
2,20.5,22.5,25.3,27.8,15.1,1,class_0
2,21,22.5,25,26.2,13.3,1,class_0
2,21.1,22.5,25,25.6,15.2,1,class_0
2,22,24,27.2,27.7,14.1,1,class_0
2,22,23.4,26.7,25.9,13.6,1,class_0
2,22.1,23.5,26.8,27.6,15.4,1,class_0
2,23.6,25.2,27.9,25.4,14,1,class_0
2,24,26,29.2,30.4,15.4,0,class_0
2,25,27,30.6,28,15.6,1,class_0
2,29.5,31.7,35,27.1,15.3,0,class_0
3,13.5,14.7,16.5,41.5,14.1,0,class_0
3,14.3,15.5,17.4,37.8,13.3,0,class_0
3,16.3,17.7,19.8,37.4,13.5,0,class_0
3,17.5,19,21.3,39.4,13.7,0,class_0
3,18.4,20,22.4,39.7,14.7,1,class_0
3,19,20.7,23.2,36.8,14.2,1,class_0
3,19,20.7,23.2,40.5,14.7,1,class_0
3,19.8,21.5,24.1,40.4,13.1,1,class_0
3,21.2,23,25.8,40.1,14.2,1,class_0
3,23,25,28,39.6,14.8,1,class_0
3,24,26,29,39.2,14.6,1,class_0
4,9.3,9.8,10.8,16.1,9.7,0,class_0
4,10,10.5,11.6,17,10,1,class_0
4,10.1,10.6,11.6,14.9,9.9,0,class_0
4,10.4,11,12,18.3,11.5,1,class_0
4,10.7,11.2,12.4,16.8,10.3,0,class_0
