@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute class {class_0,class_1}

@data
1.14,-0.114,class_0
-1.05,0.72,class_0
1.83,0.452,class_0
1.79,-0.459,class_0
-0.122,-0.808,class_0
-1.02,0.619,class_0
-0.768,-1.04,class_0
0.724,0.989,class_0
0.444,1.99,class_0
-1.01,-1.36,class_0
1.28,0.691,class_0
0.925,0.895,class_0
-0.687,-1.29,class_0
1.71,-0.044,class_0
1.12,0.626,class_0
1.3,0.196,class_0
1.13,1.48,class_0
0.763,0.921,class_0
-1.41,1.11,class_0
-0.75,-0.881,class_0
1.16,0.978,class_0
1.13,0.405,class_0
-0.522,-1.34,class_0
-1.41,0.894,class_0
-1.31,1.25,class_0
0.041,-1.13,class_0
0.0483,0.866,class_0
-2.11,0.193,class_0
0.522,1.46,class_0
0.0284,1.62,class_0
0.536,0.921,class_0
-0.123,-1.07,class_0
0.526,1.48,class_0
-0.0701,-1.23,class_0
-0.149,-1.2,class_0
-1.62,0.593,class_0
-0.0314,-1.01,class_0
-0.285,-1.1,class_0
-0.223,-1.28,class_0
-0.0341,-1.07,class_0
1.22,1.13,class_0
1.97,-0.772,class_0
-0.124,-1.12,class_0
-0.439,-0.961,class_0
0.812,0.708,class_0
0.888,0.817,class_0
0.415,-1,class_0
-0.519,-0.799,class_0
-1.99,0.549,class_0
-1.03,0.654,class_0
0.431,-1.33,class_0
-0.0583,-1.15,class_0
-0.0536,1.6,class_0
1.22,0.561,class_0
-0.446,-0.861,class_0
-0.0868,-1.33,class_0
-1.12,0.576,class_0
-0.28,-1.3,class_0
-0.697,1.35,class_0
0.408,1.16,class_0
1.27,0.589,class_0
-0.101,-0.765,class_0
-0.819,1.26,class_0
0.845,0.766,class_0
-0.476,-1.49,class_0
1.01,0.48,class_0
1.39,-0.376,class_0
0.357,-1.07,class_0
0.77,1.4,class_0
-0.795,-1.43,class_0
-0.833,-0.569,class_0
-0.0303,2.11,class_0
-0.562,-0.873,class_0
0.926,0.972,class_0
-0.806,0.941,class_0
1.94,-0.65,class_0
-0.0418,-1.02,class_0
-0.634,-0.969,class_0
-1.62,0.102,class_0
-1.21,1.27,class_0
0.529,0.133,class_0
0.386,1.55,class_0
-0.536,1.13,class_0
-0.876,-1,class_0
-0.982,-1.08,class_0
-1.74,0.693,class_0
-1.1,1.16,class_0
-0.62,-0.984,class_0
-1.52,0.66,class_0
0.917,0.525,class_0
-0.0482,1.52,class_0
-0.584,1.01,class_0
-1.68,1.08,class_0
-1.7,0.872,class_0
-0.411,-1.3,class_0
0.162,-0.791,class_0
-0.0347,1.3,class_0
0.294,-1.5,class_0
-0.52,-1.17,class_0
-1.33,1.08,class_0
0.0131,-0.969,class_0
0.683,1.07,class_0
