@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute class {class_0,class_1}

@data
0,71,0,0.26,9,4.6,14,1,11,class_0
0,72,0,0.38,6,4.1,14,1.7,19,class_0
0,55,0,0.26,4,3.42,14,1,16,class_0
0,60,0,0.253,12.062,4.603,16,1.45,57,class_0
1,57,0,0.16,22,5.75,18,2.25,19,class_0
0,68,0,0.26,5,4.31,12,1,26,class_0
0,62,0,0.23,31,5.43,22.5,1.875,13,class_0
0,60,0,0.33,8,5.25,14,1,50,class_0
0,46,0,0.34,0,5.09,16,1.14,19,class_0
0,54,0,0.14,13,4.49,15.5,1.19,25,class_0
0,62,1,0.45,9,3.6,16,1.14,52,class_0
0,73,0,0.33,6,4,14,1,52,class_0
0,60,0,0.15,10,3.73,14,1,44,class_0
0,55,1,0.25,12.063,4.29,14,1,24,class_0
1,66,0,0.09,17,5.819,8,1.333,22,class_0
0,64,0,0.19,5.9,3.48,10,1.11,48,class_0
0,54,0,0.3,7,3.85,10,1.667,29,class_0
0,35,0,0.3,5,4.17,14,1,29,class_0
1,75,0,0.27,16.4,5.2,12.5,1,0.25,class_0
0,55,1,0.21,4.2,4.16,14,1.56,36,class_0
1,52,1,0.17,17.2,5.32,14,1.17,1,class_0
0,47,0,0.4,5.12,3.1,12,1,27,class_0
0,63,0,0.272,10,3.42,14,1.17,35,class_0
0,61,0,0.61,13.1,4.07,13,1.625,26,class_0
0,63,1,0.09,9.4,5.31,5,1,16,class_0
0,68,0,0.51,11.4,3.88,15,1.67,19,class_0
0,80,0,0.41,5.4,4.36,17,1,31,class_0
0,54,0,0.35,9.3,3.63,11,1.222,32,class_0
0,70,1,0.27,4.7,4.49,22,2,16,class_0
0,79,0,0.15,17.5,4.27,13,1.3,40,class_0
0,56,0,0.33,16,3.59,14,1,46,class_0
1,67,1,0.44,9,3.96,17.5,1.45,2,class_0
1,81,0,0.12,16.8,5.86,9,1.25,19.5,class_0
1,59,0,0.03,21.3,6.29,17,1.31,20,class_0
0,58,0,0.3,9.4,3.49,14,1,12,class_0
0,66,0,0.29,15.6,6.15,14,1,10,class_0
0,63,0,0.15,13,4.57,13,1.08,45,class_0
0,57,0,0.13,18.6,4.37,12.33,1.37,22,class_0
0,70,0,0.1,9.8,5.3,23,2.3,53,class_0
0,79,0,0.17,11.9,5.15,10.5,1.05,26,class_0
0,72,0,0.187,12,5.02,13,1.18,26,class_0
1,59,0,0.13,16.4,4.96,17.83,1.37,0.5,class_0
0,51,0,0.16,13.2,5.26,11,1,49,class_0
0,70,1,0.25,9.7,5.57,5.5,1.1,49,class_0
0,65,0,0.36,8.8,5.78,12,1,47,class_0
0,78,0,0.06,16.1,5.62,13.67,1.367,41,class_0
0,56,0,0.25,11,4.72,11,1,33,class_0
0,60,0,0.12,10.2,4.31,15,1.67,29,class_0
0,59,0,0.29,7.5,4.75,13,1.08,41,class_0
0,50,0,0.06,30.1,5.95,21.5,2.39,26,class_0
0,54,0,0.217,17.9,4.54,16.5,1.18,15,class_0
1,68,0,0.22,21.7,4.85,15,1.15,0.25,class_0
0,64,0,0.2,7.1,4.58,14,1,12,class_0
0,63,0,0.2,5,5.2,8,1,32,class_0
0,65,0,0.06,23.6,6.74,12,1.09,32,class_0
0,54,1,0.07,16.8,4.16,18,1.5,27,class_0
0,62,0,0.25,6,4.48,11,1,23,class_0
0,55,0,0.28,5.5,4.48,22,1.83,55,class_0
1,60,0,0.18,8.7,4.56,13.5,1.04,15,class_0
1,67,0,0.155,11.3,5.16,13,1,0.5,class_0
0,59,0,0.344,9.1,4.04,9,1,53,class_0
0,46,0,0.272,16.5,5.36,12.67,1.06,33,class_0
1,74,0,0.2,4.8,4.56,12.5,1.04,40,class_0
0,59,0,0.5,9.1,3.42,18,1.5,33,class_0
0,53,0,0.17,12.9,4.69,10,1,31,class_0
0,66,0,0.2,6.6,4.23,12,1,33,class_0
0,70,0,0.38,0,4.55,10,1,22,class_0
0,62,0,0.258,11.8,4.87,11,1,25,class_0
0,59,0,0.17,14.3,5.49,13.5,1.5,24,class_0
0,57,0,0.228,9.7,4.29,11,1,25,class_0
0,59,1,0.4,9.2,5.36,12,1,25,class_0
0,54,0,0.43,9.3,4.79,10,1,34,class_0
1,62,1,0.24,28.6,5.86,21.5,1.95,28,class_0
