@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17}

@data
0,0,22.5,2595529,class_0
0,0,27.5,1846189,class_1
0,0,32.5,1402764,class_2
0,0,37.5,1215899,class_3
0,0,42.5,1191615,class_4
0,0,47.5,1111810,class_5
0,0,52.5,957985,class_6
0,0,57.5,774836,class_7
0,0,62.5,634758,class_8
0,0,67.5,492203,class_9
0,0,72.5,342767,class_10
0,0,77.5,199630,class_11
0,0,82.5,96293,class_12
1,10,22.5,934,class_13
1,10,27.5,489,class_13
1,10,32.5,276,class_13
1,10,37.5,317,class_13
1,10,42.5,374,class_13
1,10,47.5,435,class_13
1,10,52.5,342,class_13
1,10,57.5,277,class_13
1,10,72.5,105,class_13
1,10,77.5,78,class_13
1,10,82.5,38,class_13
2,11,22.5,666,class_13
2,11,27.5,267,class_13
2,11,32.5,310,class_13
2,11,37.5,221,class_13
2,11,47.5,292,class_13
2,11,52.5,295,class_13
2,11,57.5,265,class_13
2,11,62.5,203,class_13
2,11,67.5,143,class_13
2,11,72.5,93,class_13
2,11,77.5,69,class_13
2,11,82.5,59,class_13
3,30,27.5,591,class_13
3,30,32.5,481,class_13
3,30,37.5,405,class_13
3,30,47.5,397,class_13
3,30,62.5,317,class_13
3,30,72.5,115,class_13
3,30,77.5,71,class_13
3,30,82.5,75,class_13
4,32,22.5,1545,class_13
4,32,27.5,865,class_13
4,32,32.5,673,class_13
4,32,37.5,709,class_13
4,32,42.5,744,class_13
4,32,47.5,644,class_13
4,32,57.5,439,class_13
4,32,62.5,318,class_13
4,32,67.5,238,class_13
4,32,72.5,167,class_13
4,32,77.5,92,class_13
4,32,82.5,36,class_13
5,32,22.5,469,class_13
5,32,27.5,260,class_13
5,32,32.5,198,class_13
5,32,37.5,199,class_13
5,32,42.5,183,class_13
5,32,47.5,227,class_13
5,32,52.5,162,class_13
5,32,57.5,219,class_13
5,32,62.5,194,class_13
5,32,67.5,126,class_13
5,32,72.5,77,class_13
5,32,82.5,43,class_13
6,42,22.5,2063,class_13
6,42,27.5,1267,class_13
6,42,32.5,1101,class_13
6,42,37.5,1038,class_13
6,42,42.5,984,class_13
6,42,47.5,932,class_13
6,42,52.5,738,class_13
6,42,57.5,567,class_13
6,42,62.5,497,class_13
6,42,67.5,427,class_13
6,42,72.5,321,class_13
6,42,77.5,178,class_13
6,42,82.5,114,class_13
7,45,22.5,1432,class_13
7,45,27.5,830,class_13
7,45,32.5,553,class_13
7,45,37.5,520,class_13
7,45,42.5,650,class_13
7,45,47.5,710,class_13
7,45,52.5,662,class_13
7,45,57.5,456,class_13
7,45,62.5,320,class_13
7,45,67.5,232,class_13
7,45,72.5,213,class_13
7,45,77.5,129,class_13
7,45,82.5,113,class_13
8,50,22.5,1100,class_13
8,50,27.5,603,class_13
8,50,32.5,436,class_13
8,50,37.5,525,class_13
8,50,42.5,624,class_13
