@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8}

@data
13,6,12,2,class_0
13,6,5,0,class_0
9,3,10,5,class_0
12,6,4,10,class_0
10,2,13,4,class_0
12,4,9,14,class_0
2,1,5,1,class_0
10,7,1,6,class_0
13,6,12,2,class_0
5,7,3,12,class_0
10,3,6,14,class_0
9,3,10,5,class_0
7,10,8,13,class_0
9,8,5,2,class_0
3,6,2,12,class_0
8,6,4,5,class_0
2,7,9,2,class_0
7,10,8,13,class_0
8,5,10,2,class_0
5,13,0,11,class_0
5,13,0,11,class_0
9,8,5,2,class_0
8,6,4,5,class_0
14,4,8,14,class_0
10,2,13,4,class_0
8,12,6,1,class_0
10,13,5,0,class_0
9,2,7,10,class_0
1,3,10,7,class_0
12,4,9,14,class_0
7,12,6,4,class_0
1,3,10,7,class_0
12,4,9,14,class_0
5,13,0,11,class_0
5,13,0,11,class_0
7,10,8,13,class_0
8,6,4,5,class_0
9,8,5,2,class_0
13,6,12,2,class_0
14,0,6,0,class_0
13,9,2,8,class_0
13,9,2,8,class_0
5,13,0,11,class_0
7,10,8,13,class_0
10,7,1,6,class_0
2,7,9,2,class_0
2,7,9,2,class_0
13,9,2,8,class_0
12,10,12,7,class_0
9,3,10,5,class_0
9,3,10,5,class_0
0,10,12,7,class_0
9,2,7,10,class_0
13,6,12,2,class_0
10,10,6,9,class_0
2,7,9,2,class_0
10,3,6,14,class_0
7,10,8,13,class_0
13,9,2,8,class_0
12,4,5,13,class_0
9,2,7,10,class_0
14,2,4,1,class_0
9,3,10,5,class_0
8,12,6,1,class_0
10,7,1,6,class_0
13,9,2,8,class_0
13,6,5,0,class_0
2,9,7,5,class_0
9,8,5,2,class_0
2,1,5,1,class_0
9,3,10,5,class_0
14,4,8,14,class_0
10,10,6,9,class_0
7,3,7,0,class_0
0,10,12,7,class_0
12,4,9,14,class_0
13,6,5,0,class_0
12,4,9,14,class_0
2,14,2,9,class_0
13,6,5,0,class_0
8,5,10,2,class_0
8,12,6,1,class_0
12,4,5,13,class_0
9,8,5,2,class_0
9,2,7,10,class_0
0,10,12,7,class_0
12,8,7,6,class_0
9,3,10,5,class_0
9,8,5,2,class_0
3,6,2,12,class_0
12,4,5,13,class_0
10,10,6,9,class_0
10,10,6,9,class_0
8,12,6,1,class_0
13,9,2,8,class_0
9,2,7,10,class_0
12,10,12,7,class_0
5,13,0,11,class_0
10,3,6,14,class_0
7,3,7,0,class_0
10,7,1,6,class_0
13,3,6,6,class_0
13,9,2,8,class_0
2,9,7,5,class_0
13,6,5,0,class_0
14,0,6,0,class_0
8,5,10,2,class_0
2,9,7,5,class_0
9,3,10,5,class_0
13,6,5,0,class_0
9,8,5,2,class_0
14,4,8,14,class_0
10,3,6,14,class_0
2,9,7,5,class_0
5,7,3,12,class_0
1,2,12,4,class_0
9,2,7,10,class_0
5,13,0,11,class_0
13,3,6,6,class_0
10,2,13,4,class_0
1,9,4,1,class_0
9,3,10,5,class_0
5,7,3,12,class_0
13,3,6,6,class_0
14,0,6,0,class_0
13,6,5,0,class_0
12,4,5,13,class_0
1,9,4,1,class_0
1,9,4,1,class_0
12,10,12,7,class_0
8,6,4,5,class_0
0,10,12,7,class_0
9,2,7,10,class_0
10,13,5,0,class_0
12,4,5,13,class_0
0,10,12,7,class_0
12,4,5,13,class_0
5,7,3,12,class_0
9,8,5,2,class_0
12,4,5,13,class_0
14,0,6,0,class_0
13,3,6,6,class_0
13,6,5,0,class_0
1,2,12,6,class_0
13,6,12,2,class_0
1,9,4,1,class_0
13,6,12,2,class_0
2,9,7,5,class_0
9,3,10,5,class_0
12,4,9,14,class_0
1,2,12,6,class_0
7,10,8,13,class_0
1,3,10,7,class_0
8,5,10,2,class_0
10,10,6,9,class_0
12,8,7,6,class_0
12,4,5,13,class_0
10,7,1,6,class_0
5,13,0,11,class_0
8,6,4,5,class_0
12,4,9,14,class_0
2,14,2,9,class_0
14,2,4,1,class_0
14,2,4,1,class_0
10,13,5,0,class_0
12,4,5,13,class_0
9,8,5,2,class_0
9,8,5,2,class_0
7,12,6,4,class_0
12,4,9,14,class_0
10,3,6,14,class_0
9,8,5,2,class_0
2,7,9,2,class_1
7,3,7,0,class_1
7,3,7,0,class_1
3,2,0,14,class_1
10,3,6,14,class_1
12,4,5,13,class_1
2,7,9,2,class_1
1,2,12,6,class_1
14,0,6,0,class_1
0,5,7,2,class_1
1,2,12,4,class_1
10,3,6,14,class_1
2,14,2,9,class_1
3,2,0,14,class_1
0,10,12,7,class_1
1,3,10,7,class_1
12,4,5,13,class_1
10,3,6,14,class_1
2,9,7,5,class_1
13,6,5,0,class_1
1,2,12,6,class_1
13,6,5,0,class_1
8,6,4,5,class_1
3,6,2,12,class_1
3,3,5,9,class_1
9,8,5,2,class_1
1,9,4,1,class_1
2,7,9,2,class_1
5,13,0,11,class_1
0,10,12,7,class_1
9,3,10,5,class_1
1,9,4,1,class_1
1,2,12,6,class_1
3,6,2,12,class_1
0,10,12,7,class_1
9,2,7,10,class_1
3,3,5,9,class_1
3,6,2,12,class_1
2,1,5,1,class_1
9,3,10,5,class_1
0,5,7,2,class_1
1,2,12,4,class_1
1,3,10,7,class_1
9,8,5,2,class_1
13,3,6,6,class_1
5,7,3,12,class_1
9,3,10,5,class_1
2,7,9,2,class_1
7,3,7,0,class_1
1,3,10,7,class_1
9,2,7,10,class_1
2,1,5,1,class_1
1,2,12,4,class_1
2,14,2,9,class_1
7,3,7,0,class_1
3,6,2,12,class_1
3,6,2,12,class_1
13,3,6,6,class_1
7,3,7,0,class_1
3,2,0,14,class_1
12,6,4,10,class_1
13,6,12,2,class_1
3,2,0,14,class_1
8,5,10,2,class_1
3,6,2,12,class_1
1,2,12,4,class_1
2,9,7,5,class_1
8,5,10,2,class_1
7,3,7,0,class_1
14,0,6,0,class_1
1,2,12,4,class_1
3,3,5,9,class_1
2,1,5,1,class_1
1,3,10,7,class_1
12,6,4,10,class_1
0,5,7,2,class_1
0,10,12,7,class_1
2,9,7,5,class_1
3,6,2,12,class_1
1,2,12,4,class_1
10,7,1,6,class_1
2,7,9,2,class_1
1,2,12,4,class_1
2,1,5,1,class_1
10,3,6,14,class_1
9,8,5,2,class_1
13,3,6,6,class_1
14,2,4,1,class_1
2,1,5,1,class_1
1,3,10,7,class_1
13,9,2,8,class_1
8,6,4,5,class_1
8,6,4,5,class_1
2,14,2,9,class_1
3,6,2,12,class_1
3,6,2,12,class_1
13,3,6,6,class_1
14,2,4,1,class_1
1,2,12,4,class_1
9,2,7,10,class_1
13,3,6,6,class_1
2,1,5,1,class_1
2,1,5,1,class_1
1,9,4,1,class_1
1,2,12,6,class_1
9,2,7,10,class_1
1,9,4,1,class_1
2,9,7,5,class_1
0,10,12,7,class_1
1,2,12,6,class_1
1,2,12,4,class_1
12,4,9,14,class_1
3,6,2,12,class_1
1,3,10,7,class_1
1,3,10,7,class_1
5,7,3,12,class_1
9,2,7,10,class_1
8,6,4,5,class_1
0,5,7,2,class_1
10,3,6,14,class_1
14,2,4,1,class_1
14,2,4,1,class_1
12,6,4,10,class_1
14,2,4,1,class_1
7,12,6,4,class_1
14,0,6,0,class_1
1,2,12,6,class_1
0,5,7,2,class_1
10,3,6,14,class_1
13,6,5,0,class_1
13,6,12,2,class_1
1,2,12,4,class_1
1,2,12,4,class_1
8,6,4,5,class_1
12,10,12,7,class_1
13,3,6,6,class_1
12,8,7,6,class_1
8,12,6,1,class_1
8,5,10,2,class_1
9,3,10,5,class_1
1,2,12,6,class_1
10,3,6,14,class_1
12,8,7,6,class_2
10,13,5,0,class_2
8,12,6,1,class_2
12,9,10,6,class_2
1,2,12,6,class_2
13,9,2,8,class_2
12,8,7,6,class_2
12,9,10,6,class_2
5,13,0,11,class_2
12,9,10,6,class_2
10,13,5,0,class_2
8,12,6,1,class_2
11,13,10,1,class_2
14,4,8,14,class_2
12,9,10,6,class_2
0,10,12,7,class_2
5,7,3,12,class_2
5,13,0,11,class_2
14,11,13,14,class_2
3,2,0,14,class_2
12,9,10,6,class_2
9,8,5,2,class_2
10,13,5,0,class_2
5,13,0,11,class_2
12,10,12,7,class_2
10,13,5,0,class_2
11,13,10,1,class_2
11,13,10,1,class_2
13,6,5,0,class_2
10,13,5,0,class_2
12,10,12,7,class_2
12,10,12,7,class_2
12,9,10,6,class_2
12,4,5,13,class_2
13,6,5,0,class_2
5,13,0,11,class_2
3,6,2,12,class_2
13,3,6,6,class_2
14,0,6,0,class_2
8,12,6,1,class_2
0,10,12,7,class_2
3,3,5,9,class_2
12,10,12,7,class_2
7,10,8,13,class_2
10,3,6,14,class_2
10,10,6,9,class_2
14,4,8,14,class_2
10,13,5,0,class_2
10,2,13,4,class_2
10,13,5,0,class_2
2,7,9,2,class_2
12,10,12,7,class_2
13,9,2,8,class_2
14,11,13,14,class_2
14,2,4,1,class_2
12,9,10,6,class_2
13,9,2,8,class_2
12,4,5,13,class_2
12,10,12,7,class_2
13,9,2,8,class_2
13,6,12,2,class_2
9,8,5,2,class_2
7,10,8,13,class_2
12,10,12,7,class_2
10,3,6,14,class_2
11,13,10,1,class_2
11,13,10,1,class_2
12,9,10,6,class_2
12,4,9,14,class_2
14,11,13,14,class_2
13,6,12,2,class_2
11,13,10,1,class_2
2,14,2,9,class_2
10,13,5,0,class_2
11,13,10,1,class_2
10,3,6,14,class_2
5,13,0,11,class_2
12,9,10,6,class_2
8,12,6,1,class_2
10,10,6,9,class_2
12,4,5,13,class_2
11,13,10,1,class_2
10,10,6,9,class_2
12,4,9,14,class_2
