@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1}

@data
47.18,47532280,4,6.3,378682,class_0
21.64,11637417,3.3,4.1,444942,class_0
24.05,59856099,3.4,2.5,380638,class_0
20.93,26926416,9.4,7.5,330938,class_0
19.32,11686005,11.1,5.2,436638,class_0
26.2,38641360,4.5,-0.23,915370,class_0
20.09,13882048,4.7,1.7,412631,class_0
29.11,35400375,3,3.5,1189569,class_0
21.56,15418131,1.9,3.8,420457,class_0
15.55,11997930,6.6,8.1,606997,class_0
23.77,17130165,6,8.1,354447,class_0
27.64,10502721,4.8,7.5,307885,class_0
40.48,48119900,0,1.9,513339,class_0
21.83,68400604,5.5,4,413879,class_0
20.05,15919780,8.3,10.4,386680,class_0
20.86,9499412,4.4,4.5,454498,class_0
19.99,12635368,2.9,3.5,556642,class_0
11.74,2862323,4.3,4.4,6872670,class_0
17.71,5670720,4.9,3.6,3713600,class_0
6.35,76466312,1.9,4.6,298552,class_0
41.79,7649906,4.2,4.5,834036,class_0
28.25,13926965,5,6.2,804981,class_0
80.7,23056816,4.8,6.6,198842,class_0
71.57,20281917,-0.2,-0.2,707046,class_0
87.53,25719696,4,3.8,202826,class_0
5.07,866746,18.9,1.6,1238269,class_0
7.71,36263806,3.5,4.9,243989,class_0
15.49,4606127,5.9,17.5,2981029,class_0
13.4,21729978,6.6,4.7,2106643,class_0
28.07,8785345,4.8,3.8,1238269,class_0
42.16,40298680,5.9,4.9,618933,class_1
45.96,30314067,3.8,3.7,532515,class_1
28.12,33616668,8.9,7.7,1110801,class_1
36.74,53999209,3.6,5.3,507388,class_1
36.18,13162830,4.6,5.9,966718,class_1
99.56,23640880,7.4,8.6,179912,class_1
87.97,85184456,9.9,29.3,166707,class_1
30.23,7543792,9.6,7,1209936,class_1
