@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute class {class_0,class_1,class_2,class_3}

@data
1,27,24,4,1,14,89,1,0,class_0
0,17,14,3,2,3,89,1,0,class_0
1,31,21,6,13,0,89,1,0,class_0
1,16,13,1.5,21,7,89,1,0,class_0
0,31,7,5.5,20,24,89,1,0,class_0
0,24,27,4,27,18,89,1,0,class_0
1,34,27,4,9,23,89,2,0,class_0
0,38,24,7,4,19,89,2,0,class_0
0,37,42,3,27,20,89,2,0,class_0
0,41,10,10,3,22,89,2,0,class_0
0,14,28,6.5,1,6,89,2,0,class_0
0,41,38,10,13,8,89,3,0,class_0
0,31,21,6.5,6,12,89,3,0,class_0
1,10,20,2.5,17,26,89,3,0,class_0
0,28,38,1.5,20,25,89,3,0,class_0
0,21,14,4,3,4,89,3,0,class_0
0,23,21,7,8,0,89,4,0,class_0
1,21,17,5,3,11,89,4,0,class_0
0,10,17,3,19,10,89,4,0,class_0
0,31,10,7,1,16,89,4,0,class_0
0,17,3,8,15,26,89,4,0,class_0
0,27,13,3.5,2,20,89,4,0,class_0
1,10,13,3.5,4,14,89,5,0,class_0
0,24,17,12,15,7,89,5,0,class_0
1,13,23,4,9,16,89,5,0,class_0
0,7,14,3,19,12,89,5,0,class_0
0,13,20,7.5,3,14,89,6,0,class_0
1,17,5,3.5,20,21,89,6,0,class_0
0,7,17,9,4,22,89,6,0,class_0
0,20,17,3,18,27,89,6,0,class_0
1,20,23,3.5,13,1,89,6,0,class_0
0,36,28,9,11,5,89,7,0,class_0
0,37,20,11,25,16,89,7,0,class_0
0,21,40,7,13,17,89,7,0,class_0
1,20,13,4,18,23,89,7,0,class_0
0,34,3,7,1,19,89,7,0,class_0
0,27,0,10,9,22,89,7,0,class_0
0,27,7,1,4,2,89,7,0,class_0
0,23,20,6.5,8,7,89,8,0,class_0
0,20,23,6,10,16,89,8,0,class_0
1,24,37,2,27,12,89,8,0,class_0
0,24,14,2,18,15,89,8,0,class_0
0,26,27,7.5,16,19,89,9,0,class_0
0,34,7,7.5,6,22,89,9,0,class_0
0,31,13,6,25,17,89,9,0,class_0
1,20,0,3.5,2,22,89,10,0,class_0
