@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute class {class_0,class_1}

@data
125,256,6000,256,16,128,class_0
29,8000,32000,32,8,32,class_0
29,8000,32000,32,8,32,class_0
29,8000,32000,32,8,32,class_0
29,8000,16000,32,8,16,class_0
26,8000,32000,64,8,32,class_0
23,16000,32000,64,16,32,class_0
23,16000,32000,64,16,32,class_0
23,16000,64000,64,16,32,class_0
23,32000,64000,128,32,64,class_0
50,4000,16000,65,1,8,class_0
110,5000,5000,142,8,64,class_0
25,1310,2620,131,12,24,class_0
25,1310,2620,131,12,24,class_0
56,5240,20970,30,12,24,class_0
64,5240,20970,30,12,24,class_0
140,1000,16000,16,1,3,class_0
75,2000,8000,64,1,38,class_0
75,2000,16000,64,1,38,class_0
75,2000,16000,128,1,38,class_0
140,2000,32000,32,1,20,class_0
140,2000,32000,32,1,54,class_0
140,2000,32000,32,1,54,class_0
57,4000,16000,1,6,12,class_0
57,4000,24000,64,12,16,class_0
26,16000,32000,64,16,24,class_0
26,16000,32000,64,8,24,class_0
26,8000,32000,0,8,24,class_0
26,8000,16000,0,8,16,class_0
17,4000,16000,32,6,12,class_0
50,8000,16000,48,1,10,class_0
50,4000,16000,64,5,10,class_0
72,4000,16000,64,8,16,class_0
40,8000,16000,32,8,16,class_0
40,8000,32000,64,8,24,class_0
35,8000,32000,64,8,24,class_0
38,16000,32000,128,16,32,class_0
48,4000,24000,32,8,24,class_0
38,8000,32000,64,8,24,class_0
30,16000,32000,256,16,24,class_0
38,4000,8000,32,16,32,class_0
38,8000,24000,160,4,8,class_0
38,4000,16000,128,16,32,class_0
160,2000,8000,32,1,13,class_0
52,4000,16000,32,4,12,class_0
59,4000,12000,32,6,12,class_0
59,8000,16000,64,12,24,class_0
26,8000,24000,32,8,16,class_0
26,8000,32000,64,12,16,class_0
26,8000,32000,128,24,32,class_0
50,2000,32000,24,6,26,class_0
50,2000,32000,48,26,52,class_0
50,2000,32000,112,52,104,class_0
50,4000,32000,112,52,104,class_0
30,8000,64000,96,12,176,class_0
30,8000,64000,128,12,176,class_0
400,1000,3000,0,1,2,class_1
400,512,3500,4,1,6,class_1
60,2000,8000,65,1,8,class_1
350,64,64,0,1,4,class_1
200,512,16000,0,4,32,class_1
167,524,2000,8,4,15,class_1
143,512,5000,0,7,32,class_1
143,1000,2000,0,5,16,class_1
143,1500,6300,0,5,32,class_1
143,3100,6200,0,5,20,class_1
143,2300,6200,0,6,64,class_1
110,3100,6200,0,6,64,class_1
320,128,6000,0,1,12,class_1
320,512,2000,4,1,3,class_1
320,256,6000,0,1,6,class_1
320,256,3000,4,1,3,class_1
320,512,5000,4,1,5,class_1
320,256,5000,4,1,6,class_1
50,2620,10480,30,12,24,class_1
50,2620,10480,30,12,24,class_1
50,500,2000,8,1,4,class_1
50,1000,4000,8,1,5,class_1
50,2000,8000,8,1,5,class_1
50,1000,4000,8,3,5,class_1
50,1000,8000,8,3,5,class_1
50,2000,16000,8,3,5,class_1
50,2000,16000,8,3,6,class_1
50,2000,16000,8,3,6,class_1
133,1000,12000,9,3,12,class_1
133,1000,8000,9,3,12,class_1
810,512,512,8,1,1,class_1
810,1000,5000,0,1,1,class_1
320,512,8000,4,1,5,class_1
200,512,8000,8,1,8,class_1
700,384,8000,0,1,1,class_1
700,256,2000,0,1,1,class_1
200,1000,8000,0,1,2,class_1
110,1000,4000,16,1,2,class_1
110,1000,12000,16,1,2,class_1
220,1000,8000,16,1,2,class_1
800,256,8000,0,1,4,class_1
800,256,8000,0,1,4,class_1
800,256,8000,0,1,4,class_1
800,256,8000,0,1,4,class_1
800,256,8000,0,1,4,class_1
125,512,1000,0,8,20,class_1
90,256,1000,0,3,10,class_1
105,256,2000,0,3,10,class_1
105,1000,4000,0,3,24,class_1
105,2000,4000,8,3,19,class_1
75,2000,8000,8,3,24,class_1
75,3000,8000,8,3,48,class_1
175,256,2000,0,3,24,class_1
300,768,3000,0,6,24,class_1
300,768,3000,6,6,24,class_1
300,768,12000,6,6,24,class_1
300,768,4500,0,1,24,class_1
300,384,12000,6,1,24,class_1
300,192,768,6,6,24,class_1
180,768,12000,6,1,31,class_1
330,1000,3000,0,2,4,class_1
300,1000,4000,8,3,64,class_1
300,1000,16000,8,2,112,class_1
330,1000,2000,0,1,2,class_1
330,1000,4000,0,3,6,class_1
140,2000,4000,0,3,6,class_1
140,2000,4000,0,4,8,class_1
140,2000,4000,8,1,20,class_1
140,2000,8000,32,1,54,class_1
140,2000,4000,8,1,20,class_1
480,96,512,0,1,1,class_1
203,1000,2000,0,1,5,class_1
115,512,6000,16,1,6,class_1
1100,512,1500,0,1,1,class_1
1100,768,2000,0,1,1,class_1
600,768,2000,0,1,1,class_1
400,2000,4000,0,1,1,class_1
400,4000,8000,0,1,1,class_1
900,1000,1000,0,1,2,class_1
900,512,1000,0,1,2,class_1
900,1000,4000,4,1,2,class_1
900,1000,4000,8,1,2,class_1
900,2000,4000,0,3,6,class_1
225,2000,4000,8,3,6,class_1
225,2000,4000,8,3,6,class_1
180,2000,8000,8,1,6,class_1
185,2000,16000,16,1,6,class_1
180,2000,16000,16,1,6,class_1
225,1000,4000,2,3,6,class_1
25,2000,12000,8,1,4,class_1
25,2000,12000,16,3,5,class_1
17,4000,16000,8,6,12,class_1
1500,768,1000,0,0,0,class_1
1500,768,2000,0,0,0,class_1
