@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute class {class_0,class_1}

@data
0,217,105,34124,47365,658,3226,6,42,263,4,20,21,0,0,class_0
0,79,46,5610,2392,17,53,0,3,73,0,3,3,0,0,class_0
0,541,141,38637,18850,171,828,5,18,248,3,18,27,0,0,class_0
1,41,695,5414,3075,28,84,0,2,65,0,2,3,0,0,class_0
0,277,136,115185,97318,643,4470,11,39,570,11,72,76,0,0,class_0
0,78,0,2873,2155,10,39,0,1,90,1,2,3,0,0,class_0
1,170,2985,35426,29645,127,1462,6,15,182,3,18,12,0,0,class_0
0,154,54,29767,25525,194,1379,5,16,270,0,18,28,2,0,class_0
0,223,157,41736,14632,204,562,1,14,186,3,6,9,0,0,class_0
0,76,615,10964,7047,127,258,1,7,89,2,8,5,0,0,class_0
0,679,3680,73017,40943,296,1727,6,24,502,3,110,20,0,0,class_0
0,60,7,12613,13897,60,435,1,4,83,3,3,12,0,0,class_0
1,70,350,2454,2046,17,85,1,3,33,0,3,2,0,0,class_0
1,121,1946,4767,9735,24,139,3,4,38,4,7,6,0,0,class_0
1,47,362,3550,2397,21,86,2,4,71,2,2,9,0,0,class_0
1,31,373,2146,1722,12,37,4,1,23,8,7,4,0,0,class_0
1,39,760,4747,3240,11,104,3,1,22,2,7,2,0,0,class_0
0,83,148,30646,32644,116,1501,8,26,242,4,10,22,0,0,class_0
0,97,40,5011,2177,18,94,1,7,76,3,6,2,0,0,class_0
1,94,998,9138,6868,40,138,0,2,102,1,4,7,0,0,class_0
1,17,160,1670,789,6,26,2,0,10,1,1,0,0,0,class_0
0,203,3138,50010,36571,204,1460,4,36,289,1,21,15,0,0,class_0
0,176,0,39062,61427,330,1932,9,28,282,7,16,31,0,0,class_0
1,51,708,6858,5398,92,284,1,1,67,1,10,12,0,0,class_0
1,21,167,1317,1017,12,19,0,3,39,0,1,2,0,0,class_0
0,109,1264,57952,49177,242,2491,5,35,271,3,19,26,0,0,class_0
0,83,97,16059,16483,162,1090,1,26,47,0,3,7,9,0,class_0
0,83,679,52093,16948,313,985,4,15,267,2,33,20,0,0,class_0
1,84,774,5057,4588,21,131,1,4,43,1,3,4,0,0,class_0
0,640,1197,134517,140220,891,3879,13,65,446,7,41,46,0,0,class_0
0,219,668,90295,75200,366,2059,8,59,533,5,46,36,0,0,class_0
0,82,79,13447,12102,114,377,2,7,148,3,10,12,0,0,class_0
0,163,67,36274,12802,131,724,1,13,311,1,43,19,0,0,class_0
0,203,48,75677,59174,550,1946,6,38,194,5,18,26,0,0,class_0
0,426,130,39546,19502,210,1217,4,11,229,2,12,13,0,0,class_0
0,537,82,34705,41559,165,1368,4,12,124,10,13,29,0,0,class_0
1,39,686,8006,4075,52,180,2,4,108,0,9,5,16,0,class_0
1,87,517,4056,2649,4,59,0,3,27,1,8,1,0,0,class_0
0,339,171,82357,97304,444,2910,8,36,498,5,20,70,0,1,class_0
0,135,72,12182,5642,68,265,3,11,120,2,7,18,0,0,class_0
0,305,36,4994,2798,32,93,0,2,88,0,9,5,3,1,class_0
0,4946,7826,177902,387703,1217,7104,54,135,795,37,74,122,0,0,class_1
0,2070,1134,60450,29921,185,1400,7,34,122,4,10,29,0,0,class_1
1,66,568,4256,3320,23,157,0,0,36,3,8,2,3,3,class_1
0,22,306,2697,1826,32,75,0,2,29,0,3,2,0,0,class_1
1,5090,21855,152098,107864,952,2757,37,162,652,15,58,41,0,0,class_1
0,47,241,3300,1910,52,97,0,1,29,0,2,4,0,0,class_1
0,68,281,1841,1442,12,56,0,3,9,1,0,1,0,0,class_1
0,84,323,3765,2339,17,75,0,2,30,0,2,3,0,0,class_1
0,466,520,20206,14167,64,545,6,16,127,3,7,8,0,0,class_1
0,5431,3640,180760,169557,1138,7490,35,217,847,29,68,154,0,0,class_1
0,1044,790,28635,19768,122,950,4,13,105,2,13,10,0,0,class_1
0,30,540,2478,3041,14,76,2,1,29,1,0,0,0,1,class_1
0,1975,2531,106141,73560,538,3587,30,81,305,5,34,96,0,0,class_1
0,31,444,3038,3014,18,54,0,2,29,1,1,5,0,0,class_1
0,2410,890,55141,44665,662,1809,13,26,563,6,22,49,0,0,class_1
0,177,56,33970,26620,109,1118,14,29,112,7,20,14,0,0,class_1
0,10570,17833,289533,328808,762,5352,87,119,560,35,69,124,0,0,class_1
1,197,1295,16404,6952,63,253,0,8,90,4,3,3,0,0,class_1
0,634,1039,26212,28181,309,732,10,20,145,5,10,33,1,0,class_1
1,10134,19218,152951,269732,743,5565,45,143,3411,302,190,104,0,0,class_1
0,1763,2124,68582,69564,413,3393,19,83,570,14,16,77,0,0,class_1
0,4240,4258,184825,200630,1230,10022,41,442,1013,27,72,170,0,0,class_1
0,1846,994,83100,72853,431,4069,11,94,305,5,15,59,0,0,class_1
0,596,170,12127,9637,53,306,2,2,114,0,3,17,0,0,class_1
1,25,233,2332,1407,15,33,1,0,37,0,1,0,0,0,class_1
0,49,373,4512,3838,30,149,2,3,46,1,0,6,0,0,class_1
