@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute class {class_0,class_1,class_2}

@data
0,2,2,1,2,2,2,2,class_0
2,2,2,0,0,0,2,0,class_0
14,2,1,1,2,2,2,2,class_0
16,2,2,2,0,2,2,2,class_0
17,2,2,0,2,0,2,1,class_0
20,2,2,1,1,0,2,1,class_0
21,1,1,0,1,1,0,2,class_0
6,1,0,2,0,1,2,2,class_0
7,1,2,1,1,2,2,1,class_0
10,2,2,1,2,1,2,1,class_0
13,2,1,2,0,2,2,2,class_0
22,0,0,0,2,2,2,0,class_0
23,2,2,2,2,1,1,0,class_0
26,2,1,2,0,0,0,0,class_0
28,2,0,0,0,1,0,0,class_0
29,1,0,0,2,2,2,2,class_0
33,0,2,0,0,1,2,2,class_0
38,2,0,2,1,0,0,1,class_0
41,1,2,2,2,0,2,0,class_0
46,2,0,2,2,1,2,2,class_0
48,1,2,0,2,1,1,2,class_0
49,2,0,0,2,2,0,2,class_0
50,2,1,0,0,2,2,1,class_0
52,2,2,0,2,1,0,1,class_0
57,0,0,2,2,2,0,1,class_0
58,2,2,2,2,1,2,2,class_0
64,2,0,2,2,2,1,2,class_0
71,1,1,1,0,0,0,0,class_0
76,0,2,0,1,1,2,2,class_0
80,1,2,0,0,2,0,2,class_0
81,2,2,2,0,2,0,2,class_0
86,2,0,2,0,2,2,2,class_0
87,2,2,0,1,2,0,1,class_0
89,2,2,1,2,0,2,1,class_0
90,2,2,1,2,0,1,2,class_0
96,1,1,1,0,1,2,2,class_0
100,1,2,2,1,2,0,2,class_0
102,2,2,2,0,2,1,2,class_0
104,2,2,0,1,1,2,2,class_0
106,1,2,2,1,1,0,2,class_0
109,2,2,2,2,1,2,2,class_0
110,0,1,0,0,0,2,0,class_0
111,2,0,2,0,2,1,1,class_0
113,2,0,0,2,2,0,1,class_0
118,1,2,2,1,2,2,2,class_0
122,2,2,2,0,0,0,1,class_0
124,1,2,2,2,1,1,0,class_0
130,2,2,1,2,2,2,2,class_0
131,2,0,1,2,2,2,1,class_0
132,2,0,0,2,2,2,1,class_0
