@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute class {class_0,class_1,class_2}

@data
5,0,3,0,2,0,0,0,0,0,0,0,class_0
2,3,2,0,2,0,0,1,0,0,0,0,class_0
1,4,2,0,2,0,0,1,0,0,0,0,class_0
5,3,3,0,1,0,0,0,0,0,0,0,class_0
5,4,3,0,0,0,0,1,0,0,0,0,class_0
1,0,2,0,1,0,0,1,0,0,0,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
1,0,2,0,2,0,0,1,0,0,0,0,class_0
1,0,2,0,1,0,0,1,0,0,1,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
1,0,2,0,1,0,0,1,0,0,0,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
0,5,1,0,1,0,0,1,0,0,0,0,class_0
1,4,2,1,1,0,0,1,0,0,0,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
0,5,2,0,1,0,0,1,0,0,0,0,class_0
2,3,1,0,2,0,0,1,0,0,1,0,class_0
5,4,3,0,2,0,0,1,0,0,0,0,class_0
0,5,2,0,1,0,0,1,0,0,0,0,class_0
0,5,2,0,1,0,1,1,0,0,0,0,class_0
5,4,3,0,1,0,0,1,0,0,0,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
0,5,2,1,1,0,1,1,0,0,0,0,class_0
1,3,2,0,2,0,0,1,0,0,5,0,class_0
0,5,2,0,1,0,1,1,0,0,0,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
2,0,1,1,2,0,0,1,0,0,2,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
2,3,2,0,2,0,0,1,0,0,0,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
0,5,2,0,0,0,1,1,0,0,0,0,class_0
0,5,2,0,0,0,0,1,0,0,0,0,class_0
1,3,1,1,0,0,1,1,0,0,0,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
2,3,1,0,2,0,1,1,0,0,0,0,class_0
0,5,2,0,1,0,0,1,0,0,0,0,class_0
1,3,2,0,2,0,0,1,0,0,0,0,class_0
3,0,0,0,2,0,0,1,0,0,3,1,class_0
5,0,3,0,1,0,0,0,0,0,1,0,class_0
0,5,2,0,1,0,1,1,0,0,1,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
0,5,2,0,1,0,0,1,0,0,0,0,class_0
2,2,1,1,2,0,1,1,0,0,2,0,class_0
3,0,1,1,1,0,0,1,0,0,7,0,class_0
2,0,1,0,2,0,1,1,0,0,0,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
5,3,3,0,1,0,0,1,0,0,0,0,class_0
1,3,2,0,1,0,0,1,0,0,0,0,class_0
2,0,2,1,2,2,1,1,0,0,2,0,class_0
3,4,2,1,2,0,1,1,0,0,5,0,class_0
1,3,2,0,2,0,0,1,0,0,0,0,class_0
3,4,1,1,2,0,1,1,0,0,0,0,class_0
1,3,2,0,2,0,0,1,0,0,0,0,class_0
2,0,1,1,2,0,1,1,0,0,0,0,class_0
3,0,1,1,2,0,1,1,0,0,4,4,class_0
5,4,3,0,2,0,0,0,0,0,0,0,class_0
2,0,2,0,2,0,0,1,0,0,1,0,class_0
2,3,2,0,2,0,0,1,0,0,1,1,class_0
2,4,2,0,2,0,1,1,0,0,0,0,class_0
0,5,2,0,1,0,0,1,0,0,0,0,class_0
2,0,1,1,1,0,1,1,0,0,0,0,class_0
3,0,1,1,2,2,1,1,0,0,6,0,class_0
5,4,3,0,0,0,0,0,0,0,0,0,class_0
2,4,1,1,2,0,0,1,0,0,0,0,class_0
2,4,2,1,2,1,0,1,0,0,1,0,class_0
2,3,2,0,2,0,0,1,0,0,0,0,class_0
2,4,2,0,2,0,1,1,0,0,0,0,class_0
2,4,2,0,2,0,0,1,0,0,0,0,class_0
2,4,2,0,1,0,1,1,0,0,0,0,class_0
3,2,0,1,2,2,1,1,1,0,6,0,class_0
5,3,3,0,2,0,0,0,0,0,0,0,class_0
2,0,2,0,1,0,1,1,0,0,2,0,class_0
1,4,1,0,2,0,0,1,0,0,1,0,class_0
1,4,2,0,1,0,0,1,0,0,0,0,class_0
0,5,2,0,2,0,0,1,0,0,1,0,class_0
0,5,2,0,2,0,0,1,0,0,0,0,class_0
2,4,2,0,1,0,1,1,0,0,1,0,class_0
2,0,1,0,2,0,0,1,0,0,0,0,class_0
2,4,2,0,1,0,1,1,0,0,0,0,class_0
4,2,0,1,2,0,1,1,1,0,0,0,class_0
2,0,1,0,2,0,1,1,0,0,0,0,class_0
1,3,2,0,1,0,0,1,0,0,0,0,class_0
