@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute class {class_0,class_1}

@data
0,0,25,31,0,0,4,1.8,140,6300,2890,0,13.2,5,177,102,68,37,26.5,11,2705,0,class_0
3,1,22,31,2,0,4,2.2,110,5200,2565,1,16.4,6,189,105,69,41,28,16,2880,1,class_0
5,2,25,36,0,0,4,2.2,110,5200,2380,0,15.2,5,182,101,66,38,25,13,2490,1,class_0
5,2,25,34,2,0,4,2.2,110,5200,2665,0,15.6,5,184,103,68,39,26,14,2785,1,class_0
5,4,19,28,1,1,6,3.4,160,4600,1805,0,15.5,4,193,101,74,43,25,13,3240,1,class_0
5,1,21,29,0,0,4,2.2,110,5200,2595,1,16.5,6,198,108,71,40,28.5,16,3195,1,class_0
5,5,18,23,0,0,6,3.8,170,4800,1690,1,20,7,178,110,74,44,30.5,16,3715,1,class_0
5,5,15,20,0,2,6,4.3,165,4000,1790,1,27,8,194,111,78,42,33.5,22,4025,1,class_0
5,3,17,26,2,1,8,5,170,4200,1350,1,23,6,214,116,77,42,29.5,20,3910,1,class_0
6,3,20,28,1,0,6,3.3,153,5300,1990,1,18,6,203,113,74,40,31,15,3515,1,class_0
6,2,23,28,1,0,4,3,141,5000,2090,1,16,6,183,104,68,41,30.5,14,3085,1,class_0
7,0,29,33,0,0,4,1.5,92,6000,3285,0,13.2,5,174,98,66,32,26.5,11,2270,1,class_0
7,0,23,29,2,0,4,2.2,93,4800,2595,0,14,5,172,97,67,38,26.5,13,2670,1,class_0
7,2,22,27,2,0,4,2.5,100,4800,2535,0,16,6,181,104,68,39,30.5,14,2970,1,class_0
7,5,17,21,2,2,6,3,142,5000,1970,1,20,7,175,112,72,42,26.5,12,3705,1,class_0
7,1,21,27,2,0,4,2.5,100,4800,2465,1,16,6,192,105,69,42,30.5,16,3080,1,class_0
8,0,29,33,0,0,4,1.5,92,6000,2505,0,13.2,5,174,98,66,36,26.5,11,2295,1,class_0
8,3,20,28,1,0,6,3.5,214,5800,1980,1,18,6,202,113,74,40,30,15,3490,1,class_0
9,0,31,33,0,0,4,1.3,63,5000,3150,0,10,4,141,90,63,33,26,12,1845,1,class_0
9,0,23,30,0,0,4,1.8,127,6500,2410,0,13.2,5,171,98,67,36,28,12,2530,1,class_0
9,2,22,27,0,0,4,2.3,96,4200,2805,0,15.9,5,177,100,68,39,27.5,13,2690,1,class_0
9,4,22,29,2,1,4,2.3,105,4600,2285,0,15.4,4,180,101,68,40,24,12,2850,1,class_0
9,4,24,30,2,0,4,2,115,5500,2340,0,15.5,4,179,103,70,38,23,18,2710,1,class_0
