@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute class {class_0,class_1}

@data
1.333333,1,1,64,8.531719,8.617078,6.679836,7.319134,5.896348,6.289116,11.676581,9.561092,6.084346,8.697247,6.687298,5.287486,7.504454,7.130403,7.482673,9.569744,6.331134,13.631622,14.01098,class_0
6,0,1,62,8.683686,7.684136,6.658628,6.940731,5.420231,5.300152,11.504114,9.79951,5.73346,7.907645,5.848469,5.698212,7.46637,7.859878,9.190885,8.62974,6.13495,11.769316,12.639903,class_0
4.333333,1,1,67,8.91467,9.250033,5.676714,6.788213,5.079925,5.16191,11.073823,10.193316,5.821582,9.336667,6.715405,5.285468,7.595796,7.164914,7.49093,8.623488,6.382062,11.943175,12.3311,class_0
5.5,0,1,57,8.554194,8.894403,5.937869,6.741447,5.14411,5.103427,11.171578,9.669799,5.869365,8.744433,6.373956,5.382534,7.840492,8.241894,8.611466,8.791654,6.227895,12.660705,12.943939,class_0
7.666667,0,1,65,9.931373,10.431084,5.658186,6.677176,5.086443,5.21387,10.968813,10.818955,5.983098,8.069779,6.363155,5.259524,7.407852,7.057972,6.657176,8.214196,6.628131,12.680855,12.92554,class_0
5.416667,0,1,62,8.391149,8.735668,7.009474,7.454556,6.428888,6.587709,11.462254,8.967028,5.823898,7.799417,6.070281,5.307211,7.371534,6.896806,7.195116,9.990222,7.059176,13.162161,13.475815,class_0
3.583333,0,1,71,8.320278,8.318787,6.732303,7.28192,5.49126,5.685806,11.30587,10.398424,5.979978,9.681627,7.59404,5.290878,7.467788,6.908635,6.819471,9.506254,6.348525,13.146776,13.564238,class_0
3.333333,1,1,68,8.571978,8.906349,6.256174,7.141716,5.392935,5.650725,11.538812,9.803539,5.977655,7.708367,6.087629,5.176006,7.419534,8.223849,8.059893,7.621744,6.735875,13.520821,13.853781,class_0
2.166667,1,1,64,9.759274,10.480974,6.254521,7.161759,5.305021,5.335307,11.564929,10.045326,5.656332,9.447378,7.902461,5.576352,7.543114,7.636556,7.930588,9.284662,6.00471,13.06538,13.368758,class_0
6.416667,0,1,68,9.517478,10.273017,6.303902,6.92838,5.649992,5.477277,11.314949,10.795749,6.080054,10.178985,8.477016,5.422489,7.472751,7.006495,6.698037,9.532576,6.427208,13.073455,13.346092,class_0
0.166667,1,1,58,9.703972,10.148132,6.660798,7.230892,7.251323,7.4056,11.228615,9.856822,5.903463,9.082719,6.943944,5.510859,7.527902,7.09572,7.259808,10.570774,6.227152,13.304687,13.624179,class_0
5.5,0,1,73,9.936638,10.592129,5.917971,6.675279,5.227379,5.216122,11.587942,10.647248,5.932754,7.927613,6.063523,5.28723,7.434073,6.95375,7.183838,8.105695,6.522463,12.714773,12.93925,class_0
2.75,0,1,62,9.235314,8.83538,5.837579,6.981379,5.176849,4.922434,11.224119,8.941479,6.416493,7.866411,5.765901,5.762471,7.596163,6.726912,7.286681,8.479801,6.582546,11.937785,12.542717,class_0
7.083333,0,1,51,10.026387,10.640241,6.684125,6.964649,5.742024,5.733372,12.197505,9.420533,5.802527,8.847362,6.299305,5.266062,7.474542,7.421405,8.014371,7.607074,6.46033,13.544859,13.853232,class_0
5.5,0,1,62,8.848721,9.566093,6.093366,7.036537,5.289784,5.277417,11.756402,10.022536,6.029931,8.154959,6.26189,5.225469,7.790701,6.810438,6.754089,7.127325,6.570436,12.702439,13.052412,class_0
7.583333,0,1,65,7.76154,7.447009,6.236007,7.016531,5.577807,5.738852,10.913255,10.134414,6.176352,8.122955,5.768845,5.321862,7.509996,7.04063,7.064753,7.869536,6.304395,12.16833,12.701342,class_0
5.666667,1,1,74,8.47399,8.221137,5.905259,7.04426,5.057819,5.056266,10.825535,9.834333,6.00793,9.104793,6.428602,5.625647,7.634808,7.321098,7.790416,7.44883,6.668826,12.102426,12.601892,class_0
2,1,1,54,8.012294,8.087951,6.018742,6.923999,5.385712,5.163353,10.534998,9.646916,6.094354,8.92202,6.419165,5.595468,7.884178,8.16779,8.570328,9.403329,6.345411,12.977472,13.193051,class_0
5.166667,0,1,76,9.321097,9.664958,5.385793,6.614633,4.921171,5.09138,11.537325,10.096586,5.919718,8.398563,6.326735,5.281103,7.387789,7.164245,7.878774,8.094554,6.249369,12.448354,12.79135,class_0
1.666667,1,1,70,8.588158,8.908343,6.430132,6.827983,5.800532,5.523496,11.185809,9.989526,6.110554,9.132019,7.221466,5.232369,7.383854,7.236224,7.33876,9.628643,6.199761,13.317153,13.650002,class_0
2.666667,1,1,67,8.073971,7.859503,5.861908,6.908844,5.104324,5.128744,10.148198,9.571156,5.789808,8.489407,6.052363,5.479372,7.937624,6.990866,7.240388,8.727992,6.799995,12.470236,12.977782,class_0
4.166667,0,1,64,9.236736,9.220332,5.855473,6.918553,4.986215,4.998463,11.436375,10.171794,6.034512,8.356588,6.152062,5.617958,7.692192,6.695165,6.611278,6.40622,6.361956,12.564787,13.022992,class_0
2.583333,0,1,58,8.538558,8.61516,5.77832,6.664104,5.09556,4.975616,11.18554,9.418267,5.97132,8.771606,6.235062,5.342281,7.759467,7.074056,7.133416,8.325448,6.583445,12.346636,12.794632,class_0
3.166667,0,1,65,8.227265,8.072123,6.867813,7.301593,5.679151,5.445935,11.459265,8.054857,5.867994,7.695152,5.721892,5.296083,7.465983,7.645211,8.923645,7.701159,6.26799,12.613214,13.072666,class_0
1.583333,1,1,75,10.445807,10.4444,5.966138,6.854594,5.095684,5.121823,10.707898,9.271814,6.062999,8.258097,6.015309,5.361144,7.474889,7.741055,7.993869,8.189925,6.46294,12.357848,12.551825,class_0
6.666667,0,1,54,8.88203,9.003783,6.730434,7.016476,5.917123,5.963593,11.498878,9.067653,5.912738,8.446924,6.192323,5.303012,7.291731,7.599882,8.423163,7.442255,6.204524,13.074622,13.4781,class_0
5.666667,0,1,76,8.622498,9.095213,6.018483,6.823714,5.191633,5.217007,10.794001,10.200568,5.987255,8.076004,6.104872,5.339537,7.369255,9.011343,9.561231,9.282721,6.393961,12.318491,12.622614,class_0
3.416667,0,1,61,8.636234,8.324806,6.165772,6.987441,5.363477,5.390911,10.737612,9.941324,5.919398,8.407259,5.880264,5.611902,7.944425,7.066807,7.348623,9.677809,6.812037,12.0486,12.726575,class_0
