@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute class {class_0,class_1}

@data
28,1,3,130,132,1,0,185,0,0,1,0,1,class_0
29,1,3,120,243,1,1,160,0,0,1,0,2,class_0
29,1,3,140,491,1,1,170,0,0,1,0,0,class_0
30,0,0,170,237,1,2,170,0,0,1,0,0,class_0
31,0,3,100,219,1,2,150,0,0,1,0,0,class_0
32,0,3,105,198,1,1,165,0,0,1,0,2,class_0
32,1,3,110,225,1,1,184,0,0,1,0,0,class_0
32,1,3,125,254,1,1,155,0,0,1,0,2,class_0
33,1,2,120,298,1,1,185,0,0,1,0,0,class_0
34,0,3,130,161,1,1,190,0,0,1,0,0,class_0
34,1,3,150,214,1,2,168,0,0,1,0,2,class_0
34,1,3,98,220,1,1,150,0,0,2,0,0,class_0
35,0,0,120,160,1,2,185,0,0,1,0,2,class_0
35,0,1,140,167,1,1,150,0,0,1,0,1,class_0
35,1,3,120,308,1,0,180,0,0,1,0,0,class_0
35,1,3,150,264,1,1,168,0,0,1,0,1,class_0
36,1,3,120,166,1,1,180,0,0,2,0,1,class_0
36,1,2,112,340,1,1,184,0,1,1,0,1,class_0
36,1,2,130,209,1,1,178,0,0,1,0,0,class_0
36,1,2,150,160,1,1,172,0,0,2,0,2,class_0
37,0,3,120,260,1,1,130,0,0,2,0,2,class_0
37,0,2,130,211,1,1,142,0,0,1,0,0,class_0
37,0,1,130,173,1,2,184,0,0,2,0,1,class_0
37,1,3,130,283,1,2,98,0,0,1,0,0,class_0
37,1,2,130,194,1,1,150,0,0,1,0,0,class_0
37,1,1,120,223,1,1,168,0,0,2,0,1,class_0
37,1,1,130,315,1,1,158,0,0,2,0,0,class_0
38,0,3,120,275,0,1,129,0,0,1,0,0,class_0
38,1,3,140,297,1,1,150,0,0,1,0,0,class_0
38,1,2,145,292,1,1,130,0,0,1,0,2,class_0
39,0,2,110,182,1,2,180,0,0,1,0,1,class_0
39,1,3,120,285,1,2,146,0,2,2,0,0,class_0
39,1,3,120,200,1,1,160,1,1,1,0,1,class_0
