@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11}

@data
1979,9718,class_0
1980,11248,class_0
1981,11858,class_0
1982,14016,class_0
1983,16856,class_0
1984,18198,class_0
1985,19209,class_0
1986,22763,class_0
1987,23138,class_0
1988,26018,class_0
1989,30144,class_0
1990,46398,class_0
1991,27528,class_0
1992,52700,class_0
1993,67200,class_0
1994,55000,class_0
1995,53000,class_0
1996,69900,class_0
1997,67731,class_0
1998,54291,class_0
1999,57740,class_0
2000,63553,class_0
1979,10889,class_1
1980,14071,class_1
1981,14550,class_1
1982,16227,class_1
1983,19691,class_1
1984,32784,class_1
1985,23288,class_1
1986,24656,class_1
1987,27564,class_1
1988,33275,class_1
1989,38826,class_1
1990,62295,class_1
1991,16748,class_1
1992,62300,class_1
1993,69400,class_1
1994,62000,class_1
1995,64000,class_1
1996,82400,class_1
1997,67848,class_1
1998,71634,class_1
1999,74041,class_1
2000,87243,class_1
1979,17846,class_2
1980,23369,class_2
1981,24290,class_2
1982,32511,class_2
1983,36446,class_2
1984,42768,class_2
1985,44127,class_2
1986,54721,class_2
1987,45934,class_2
1988,66266,class_2
1989,83388,class_2
1990,112452,class_2
1991,44815,class_2
1992,107000,class_2
1993,119600,class_2
1994,118000,class_2
1995,112000,class_2
1996,133700,class_2
1997,134000,class_2
1998,101575,class_2
1999,126494,class_2
2000,135487,class_2
1979,28200,class_3
1980,28843,class_3
1981,41040,class_3
1982,52437,class_3
1983,45752,class_3
1984,73208,class_3
1985,69653,class_3
1986,70355,class_3
1987,94604,class_3
1988,92628,class_3
1989,124812,class_3
1990,168848,class_3
1991,81168,class_3
1992,187100,class_3
1993,172500,class_3
1994,160000,class_3
1995,200000,class_3
1996,180700,class_3
1997,161356,class_3
1998,179452,class_3
1999,180076,class_3
2000,221785,class_3
1979,22873,class_4
1980,30274,class_4
1981,29990,class_4
1982,48961,class_4
1983,53114,class_4
1984,69210,class_4
1985,73007,class_4
1986,85126,class_4
1987,97172,class_4
1988,121848,class_4
1989,156534,class_4
1990,168553,class_4
1991,124753,class_4
1992,230300,class_4
1993,186500,class_4
1994,236000,class_4
1995,240000,class_4
1996,202800,class_4
1997,206345,class_4
1998,242833,class_4
1999,273317,class_4
2000,299355,class_4
1979,25835,class_5
1980,31978,class_5
1981,39651,class_5
1982,51455,class_5
1983,51953,class_5
1984,80708,class_5
1985,90958,class_5
1986,94176,class_5
1987,101356,class_5
1988,115818,class_5
1989,140226,class_5
1990,157250,class_5
1991,145217,class_5
1992,217000,class_5
1993,172200,class_5
1994,223000,class_5
1995,222000,class_5
1996,195000,class_5
1997,219460,class_5
1998,248426,class_5
1999,276879,class_5
2000,302011,class_5
1979,43573,class_6
1980,48316,class_6
1981,56420,class_6
1982,82715,class_6
1983,91906,class_6
1984,104653,class_6
1985,116756,class_6
1986,112056,class_6
1987,128048,class_6
1988,152130,class_6
1989,180540,class_6
1990,204337,class_6
1991,192000,class_6
1992,253100,class_6
1993,224500,class_6
1994,277000,class_6
1995,278000,class_6
1996,244400,class_6
1997,275535,class_6
1998,309983,class_6
1999,322041,class_6
2000,362299,class_6
1979,41744,class_7
1980,50882,class_7
1981,62542,class_7
1982,77238,class_7
1983,83577,class_7
1984,97310,class_7
1985,115581,class_7
1986,112971,class_7
1987,130808,class_7
1988,153024,class_7
1989,174672,class_7
1990,197925,class_7
1991,204000,class_7
1992,249800,class_7
1993,244800,class_7
1994,285000,class_7
1995,263000,class_7
1996,252000,class_7
1997,293887,class_7
1998,326854,class_7
1999,341088,class_7
2000,356686,class_7
1979,31514,class_8
1980,36629,class_8
1981,44116,class_8
1982,69375,class_8
1983,104251,class_8
1984,85411,class_8
1985,100810,class_8
1986,98047,class_8
1987,111040,class_8
1988,129486,class_8
1989,171276,class_8
1990,174949,class_8
1991,190100,class_8
1992,244000,class_8
1993,222500,class_8
1994,247000,class_8
1995,254000,class_8
1996,220900,class_8
1997,242625,class_8
1998,270283,class_8
1999,309498,class_8
2000,329964,class_8
1979,27253,class_9
1980,34813,class_9
1981,43356,class_9
1982,50175,class_9
1983,57536,class_9
1984,65263,class_9
1985,79772,class_9
1986,77174,class_9
1987,99158,class_9
1988,117810,class_9
1989,140766,class_9
1990,147128,class_9
1991,172300,class_9
1992,200700,class_9
1993,205300,class_9
1994,231000,class_9
1995,231000,class_9
1996,194500,class_9
1997,224371,class_9
1998,228881,class_9
1999,270732,class_9
2000,300597,class_9
1979,17623,class_10
1980,21337,class_10
1981,26357,class_10
1982,26715,class_10
1983,28581,class_10
1984,34530,class_10
1985,41486,class_10
1986,40399,class_10
1987,51563,class_10
1988,58710,class_10
1989,77583,class_10
1990,59253,class_10
1991,90300,class_10
1992,111500,class_10
1993,91500,class_10
1994,106000,class_10
1995,108000,class_10
1996,92500,class_10
1997,111110,class_10
1998,105773,class_10
1999,118105,class_10
2000,133500,class_10
1979,19845,class_11
1980,21615,class_11
1981,24963,class_11
1982,26355,class_11
1983,31063,class_11
1984,32929,class_11
1985,38960,class_11
1986,35493,class_11
1987,38166,class_11
1988,44805,class_11
1989,58869,class_11
1990,61821,class_11
1991,96200,class_11
1992,75500,class_11
1993,65000,class_11
1994,69000,class_11
1995,75000,class_11
1996,81200,class_11
1997,83732,class_11
1998,82716,class_11
1999,84274,class_11
2000,93722,class_11
