@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1}

@data
1,508,235,3944,325,class_0
2,564,231,4578,323,class_0
3,322,270,4011,328,class_0
4,846,261,5233,305,class_0
5,871,300,4780,303,class_0
6,774,317,5889,307,class_0
7,856,387,5663,301,class_0
8,889,285,5759,310,class_0
9,715,300,4894,300,class_0
10,753,221,5012,324,class_0
11,649,264,4908,329,class_0
12,830,308,5753,320,class_0
13,738,379,5439,337,class_0
14,659,342,4634,328,class_0
15,664,378,4921,330,class_0
16,572,232,4869,318,class_0
17,701,231,4672,309,class_0
18,443,246,4782,333,class_0
19,446,230,4296,330,class_0
20,615,268,4827,318,class_0
21,661,337,5057,304,class_0
22,772,344,5540,328,class_1
23,766,330,5331,323,class_1
24,631,261,4715,317,class_1
25,390,214,3828,310,class_1
26,450,245,4120,321,class_1
27,476,233,3817,342,class_1
28,603,250,4243,339,class_1
29,805,243,4647,287,class_1
30,523,216,3967,325,class_1
31,588,212,3946,315,class_1
32,584,208,3724,332,class_1
33,445,215,3448,358,class_1
34,500,221,3680,320,class_1
35,661,244,3825,355,class_1
36,680,234,4189,306,class_1
37,797,269,4336,335,class_1
38,534,302,4418,335,class_1
39,541,268,4323,344,class_1
40,605,323,4813,331,class_1
41,785,304,5046,324,class_1
42,698,317,3764,366,class_1
43,796,332,4504,340,class_1
44,804,315,4005,378,class_1
45,809,291,5560,330,class_1
46,726,312,4989,313,class_1
47,671,316,4697,305,class_1
48,909,332,5438,307,class_1
49,484,546,5613,386,class_1
50,831,311,5309,333,class_1
