@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute class {class_0,class_1}

@data
1061,5,0,2,454,382,362,382,567,485,471,487,6,11,9,4,class_0
1065,865,0,1,533,494,329,415,716,663,442,559,9,26,20,9,class_0
1004,969,1,1,441,385,310,388,542,473,383,477,57,33,35,2,class_0
1008,35,1,2,466,394,351,396,558,476,427,478,20,18,30,0,class_0
1012,80,1,2,498,379,322,401,655,501,404,523,34,25,27,3,class_0
1016,917,1,2,506,412,359,411,607,508,445,503,67,40,66,27,class_0
1019,376,1,2,339,303,287,301,421,371,347,366,8,15,19,2,class_0
1024,454,1,2,360,304,258,300,433,369,313,363,27,25,33,4,class_0
1029,967,1,2,354,321,277,291,436,401,346,363,17,19,31,19,class_0
1033,606,1,2,301,290,283,290,375,363,355,362,18,28,28,3,class_0
1036,737,1,1,565,425,363,449,710,556,476,578,83,46,77,9,class_0
1041,789,1,2,431,352,311,373,518,425,374,449,23,17,14,1,class_0
1044,812,1,2,321,288,251,272,388,354,312,335,13,18,18,10,class_0
1047,853,1,1,462,385,322,350,560,467,392,426,25,59,100,19,class_0
1050,857,1,1,410,352,306,327,487,415,362,387,57,65,85,45,class_0
8310,36,1,1,519,422,343,403,621,507,411,483,56,54,63,28,class_0
1085,869,2,2,453,363,330,349,561,448,402,428,23,24,48,22,class_0
1086,871,2,2,406,366,332,335,505,457,415,419,40,33,71,46,class_0
1088,28,2,2,499,478,330,399,618,421,402,488,14,5,21,2,class_0
1089,30,2,2,439,381,337,374,550,479,427,471,44,71,52,13,class_0
1094,1004,2,2,309,280,274,285,428,383,376,391,14,9,15,2,class_0
1098,359,2,2,447,375,341,375,561,480,435,477,55,42,33,25,class_0
1099,360,2,2,485,399,362,421,664,534,453,562,24,26,14,1,class_0
1100,404,2,2,372,338,304,341,478,414,375,426,23,22,10,3,class_0
1102,629,2,2,422,355,289,342,529,445,375,435,36,14,28,19,class_0
1106,1121,2,2,416,438,264,266,509,542,327,331,4,4,12,4,class_0
1107,771,2,1,461,389,321,362,575,484,402,453,27,31,34,23,class_0
10311,351,2,2,424,374,335,380,512,461,401,460,80,46,41,8,class_0
1074,333,3,2,358,328,274,299,439,395,332,363,20,18,24,12,class_0
1117,46,4,1,430,375,318,368,573,494,428,488,43,62,32,12,class_0
1122,79,4,1,455,369,303,370,582,462,371,464,32,57,31,6,class_0
1131,117,4,0,970,733,576,866,1204,909,717,1075,173,40,44,0,class_0
1133,118,4,2,477,392,335,398,600,501,433,507,32,21,33,6,class_0
1156,764,4,1,602,459,380,553,755,592,497,699,170,34,29,0,class_0
1164,152,4,1,578,470,420,491,763,627,573,656,38,37,36,0,class_0
1170,162,4,2,716,516,411,601,892,661,510,751,36,16,12,2,class_0
1171,355,4,2,771,579,454,638,961,739,588,805,34,14,20,0,class_0
1172,648,4,2,652,439,381,547,824,572,482,695,31,10,13,0,class_0
1173,652,4,2,730,525,417,566,909,658,530,708,60,52,40,7,class_0
1174,745,4,2,611,458,372,511,776,588,495,658,28,10,15,1,class_0
1179,182,4,2,524,421,374,448,630,503,443,535,25,16,15,3,class_0
1183,369,4,2,484,394,275,368,542,443,311,413,10,22,18,1,class_0
1216,963,4,1,482,392,326,401,602,478,396,494,41,28,41,0,class_0
1238,524,4,1,593,461,407,492,737,571,507,612,28,16,23,2,class_0
1249,608,4,2,624,469,388,490,806,593,482,621,49,42,33,15,class_0
1253,306,4,2,480,347,340,361,611,479,434,447,0,0,0,0,class_0
1258,634,4,2,362,333,315,336,441,398,376,403,40,17,41,4,class_0
1262,650,4,2,507,393,358,429,637,523,468,549,43,21,23,7,class_0
1264,641,4,1,715,561,511,637,930,737,645,829,130,72,22,7,class_0
1302,723,4,1,614,494,404,500,754,616,497,618,38,55,42,0,class_0
1322,984,4,1,566,468,406,488,716,592,495,610,49,19,39,0,class_0
1341,1105,4,2,489,408,339,415,616,524,429,526,30,19,22,3,class_0
1342,1110,4,1,666,499,347,531,808,601,416,642,48,27,24,9,class_0
1343,1131,4,1,482,373,365,381,613,472,454,478,5,11,6,0,class_0
7993,110,4,1,597,482,377,499,752,619,495,637,95,48,50,13,class_0
1345,1,5,1,436,356,321,360,527,444,400,444,29,21,40,8,class_0
1347,197,5,2,613,488,398,525,776,621,509,665,63,38,26,1,class_0
1353,297,5,2,439,385,342,392,516,452,402,460,73,35,52,5,class_0
1358,509,5,2,429,353,297,340,508,427,363,410,49,31,37,7,class_0
1363,670,5,2,489,434,349,424,626,531,428,527,16,26,12,2,class_0
1365,938,5,1,474,422,360,397,559,498,425,468,47,45,63,15,class_0
1372,1100,5,2,452,381,324,402,546,460,406,490,52,25,26,0,class_0
4509,897,5,1,522,422,385,451,642,524,480,558,62,56,40,3,class_0
9401,196,5,2,409,284,251,255,581,356,318,323,3,8,13,8,class_0
1374,8,6,2,391,343,341,340,444,400,500,393,9,7,5,3,class_0
1379,210,6,2,619,461,366,499,810,613,477,654,63,35,30,11,class_0
1380,1092,6,1,658,516,477,575,883,711,652,778,90,36,50,2,class_0
1385,281,6,1,685,545,452,545,894,733,603,721,62,43,81,6,class_0
1397,973,6,1,524,450,401,471,656,576,513,596,72,44,30,1,class_0
1402,663,6,1,697,540,412,553,877,686,531,701,82,51,64,10,class_0
1403,711,6,2,546,444,374,435,686,566,478,553,19,55,30,7,class_0
1409,717,6,1,548,451,360,430,654,544,432,517,8,34,22,1,class_0
1414,850,6,2,706,501,394,550,901,650,494,704,57,49,32,0,class_0
1416,942,6,1,505,437,360,434,644,551,463,553,32,29,26,1,class_0
1424,1082,6,1,734,504,423,597,936,641,539,761,128,57,66,0,class_0
1425,258,6,1,650,515,400,535,856,689,547,714,47,47,33,0,class_0
1452,554,7,2,666,360,288,330,622,453,364,413,3,10,17,0,class_0
1460,850,7,2,457,362,293,350,536,435,349,415,12,12,21,2,class_0
1428,233,8,1,545,435,359,379,716,583,491,515,29,47,61,34,class_0
1429,325,8,2,492,405,286,417,613,511,350,528,8,14,3,1,class_0
1433,1081,8,2,448,373,334,376,565,449,396,456,14,12,22,1,class_0
1466,56,9,1,488,420,350,394,598,508,424,477,39,77,84,15,class_0
1468,805,9,1,438,482,351,403,520,570,421,480,23,22,37,4,class_0
1487,267,9,2,534,424,357,436,676,547,472,563,32,18,37,0,class_0
1488,293,9,2,440,369,331,369,552,473,409,463,30,18,44,4,class_0
1515,684,9,1,542,420,321,457,678,519,378,564,78,43,26,7,class_0
1531,809,9,1,622,437,370,477,794,561,467,605,61,52,65,2,class_0
1538,995,9,2,495,425,371,416,593,513,438,497,36,37,46,4,class_0
3955,1002,9,1,489,391,350,390,636,505,458,507,59,65,75,22,class_0
8849,636,9,2,413,369,333,348,491,451,390,412,11,14,28,13,class_0
9841,975,9,2,498,405,343,408,663,544,462,547,73,81,57,19,class_0
1542,3,10,2,527,421,356,426,651,528,441,528,19,24,19,4,class_0
1544,6,10,2,444,395,335,371,578,519,437,484,38,24,68,8,class_0
1546,31,10,2,462,367,315,347,588,457,391,434,38,32,119,12,class_0
1552,39,10,1,503,409,336,383,645,520,431,489,40,43,79,21,class_0
1554,76,10,2,515,403,343,399,650,519,439,509,25,20,38,3,class_0
1561,202,10,1,456,375,333,396,588,491,437,515,75,50,51,2,class_0
1566,298,10,2,471,382,339,379,596,490,439,487,37,39,49,17,class_0
