@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute class {class_0,class_1}

@data
3,83,0,0,0,2,0,0,0,88.6,168.8,64.1,48.8,2548,0,4,130,0,3.47,2.68,9,5000,21,27,13495,class_0
3,89,0,0,0,2,0,0,0,88.6,168.8,64.1,48.8,2548,0,4,130,0,3.47,2.68,9,5000,21,27,16500,class_0
1,91,0,0,0,2,1,0,0,94.5,171.2,65.5,52.4,2823,1,6,152,0,2.68,3.47,9,5000,19,26,16500,class_0
2,164,1,0,0,4,2,2,0,99.4,176.6,66.4,54.3,2824,2,5,136,0,3.19,3.4,8,5500,18,22,17450,class_0
2,168,1,0,0,2,2,1,0,99.8,177.3,66.3,53.1,2507,2,5,136,0,3.19,3.4,8.5,5500,19,25,15250,class_0
1,158,1,0,0,4,2,1,0,105.8,192.7,71.4,55.7,2844,2,5,136,0,3.19,3.4,8.5,5500,19,25,17710,class_0
1,94,1,0,0,4,3,1,0,105.8,192.7,71.4,55.7,2954,2,5,136,0,3.19,3.4,8.5,5500,19,25,18920,class_0
1,158,1,0,1,4,2,1,0,105.8,192.7,71.4,55.9,3086,2,5,131,0,3.13,3.4,8.3,5500,17,20,23875,class_0
0,65,1,0,1,2,1,2,0,99.5,178.2,67.9,52,3053,2,5,131,0,3.13,3.4,7,5500,16,22,6795,class_0
0,188,2,0,0,2,2,0,0,101.2,176.8,64.8,54.3,2710,2,6,164,0,3.31,3.19,9,4250,21,28,20970,class_0
0,188,2,0,0,4,2,0,0,101.2,176.8,64.8,54.3,2765,2,6,164,0,3.31,3.19,9,4250,21,28,21105,class_0
1,81,2,0,0,4,2,0,0,103.5,189,66.9,55.7,3055,2,6,164,0,3.31,3.19,9,4250,20,25,24565,class_0
0,161,2,0,0,4,2,0,0,103.5,189,66.9,55.7,3230,2,6,209,0,3.62,3.39,8,5400,16,22,30760,class_0
0,83,2,0,0,2,2,0,0,103.5,193.8,67.9,53.7,3380,2,6,209,0,3.62,3.39,8,5400,16,22,41315,class_0
0,161,2,0,0,4,2,0,0,110,197,70.9,56.3,3505,2,6,209,0,3.62,3.39,8,5400,15,20,36880,class_0
3,145,4,0,1,2,1,1,0,95.9,173.2,66.3,50.2,2811,2,4,156,2,3.6,3.9,7,5000,19,24,12964,class_0
0,145,7,0,0,4,2,0,0,113,199.6,69.6,52.8,4066,0,6,258,0,3.63,4.17,8.1,4750,15,19,32250,class_0
0,150,7,0,0,4,2,0,0,113,199.6,69.6,52.8,4066,0,6,258,0,3.63,4.17,8.1,4750,15,19,35550,class_0
0,85,7,0,0,2,2,0,0,102,191.7,70.6,47.8,3950,1,12,326,0,3.54,2.76,11.5,5000,13,17,36000,class_0
3,150,8,0,0,2,1,0,0,95.3,169,65.7,49.6,2500,4,2,80,0,3.19,3.03,9.4,6000,16,23,15645,class_0
0,118,8,0,0,4,2,0,0,104.9,175,66.1,54.4,2670,2,4,140,0,3.76,3.16,8,5000,19,27,18280,class_0
-1,93,9,1,1,4,2,0,0,110,190.9,70.3,56.5,3515,2,5,183,6,3.58,3.64,21.5,4350,22,25,25552,class_0
-1,93,9,1,1,4,3,0,0,110,190.9,70.3,58.7,3750,2,5,183,6,3.58,3.64,21.5,4350,22,25,28248,class_0
0,93,9,1,1,2,4,0,0,106.7,187.5,70.3,54.9,3495,2,5,183,6,3.58,3.64,21.5,4350,22,25,28176,class_0
-1,93,9,1,1,4,2,0,0,115.6,202.6,71.7,56.3,3770,2,5,183,6,3.58,3.64,21.5,4350,22,25,31600,class_0
-1,94,9,0,0,4,2,0,0,115.6,202.6,71.7,56.5,3740,1,8,234,0,3.46,3.1,8.3,4750,16,18,34184,class_0
3,142,9,0,0,2,0,0,0,96.6,180.3,70.5,50.8,3685,1,8,234,0,3.46,3.1,8.3,4750,16,18,35056,class_0
0,95,9,0,0,4,2,0,0,120.9,208.1,71.7,56.7,3900,1,8,308,0,3.8,3.35,8,4500,14,16,40960,class_0
1,134,9,0,0,2,4,0,0,112,199.2,72,55.4,3715,1,8,304,0,3.8,3.35,8,4500,14,16,45400,class_0
1,134,10,0,1,2,1,0,0,102.7,178.4,68,54.8,2910,2,4,140,0,3.78,3.12,8,5000,19,24,16503,class_0
3,153,11,0,1,2,1,1,0,96.3,173,65.4,49.4,2370,2,4,110,7,3.17,3.46,7.5,5500,23,30,9959,class_0
