@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1}

@data
1,0,0,0,1,0,0,class_0
4,0,0,0,4,9,12,class_0
5,0,0,0,5,10,28,class_0
8,9,17,0,8,10,35,class_0
9,13,33,0,9,10,27,class_0
12,10,27,0,12,11,33,class_0
13,8,21,0,13,14,33,class_0
16,7,21,0,16,10,36,class_0
17,7,17,0,17,11,33,class_0
20,4,11,0,20,9,28,class_0
21,10,33,0,21,7,20,class_0
24,7,28,0,24,10,21,class_0
25,7,16,0,25,12,39,class_0
28,8,22,0,28,8,12,class_0
29,12,28,0,29,13,42,class_0
32,6,14,0,32,14,32,class_0
33,11,25,0,33,14,47,class_0
36,11,40,0,36,11,36,class_0
37,16,49,0,37,14,58,class_0
40,8,22,0,40,15,34,class_0
41,14,23,0,41,13,42,class_0
44,16,30,0,44,13,30,class_0
45,13,28,0,45,15,47,class_0
48,11,20,0,48,18,42,class_0
49,11,17,0,49,18,47,class_0
52,6,11,0,52,13,41,class_0
53,8,12,0,53,15,40,class_0
56,5,9,0,56,14,36,class_0
57,6,7,0,57,12,37,class_0
60,8,9,0,60,10,32,class_0
61,12,17,0,61,8,11,class_0
64,5,7,0,64,12,27,class_0
65,6,9,0,65,13,30,class_0
68,8,11,0,68,8,20,class_0
69,4,4,0,69,8,17,class_0
72,6,9,0,72,10,17,class_0
73,12,15,0,73,11,25,class_0
76,9,11,0,76,11,23,class_0
77,13,17,0,77,9,16,class_0
80,7,15,0,80,7,14,class_0
81,12,17,0,81,8,17,class_0
84,12,17,0,84,12,19,class_0
85,8,12,0,85,9,14,class_0
88,14,21,0,88,13,27,class_0
89,12,16,0,89,10,16,class_0
92,10,12,0,92,15,36,class_0
93,7,9,0,93,12,30,class_0
96,8,12,0,96,12,37,class_0
97,10,16,0,97,4,16,class_0
100,9,11,0,100,12,34,class_0
101,11,14,0,101,10,32,class_0
104,7,7,0,104,9,21,class_0
105,11,12,0,105,9,28,class_0
108,7,16,0,108,10,30,class_0
109,7,11,0,109,12,28,class_0
112,8,12,0,112,10,42,class_0
113,10,17,0,113,14,40,class_0
116,9,17,0,116,12,41,class_0
117,9,11,0,117,15,36,class_0
120,11,15,0,120,14,37,class_0
121,8,11,0,121,15,33,class_0
124,5,10,0,124,12,28,class_0
125,10,16,0,125,13,25,class_0
128,8,10,0,128,10,22,class_0
129,6,5,0,129,8,20,class_0
132,5,5,0,132,7,11,class_0
133,4,15,0,133,10,21,class_0
136,5,7,0,136,12,28,class_0
137,4,4,0,137,24,60,class_0
140,1,1,0,140,14,34,class_0
141,3,2,0,141,12,23,class_0
144,7,17,0,144,15,39,class_0
145,7,11,0,145,12,17,class_0
148,6,10,0,148,15,53,class_0
149,2,2,0,149,12,30,class_0
152,10,5,0,152,10,25,class_0
153,7,1,0,153,12,39,class_0
156,6,14,0,156,8,19,class_0
157,7,12,0,157,10,22,class_0
160,10,14,0,160,8,23,class_0
161,8,9,0,161,7,15,class_0
164,8,8,0,164,12,28,class_0
165,6,11,0,165,9,20,class_0
168,4,9,0,168,7,22,class_0
169,13,22,0,169,12,23,class_0
172,9,22,0,172,11,30,class_0
173,18,33,0,173,12,20,class_0
176,10,19,0,176,8,25,class_0
177,12,11,0,177,10,22,class_0
180,12,22,0,180,9,16,class_0
181,10,16,0,181,13,19,class_0
184,6,14,0,184,12,17,class_0
185,11,36,0,185,18,51,class_0
188,6,14,0,188,12,25,class_0
189,6,11,0,189,15,39,class_0
192,12,11,0,192,12,33,class_0
193,6,17,0,193,12,25,class_0
196,12,44,0,196,14,22,class_0
197,9,28,0,197,14,25,class_0
200,12,17,0,200,11,25,class_0
