@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute class {class_0,class_1}

@data
2,1,1,2,class_0
2,2,1,1,class_0
3,2,1,1,class_0
1,2,1,1,class_0
1,1,2,1,class_0
1,1,3,3,class_0
1,2,1,1,class_0
3,3,2,1,class_0
3,1,3,2,class_0
3,2,1,3,class_0
2,1,2,1,class_0
3,2,1,3,class_0
2,3,2,1,class_0
1,1,3,2,class_0
3,2,1,1,class_0
2,2,1,3,class_0
1,1,1,2,class_0
3,2,1,1,class_0
3,1,2,1,class_0
2,1,1,2,class_0
1,1,1,2,class_0
3,3,1,1,class_0
3,3,3,1,class_0
3,1,2,1,class_0
1,1,1,2,class_0
2,1,3,2,class_0
2,1,2,1,class_0
2,2,1,3,class_0
1,3,2,1,class_0
2,3,2,1,class_0
3,1,3,2,class_0
2,1,2,1,class_0
2,2,1,1,class_0
1,1,2,1,class_0
1,1,3,2,class_0
1,2,1,3,class_0
1,1,1,3,class_0
1,1,1,2,class_0
3,2,1,1,class_0
1,1,2,1,class_0
2,1,3,1,class_0
3,1,1,2,class_0
2,2,1,1,class_0
1,2,1,1,class_0
1,3,2,1,class_0
3,1,2,1,class_0
3,1,1,2,class_0
2,3,1,3,class_0
2,1,1,2,class_0
2,1,2,1,class_0
3,1,1,2,class_0
2,1,3,2,class_1
3,1,4,1,class_1
2,4,2,2,class_1
1,1,3,4,class_1
1,1,3,2,class_1
3,1,3,2,class_1
3,4,2,4,class_1
2,2,3,4,class_1
2,1,2,2,class_1
2,4,1,4,class_1
3,2,1,2,class_1
1,2,2,1,class_1
3,2,2,1,class_1
3,2,1,3,class_1
2,1,2,2,class_1
1,4,1,1,class_1
1,2,1,3,class_1
2,4,3,1,class_1
3,1,2,2,class_1
1,1,2,2,class_1
3,2,2,1,class_1
1,2,1,2,class_1
3,4,3,2,class_1
2,2,2,1,class_1
2,2,1,2,class_1
3,2,1,3,class_1
1,2,1,3,class_1
1,2,2,3,class_1
3,2,1,2,class_1
3,2,1,2,class_1
2,2,2,1,class_1
2,1,2,2,class_1
1,2,4,2,class_1
2,2,1,2,class_1
1,1,2,4,class_1
2,4,4,2,class_1
3,1,2,2,class_1
1,1,2,2,class_1
1,3,2,4,class_1
1,1,2,2,class_1
3,1,4,2,class_1
2,1,3,2,class_1
1,1,3,2,class_1
1,2,4,4,class_1
1,4,2,1,class_1
3,4,1,2,class_1
2,2,4,3,class_1
3,1,2,2,class_1
1,4,4,1,class_1
3,3,3,2,class_1
2,2,1,3,class_1
3,3,2,1,class_1
2,2,1,2,class_1
2,2,2,1,class_1
2,3,2,3,class_1
1,3,2,1,class_1
2,2,1,2,class_1
3,2,2,1,class_1
3,1,4,4,class_1
3,3,2,1,class_1
2,3,2,1,class_1
1,2,1,2,class_1
2,2,4,1,class_1
1,2,2,1,class_1
2,3,2,1,class_1
2,2,1,4,class_1
1,4,2,3,class_1
2,2,3,2,class_1
3,3,1,4,class_1
2,3,4,1,class_1
1,2,3,3,class_1
3,3,2,2,class_1
3,3,4,2,class_1
1,2,2,1,class_1
2,1,1,4,class_1
3,1,2,2,class_1
3,2,2,4,class_1
3,4,1,3,class_1
1,1,4,3,class_1
1,2,1,2,class_1
1,2,2,1,class_1
