@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute class {class_0,class_1}

@data
0,0,class_0
0,1,class_0
0,2,class_0
0,3,class_0
0,4,class_0
0,5,class_0
0,24,class_0
0,7,class_0
0,6,class_0
0,9,class_0
0,10,class_0
0,11,class_0
0,12,class_0
0,13,class_0
0,14,class_0
0,15,class_0
0,16,class_0
0,17,class_0
0,19,class_0
0,20,class_0
0,21,class_0
0,22,class_0
0,23,class_0
0,25,class_0
2,0,class_0
2,1,class_0
2,2,class_0
2,3,class_0
2,4,class_0
2,5,class_0
2,7,class_0
2,8,class_0
2,6,class_0
2,9,class_0
2,10,class_0
2,11,class_0
2,12,class_0
2,13,class_0
2,14,class_0
2,16,class_0
2,17,class_0
2,19,class_0
2,20,class_0
2,21,class_0
2,22,class_0
2,23,class_0
2,25,class_0
3,0,class_0
3,1,class_0
3,5,class_0
3,7,class_0
3,11,class_0
3,14,class_0
3,16,class_0
3,20,class_0
3,21,class_0
1,0,class_0
1,1,class_0
1,2,class_0
1,3,class_0
1,4,class_0
1,5,class_0
1,24,class_0
1,7,class_0
1,8,class_0
1,6,class_0
1,9,class_0
1,10,class_0
1,11,class_0
1,12,class_0
1,13,class_0
1,14,class_0
1,15,class_0
1,16,class_0
1,17,class_0
1,19,class_0
1,20,class_0
1,21,class_0
1,22,class_0
1,23,class_0
1,18,class_0
1,25,class_0
4,0,class_0
4,1,class_0
4,2,class_0
4,3,class_0
4,4,class_0
4,5,class_0
4,24,class_0
4,7,class_0
4,8,class_0
4,6,class_0
4,9,class_0
4,10,class_0
4,11,class_0
4,12,class_0
4,13,class_0
4,14,class_0
4,15,class_0
4,16,class_0
4,17,class_0
4,19,class_0
4,20,class_0
4,21,class_0
4,25,class_0
0,8,class_1
0,18,class_1
2,24,class_1
2,15,class_1
2,18,class_1
3,2,class_1
3,3,class_1
3,4,class_1
3,24,class_1
3,8,class_1
3,6,class_1
3,9,class_1
3,10,class_1
3,12,class_1
3,13,class_1
3,15,class_1
3,17,class_1
3,19,class_1
3,22,class_1
3,23,class_1
3,18,class_1
3,25,class_1
4,22,class_1
4,23,class_1
4,18,class_1
