@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5}

@data
0,1,22,0,3,1,1,0,0,0,0,0,class_0
20,0,17,0,3,1,1,0,0,0,0,0,class_0
31,0,33,0,1,1,0,0,0,0,2,0,class_0
53,0,21,0,3,1,1,0,0,0,0,0,class_0
64,1,15,0,3,1,1,0,0,0,1,0,class_0
75,0,19,0,3,0,1,0,0,0,1,0,class_0
1,0,33,0,1,2,0,0,1,0,2,0,class_0
11,0,21,0,3,1,1,0,0,0,1,0,class_0
12,0,33,0,2,1,1,0,1,0,2,0,class_0
14,1,50,0,3,1,1,0,0,0,1,0,class_0
13,0,26,0,3,2,1,0,0,0,2,0,class_0
15,0,20,0,2,2,1,0,0,0,2,0,class_0
19,0,21,0,3,1,1,0,0,0,1,0,class_0
21,0,25,1,3,1,1,0,0,0,1,0,class_0
23,0,16,1,3,1,2,1,0,0,0,0,class_0
42,0,19,2,1,1,0,0,0,0,0,0,class_0
86,0,20,0,1,1,0,0,0,1,0,0,class_1
97,1,22,0,3,1,1,0,0,1,0,0,class_1
16,0,17,0,3,1,1,0,0,1,1,1,class_1
24,1,0,1,3,1,2,0,0,2,2,2,class_1
30,0,18,1,3,1,1,1,0,2,1,0,class_1
47,2,45,2,3,2,1,1,0,2,2,2,class_1
70,0,23,2,0,1,1,1,0,2,2,2,class_1
76,0,19,2,3,0,2,1,0,2,1,1,class_1
74,0,18,2,3,0,2,1,0,2,1,1,class_1
77,0,17,2,3,0,2,1,0,2,1,1,class_1
82,1,50,2,3,1,2,1,0,2,2,2,class_1
17,1,36,0,2,1,1,0,0,1,1,1,class_2
18,0,20,0,2,1,1,0,0,1,0,0,class_2
22,1,7,1,2,1,1,0,0,1,1,0,class_2
25,2,42,1,2,1,1,1,0,2,2,0,class_2
26,1,1,1,2,1,1,1,0,2,1,2,class_2
