@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute class {class_0,class_1}

@data
63,1,0,145,233,0,0,150,0,2.3,2,0,0,class_0
37,1,2,130,250,1,1,187,0,3.5,2,0,1,class_0
41,0,3,130,204,1,0,172,0,1.4,0,0,1,class_0
56,1,3,120,236,1,1,178,0,0.8,0,0,1,class_0
57,0,1,120,354,1,1,163,1,0.6,0,0,1,class_0
57,1,1,140,192,1,1,148,0,0.4,1,0,0,class_0
56,0,3,140,294,1,0,153,0,1.3,1,0,1,class_0
44,1,3,120,263,1,1,173,0,0,0,0,2,class_0
52,1,2,172,199,0,1,162,0,0.5,0,0,2,class_0
57,1,2,150,168,1,1,174,0,1.6,0,0,1,class_0
54,1,1,140,239,1,1,160,0,1.2,0,0,1,class_0
48,0,2,130,275,1,1,139,0,0.2,0,0,1,class_0
49,1,3,130,266,1,1,171,0,0.6,0,0,1,class_0
64,1,0,110,211,1,0,144,1,1.8,1,0,1,class_0
58,0,0,150,283,0,0,162,0,1,0,0,1,class_0
50,0,2,120,219,1,1,158,0,1.6,1,0,1,class_0
58,0,2,120,340,1,1,172,0,0,0,0,1,class_0
66,0,0,150,226,1,1,114,0,2.6,2,0,1,class_0
43,1,1,150,247,1,1,171,0,1.5,0,0,1,class_0
69,0,0,140,239,1,1,151,0,1.8,0,2,1,class_0
59,1,1,135,234,1,1,161,0,0.5,1,0,2,class_0
44,1,2,130,233,1,1,179,1,0.4,0,0,1,class_0
42,1,1,140,226,1,1,178,0,0,0,0,1,class_0
61,1,2,150,243,0,1,137,1,1,1,0,1,class_0
40,1,0,140,199,1,1,178,1,1.4,0,0,2,class_0
71,0,3,160,302,1,1,162,0,0.4,0,2,1,class_0
59,1,2,150,212,0,1,157,0,1.6,0,0,1,class_0
51,1,2,110,175,1,1,123,0,0.6,0,0,1,class_0
65,0,2,140,417,0,0,157,0,0.8,0,1,1,class_0
53,1,2,130,197,0,0,152,0,1.2,2,0,1,class_0
41,0,3,105,198,1,1,168,0,0,0,1,1,class_0
65,1,1,120,177,1,1,140,0,0.4,0,0,2,class_0
44,1,3,130,219,1,0,188,0,0,0,0,1,class_0
54,1,2,125,273,1,0,152,0,0.5,2,1,1,class_0
51,1,0,125,213,1,0,125,1,1.4,0,1,1,class_0
46,0,2,142,177,1,0,160,1,1.4,2,0,1,class_0
54,0,2,135,304,0,1,170,0,0,0,0,1,class_0
54,1,2,150,232,1,0,165,0,1.6,0,0,2,class_0
65,0,2,155,269,1,1,148,0,0.8,0,0,1,class_0
65,0,2,160,360,1,0,151,0,0.8,0,0,1,class_0
51,0,2,140,308,1,0,142,0,1.5,0,1,1,class_0
48,1,3,130,245,1,0,180,0,0.2,1,0,1,class_0
45,1,1,104,208,1,0,148,1,3,1,0,1,class_0
53,0,1,130,264,1,0,143,0,0.4,1,0,1,class_0
39,1,2,140,321,1,0,182,0,0,0,0,1,class_0
52,1,3,120,325,1,1,172,0,0.2,0,0,1,class_0
44,1,2,140,235,1,0,180,0,0,0,0,1,class_0
47,1,2,138,257,1,0,156,0,0,0,0,1,class_0
53,0,2,128,216,1,0,115,0,0,0,0,1,class_0
53,0,1,138,234,1,0,160,0,0,0,0,1,class_0
51,0,2,130,256,1,0,149,0,0.5,0,0,1,class_0
66,1,1,120,302,1,0,151,0,0.4,1,0,1,class_0
62,1,2,130,231,1,1,146,0,1.8,1,3,2,class_0
44,0,2,108,141,1,1,175,0,0.6,1,0,1,class_0
