@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute class {class_0,class_1}

@data
1,2,9,9,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,class_0
1,3,5,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,class_0
1,4,11,6,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,class_0
1,5,13,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,class_0
1,6,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,class_0
1,7,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,class_0
1,8,16,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,class_0
1,9,25,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,class_0
1,10,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,class_0
1,11,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
1,12,9,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,class_0
1,13,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,class_0
1,14,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,class_0
1,15,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,class_0
2,3,11,5,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,class_0
2,4,2,2,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,class_0
2,5,0,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,class_0
2,6,9,4,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,class_0
2,7,23,8,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,class_0
2,8,1,1,0,2,1,1,1,1,1,0,1,1,1,1,1,1,1,class_0
2,9,0,0,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,class_0
2,10,12,3,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,class_0
2,11,5,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,class_0
2,12,0,0,0,2,1,1,1,1,1,1,1,1,1,0,1,1,1,class_0
2,13,0,0,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,class_0
2,14,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,class_0
2,15,46,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,class_0
