@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute class {class_0,class_1}

@data
63,1,0,145,0,0,150,0,2.3,2,0,0,0,class_0
67,1,1,120,1,0,129,1,2.6,1,2,2,1,class_0
41,0,3,130,1,0,172,0,1.4,0,0,1,0,class_0
56,1,3,120,1,1,178,0,0.8,0,0,1,0,class_0
53,1,1,140,0,0,155,1,3.1,2,0,2,1,class_0
57,1,1,140,1,1,148,0,0.4,1,0,0,0,class_0
52,1,2,172,0,1,162,0,0.5,0,0,2,0,class_0
57,1,2,150,1,1,174,0,1.6,0,0,1,0,class_0
48,1,3,110,1,1,168,0,1,2,0,2,1,class_0
54,1,1,140,1,1,160,0,1.2,0,0,1,0,class_0
64,1,0,110,1,0,144,1,1.8,1,0,1,0,class_0
58,1,2,132,1,0,173,0,3.2,0,2,2,3,class_0
60,1,1,130,1,0,132,1,2.4,1,2,2,4,class_0
50,0,2,120,1,1,158,0,1.6,1,0,1,0,class_0
66,0,0,150,1,1,114,0,2.6,2,0,1,0,class_0
40,1,1,110,1,0,114,1,2,1,0,2,3,class_0
69,0,0,140,1,1,151,0,1.8,0,2,1,0,class_0
60,1,1,117,0,1,160,1,1.4,0,2,2,2,class_0
59,1,1,135,1,1,161,0,0.5,1,0,2,0,class_0
44,1,2,130,1,1,179,1,0.4,0,0,1,0,class_0
42,1,1,140,1,1,178,0,0,0,0,1,0,class_0
43,1,1,120,1,0,120,1,2.5,1,0,2,3,class_0
61,1,2,150,0,1,137,1,1,1,0,1,0,class_0
65,0,1,150,1,0,114,0,1,1,3,2,4,class_0
40,1,0,140,1,1,178,1,1.4,0,0,2,0,class_0
59,1,2,150,0,1,157,0,1.6,0,0,1,0,class_0
58,1,2,112,1,0,165,0,2.5,1,1,2,4,class_0
51,1,2,110,1,1,123,0,0.6,0,0,1,0,class_0
50,1,1,150,1,0,128,0,2.6,1,0,2,4,class_0
53,1,2,130,0,0,152,0,1.2,2,0,1,0,class_0
41,0,3,105,1,1,168,0,0,0,1,1,0,class_0
65,1,1,120,1,1,140,0,0.4,0,0,2,0,class_0
44,1,3,130,1,0,188,0,0,0,0,1,0,class_0
50,1,2,140,1,1,163,0,0.6,1,1,2,1,class_0
41,1,1,110,1,0,158,0,0,0,0,2,1,class_0
51,1,0,125,1,0,125,1,1.4,0,1,1,0,class_0
46,0,2,142,1,0,160,1,1.4,2,0,1,0,class_0
58,1,1,128,1,0,131,1,2.2,1,3,2,1,class_0
54,1,1,120,1,1,113,0,1.4,1,1,2,2,class_0
60,1,2,140,1,0,155,0,3,1,0,1,1,class_0
54,1,2,150,1,0,165,0,1.6,0,0,2,0,class_0
46,1,2,150,1,1,147,0,3.6,1,0,1,1,class_0
44,1,1,110,1,0,177,0,0,0,1,1,1,class_0
48,1,3,130,1,0,180,0,0.2,1,0,1,0,class_0
45,1,1,104,1,0,148,1,3,1,0,1,0,class_0
44,1,2,140,1,0,180,0,0,0,0,1,0,class_0
53,0,2,128,1,0,115,0,0,0,0,1,0,class_0
53,0,1,138,1,0,160,0,0,0,0,1,0,class_0
