@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute class {class_0,class_1}

@data
0,0,58.7652,0,0,0,0,0,14.5,261,2.6,156,1718,137.95,172,190,12.2,0,class_0
0,0,70.0726,1,1,1,1,2,1.4,176,3.48,210,516,96.1,55,151,12,0,class_0
1,1,38.1054,0,1,0,0,1,3.4,279,3.53,143,671,113.15,72,136,10.9,1,class_0
1,1,55.5346,0,1,0,1,1,1,322,4.09,52,824,60.45,213,204,9.7,1,class_0
0,1,70.5599,0,0,1,0,0,12.6,200,2.74,140,918,147.25,143,302,11.5,0,class_0
0,1,59.1376,0,1,1,0,1,3.6,236,3.52,94,591,82.15,95,71,13.6,0,class_0
0,1,56.2218,1,0,0,1,0,0.8,239,2.27,43,728,71,152,156,11,0,class_0
0,1,52.1834,0,1,0,1,1,2.7,274,3.15,159,1533,117.8,128,224,10.5,0,class_0
0,0,53.9302,0,1,0,0,0,11.4,178,2.8,588,961,280.55,200,283,12.4,0,class_0
0,1,59.9535,0,1,0,1,1,5.1,374,3.51,140,1919,122.45,135,322,13,0,class_0
0,0,56.2765,0,1,1,0,1,3.4,271,3.63,464,1376,120.9,55,173,11.6,0,class_0
0,1,55.9671,0,0,0,0,0,17.4,395,2.94,558,6064.8,227.04,191,214,11.7,0,class_0
0,1,52.0246,0,1,0,0,1,5.2,1128,3.68,53,3228,165.85,166,421,9.9,1,class_0
0,1,54.4394,0,0,0,0,2,21.6,175,3.31,221,3697.4,101.91,168,80,12,0,class_0
0,1,44.9473,0,0,0,0,0,17.2,222,3.23,209,1975,189.1,195,144,13,0,class_0
0,1,41.3854,0,1,0,0,1,3.6,260,2.54,172,7277,121.26,158,124,11,0,class_0
0,0,61.7276,0,0,0,1,0,7.1,334,3.01,150,6931.2,180.6,118,102,12,0,class_0
0,0,33.6345,0,1,0,1,1,6.8,404,3.26,96,1215,151.9,78,226,11.7,0,class_0
