@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute class {class_0,class_1}

@data
0,0,0,0,51,0,0,0,0,0,0,class_0
1,1,1,1,64,0,2,2,1,4,0,class_0
2,1,1,0,61,0,0,0,2,5,1,class_0
2,1,0,1,65,0,0,2,1,6,0,class_0
4,1,0,1,42,0,1,1,3,9,0,class_0
2,0,0,2,68,0,1,1,1,15,1,class_0
3,1,1,1,69,0,2,0,2,16,0,class_0
1,1,0,1,58,0,0,2,1,18,0,class_0
4,1,0,0,75,0,0,0,0,19,0,class_0
4,1,0,1,60,0,1,0,1,22,1,class_0
0,0,0,1,72,1,0,0,0,24,0,class_0
0,0,0,1,64,0,2,1,1,27,0,class_0
4,1,1,1,62,0,1,3,3,31,1,class_0
0,1,1,1,54,0,0,1,1,35,0,class_0
4,1,1,1,59,0,1,1,3,35,0,class_0
4,1,1,1,50,0,2,2,2,37,1,class_0
4,0,0,0,43,0,0,1,3,39,1,class_0
2,1,0,1,48,1,0,0,1,40,1,class_0
4,1,0,0,44,0,2,0,0,42,1,class_0
3,1,1,2,58,0,1,0,3,47,1,class_0
1,1,0,1,60,0,1,0,3,50,0,class_0
0,0,0,0,49,0,2,0,2,53,0,class_0
3,1,0,0,50,0,0,2,2,54,0,class_0
0,1,1,1,40,0,1,2,1,56,0,class_0
1,0,1,2,70,1,1,2,1,58,1,class_0
4,1,0,2,46,0,0,0,0,60,0,class_0
4,1,1,0,67,0,1,0,0,62,1,class_0
4,0,1,0,68,0,1,0,0,63,1,class_0
4,0,0,2,44,0,1,0,3,65,1,class_0
2,1,0,1,67,0,0,0,0,67,0,class_0
2,1,1,1,69,0,2,0,3,68,1,class_0
2,1,1,1,75,0,1,0,2,68,1,class_0
4,1,0,0,72,0,1,0,1,70,0,class_0
3,1,0,1,72,0,2,0,2,71,1,class_0
3,1,0,2,70,0,1,1,1,72,0,class_0
