@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1,class_2}

@data
0,23,3,0,19,class_0
1,15,3,0,17,class_0
0,23,3,1,49,class_0
0,5,2,1,33,class_0
1,7,11,1,55,class_0
1,23,3,0,20,class_0
1,9,5,1,19,class_0
1,10,3,1,27,class_0
0,22,3,0,58,class_0
1,15,3,0,20,class_0
1,10,22,1,9,class_0
1,13,1,1,30,class_0
1,18,21,1,29,class_0
1,6,17,1,39,class_0
0,23,3,0,19,class_0
1,15,3,0,17,class_0
0,23,3,1,49,class_0
0,5,2,1,33,class_0
1,7,11,1,55,class_0
1,23,3,0,20,class_0
1,9,5,1,19,class_0
1,10,3,1,27,class_0
0,22,3,1,58,class_0
1,15,3,0,20,class_0
1,10,22,1,9,class_0
1,13,1,1,30,class_0
1,18,21,1,29,class_0
1,6,17,1,39,class_0
0,23,3,0,25,class_0
0,13,3,0,17,class_0
1,16,19,1,11,class_0
1,9,2,1,39,class_0
1,13,3,0,11,class_0
1,18,21,1,19,class_0
0,22,3,1,45,class_0
1,7,11,0,20,class_0
1,23,3,0,20,class_0
0,23,3,0,20,class_0
0,23,3,1,38,class_0
1,14,22,1,17,class_0
0,17,17,1,19,class_0
1,9,5,1,24,class_0
1,18,25,1,25,class_0
0,17,17,1,31,class_0
1,1,15,1,31,class_0
1,13,14,1,17,class_0
1,9,6,1,7,class_0
0,10,3,1,21,class_0
1,14,15,1,36,class_0
0,13,1,1,54,class_0
0,8,3,1,29,class_0
1,20,2,1,45,class_0
1,6,17,1,42,class_1
1,6,17,1,43,class_1
1,7,11,1,10,class_1
1,22,3,1,46,class_1
1,13,3,0,10,class_1
1,7,25,1,42,class_1
1,25,7,1,27,class_1
1,25,7,1,23,class_1
1,2,9,1,31,class_1
1,1,15,0,22,class_1
1,15,13,1,37,class_1
1,7,11,1,13,class_1
1,8,3,1,24,class_1
1,14,15,1,38,class_1
1,6,17,1,42,class_1
1,6,17,1,43,class_1
1,7,11,1,10,class_1
1,22,3,1,46,class_1
1,13,3,0,10,class_1
1,7,25,1,42,class_1
1,25,7,1,27,class_1
1,25,7,1,23,class_1
1,2,9,1,31,class_1
1,1,15,0,22,class_1
1,15,13,1,37,class_1
1,7,11,1,13,class_1
1,8,3,1,24,class_1
1,14,15,1,38,class_1
1,1,8,1,18,class_1
0,11,16,1,22,class_1
0,22,13,1,27,class_1
1,9,2,1,14,class_1
1,13,1,1,20,class_1
0,6,17,1,35,class_1
1,23,3,0,20,class_1
0,23,3,0,20,class_1
1,6,17,1,37,class_1
0,22,3,1,15,class_1
1,20,2,1,25,class_1
1,23,3,1,10,class_1
1,22,1,1,11,class_1
1,18,12,1,16,class_1
1,20,15,1,18,class_1
0,17,18,1,44,class_1
1,14,23,1,17,class_1
1,24,26,1,21,class_1
1,9,24,1,20,class_1
1,12,8,1,24,class_1
1,9,6,1,5,class_1
1,22,1,1,42,class_1
1,21,2,1,42,class_2
1,22,3,1,28,class_2
1,11,1,1,51,class_2
1,18,5,1,19,class_2
1,13,1,1,31,class_2
0,13,3,0,13,class_2
1,5,2,1,37,class_2
1,16,8,1,36,class_2
1,4,16,1,21,class_2
1,5,2,1,48,class_2
1,14,15,1,38,class_2
1,21,2,1,42,class_2
1,22,3,1,28,class_2
1,11,1,1,51,class_2
1,18,5,1,19,class_2
1,13,1,1,31,class_2
0,13,3,0,13,class_2
1,5,2,1,37,class_2
1,16,8,1,36,class_2
1,4,16,1,21,class_2
1,5,2,1,48,class_2
1,14,15,1,38,class_2
1,20,2,1,14,class_2
0,23,3,1,38,class_2
1,13,1,1,29,class_2
1,10,3,1,19,class_2
1,7,11,1,30,class_2
0,14,15,1,32,class_2
1,8,3,1,27,class_2
1,12,7,1,34,class_2
1,8,7,1,23,class_2
1,15,1,1,66,class_2
1,23,3,1,12,class_2
1,2,9,1,29,class_2
1,15,1,1,19,class_2
1,20,2,1,3,class_2
1,7,11,1,30,class_2
1,10,3,1,19,class_2
1,23,3,1,11,class_2
1,17,18,1,29,class_2
1,16,20,1,15,class_2
1,3,2,1,37,class_2
1,19,4,1,10,class_2
1,23,3,1,24,class_2
1,3,2,1,26,class_2
1,10,3,1,12,class_2
0,18,7,1,48,class_2
1,22,1,1,51,class_2
1,2,10,1,27,class_2
