@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute class {class_0,class_1}

@data
58,1,0,6,7,2.98,66,81.2,34,9,61,54,3.74,325,956.2,75,625,1,class_0
151,4,0,7,2,3.82,22,113,0,8,53,58,3.65,367,793.2,75,1200,4,class_0
102,15,0,12,7,3.82,28,155.1,1,11,122,108,3.49,369,2014,9,1270,15,class_0
117,12,0,6,10,4.08,60,97,10,4,19,28,3.97,202,374,19,300,12,class_0
177,6,0,10,10,4.95,62,112.2,7,1,10,10,4.95,62,112.2,7,80,6,class_0
178,9,0,8,9,4.61,24,121,0,1,8,9,4.61,24,121,0,75,20,class_0
75,4,0,10,14,3.54,28,165.1,0,10,101,117,4.03,300,1832.1,0,930,4,class_0
69,1,0,1,2,5.01,4,23.1,0,2,1,2,4.97,8,29,0,62.5,1,class_0
29,9,0,5,10,3.2,56,121,9,6,46,50,3.71,172,834.1,9,600,9,class_0
5,12,0,17,14,4.01,36,271.2,0,17,229,197,3.08,541,3987.1,0,1150,12,class_0
139,1,0,14,12,4.7,33,218.1,0,7,63,49,3.6,136,900.2,0,800,1,class_0
160,1,0,6,4,4.46,52,107,3,7,17,18,4,155,330.2,10,285,1,class_0
153,2,0,16,10,3.78,30,214.1,0,5,47,44,3.86,112,791.1,0,185,2,class_0
73,6,0,2,4,4.08,51,57.1,20,6,7,16,3.6,138,200,43,325,6,class_0
109,3,0,10,2,2.55,16,91.2,0,12,141,89,3.12,350,2016.2,15,800,3,class_0
198,6,0,16,12,3.57,36,252.1,0,3,22,18,3.68,54,340.1,0,160,6,class_0
185,4,0,9,14,5.1,32,176.1,0,22,323,229,3.11,705,5055,1,150,6,class_0
110,23,0,9,4,4.15,34,145.1,1,2,9,6,4.2,38,152,1,115,23,class_0
97,23,0,14,14,3.94,34,219.1,0,10,102,116,4.13,279,1768,0,850,23,class_0
129,11,0,5,5,2.2,59,73.2,16,8,62,44,3.8,394,689.1,77,625,11,class_0
170,2,0,24,4,2.48,33,254,0,3,40,13,3.15,69,485.2,0,500,2,class_0
63,3,0,4,2,3.66,46,78.2,10,7,24,28,3.12,302,530,65,150,3,class_0
67,22,0,12,14,4.23,32,202.1,0,2,13,14,4.36,37,212.2,0,115,22,class_0
108,4,0,4,5,4.7,19,105.1,0,2,7,8,4.48,31,176.2,0,62.5,4,class_0
118,1,0,11,13,4.58,35,202.1,0,3,19,18,4.17,71,377.1,1,155,1,class_0
161,4,0,10,17,5.48,34,197,0,8,83,76,4.01,206,1294.2,0,1000,4,class_0
54,4,1,6,11,4.57,33,201,0,12,151,128,3.67,376,2496,3,783.333,15,class_0
131,23,0,14,6,1.72,69,157,10,2,14,9,2.45,76,195,10,165,23,class_0
186,9,0,8,4,3.13,56,109.1,8,3,13,16,3.76,103,263,10,150,9,class_0
140,1,0,0,0,4.5,1,4,0,2,1,1,3.32,4,19,0,625,1,class_0
159,12,0,3,5,5.23,57,72.1,2,4,25,26,4.03,143,493.2,2,150,12,class_0
192,3,0,4,1,3.51,41,41,5,16,54,65,3.23,614,1105,127,77.5,3,class_0
31,17,1,5,2,3.35,52,78,4,5,13,17,3.06,201,355.2,20,405,14,class_0
132,9,0,12,6,3.64,35,180.2,0,3,36,30,3.92,93,547,0,450,9,class_0
