@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4}

@data
1.62,3537,0.14,0,1,1,4324,2,2,1,1.62,0,class_0
4.69,3086,0.57,2,1,1,3215,0,0,2,2.02,2,class_0
5.49,3082,0.45,0,0,0,3910,0,1,1,1.2,1,class_0
1.53,3512,0.26,0,1,1,7173,2,0,0,0.56,0,class_0
1.77,3386,0.39,0,0,0,3154,0,2,1,1.87,1,class_0
4.15,3075,0.46,0,1,1,6968,0,0,0,0.69,0,class_0
5.36,3483,0.35,2,0,1,4642,0,2,1,0.56,2,class_0
8.09,3602,0.42,1,0,0,4505,2,2,2,1.98,2,class_0
1.51,3071,0.49,2,0,0,3919,2,0,1,0.56,1,class_0
8.04,3593,0.14,1,0,0,3388,0,2,2,0.56,1,class_0
6.55,3075,0.14,0,1,1,4575,0,1,2,1.25,2,class_0
1.64,3124,0.37,1,0,1,4588,0,1,2,1.8,1,class_0
6,3581,0.52,1,0,1,7082,0,1,0,1.32,1,class_0
1.67,3219,0.59,2,0,0,3113,0,2,2,0.55,1,class_0
7.19,3388,0.4,1,0,1,3071,0,2,0,1.03,1,class_0
3.1,3469,0.53,1,1,1,6348,0,1,0,1.54,1,class_0
7.05,3464,0.41,2,1,0,4802,1,2,0,1.01,1,class_0
1.51,3146,0.52,0,1,1,7245,0,1,0,1.67,0,class_0
6.66,3242,0.54,2,0,1,3216,0,0,1,1.27,2,class_0
5.54,3079,0.51,0,0,1,4578,0,1,2,1.9,0,class_0
1.92,3085,0.52,1,0,1,3190,0,1,1,1.44,1,class_0
5.43,3084,0.49,0,0,0,3265,0,1,1,0.59,0,class_0
7.48,3143,0.52,1,0,0,3028,2,0,0,1.75,0,class_0
6.76,3070,0.53,1,0,0,7312,1,1,1,1.8,2,class_0
7.05,3091,0.24,0,1,1,4495,0,0,1,0.9,1,class_0
5.43,3069,0.13,1,0,1,7314,0,1,0,1.5,1,class_0
1.55,3089,0.66,0,0,0,6901,0,2,0,0.57,1,class_0
1.64,3568,0.49,1,0,0,6276,1,1,0,1.31,0,class_0
1.46,3538,0.6,2,0,1,4917,0,0,1,1.88,1,class_0
1.53,3102,0.14,2,1,1,4515,0,1,2,0.95,2,class_0
1.5,3073,0.49,1,1,0,6145,0,1,0,1.44,1,class_0
6.79,3105,0.41,1,0,1,3716,0,1,1,0.56,0,class_0
1.45,3098,0.52,0,0,1,7223,0,1,2,1.36,0,class_0
6.73,3115,0.43,0,1,1,3141,0,0,2,0.55,2,class_0
5.69,3087,0.2,0,0,1,3045,0,0,2,1.78,1,class_0
1.82,3097,0.52,2,1,1,6253,0,0,1,0.56,2,class_0
1.52,3140,0.62,0,0,1,7359,0,0,2,1.6,1,class_0
7.23,3079,0.52,0,0,0,7358,0,1,2,1.31,2,class_0
2,3126,0.31,0,1,0,4584,0,2,1,1.19,0,class_0
7.87,3361,0.22,1,1,1,4516,0,1,0,1.3,0,class_0
7.27,3128,0.22,1,0,1,3402,0,1,0,1.71,0,class_0
4.9,3134,0.47,0,0,1,7341,0,1,2,0.55,2,class_0
1.46,3295,0.48,1,0,1,4509,0,0,1,1.17,0,class_0
7.69,3345,0.52,1,0,1,3001,1,2,0,0.55,1,class_0
5.53,3138,0.14,2,0,0,4408,2,1,0,1.23,1,class_0
3.53,3507,0.47,1,0,0,4036,0,0,0,0.55,2,class_0
1.42,3469,0.46,0,1,1,4847,0,0,1,1.14,0,class_0
1.43,3148,0.39,2,0,0,3421,1,2,2,1.03,1,class_0
7.05,3093,0.45,0,0,0,7203,0,2,2,1.11,2,class_0
1.45,3130,0.53,1,1,1,3419,1,1,0,1.78,1,class_0
5.43,3143,0.54,0,0,1,4581,0,0,2,1.84,1,class_0
1.66,3293,0.48,2,0,1,4560,0,0,2,1.24,1,class_0
6.04,3543,0.13,2,0,1,4559,0,0,2,1.61,1,class_0
1.51,3159,0.14,1,1,1,3396,0,1,0,1.39,0,class_0
4.86,3132,0.46,0,0,0,4022,0,0,1,0.63,0,class_0
3.02,3084,0.32,0,0,0,7354,0,1,2,1.69,2,class_0
6.47,3116,0.13,1,1,1,6896,1,0,2,2.03,0,class_0
5.51,3220,0.43,1,0,1,4948,0,1,1,1.28,1,class_0
1.6,3536,0.18,0,0,0,3670,0,2,0,1.24,2,class_0
4.63,3135,0.32,1,0,0,3773,2,2,1,0.55,1,class_0
