@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1}

@data
10,100,120,115,109,class_0
10,71,131,109,113,class_0
14,89,126,115,113,class_0
14,64,126,125,114,class_0
8,64,125,109,96,class_0
13,104,105,107,106,class_0
17,75,119,101,102,class_0
14,88,133,121,115,class_0
14,90,95,89,115,class_0
15,96,82,106,105,class_0
9,95,136,115,118,class_0
15,80,104,107,107,class_0
13,102,119,103,101,class_0
12,88,90,94,95,class_0
12,100,104,114,104,class_0
15,84,125,108,116,class_0
13,78,102,90,99,class_0
13,78,108,90,86,class_0
15,63,127,121,119,class_0
10,67,116,113,113,class_0
15,83,101,93,99,class_0
13,54,117,114,119,class_0
9,66,105,109,90,class_0
15,65,110,111,114,class_0
8,63,110,113,107,class_0
4,110,116,92,105,class_0
14,67,109,92,87,class_0
12,53,81,87,80,class_0
11,88,112,107,110,class_0
13,99,117,112,109,class_0
8,88,122,112,119,class_0
7,73,120,102,111,class_1
16,76,130,112,124,class_1
10,81,107,120,109,class_1
8,78,104,108,125,class_1
14,79,120,117,114,class_1
12,128,120,128,148,class_1
9,65,114,102,112,class_1
12,71,122,100,128,class_1
13,109,102,107,113,class_1
6,92,116,121,119,class_1
14,91,99,102,128,class_1
14,70,135,112,118,class_1
16,87,113,97,101,class_1
16,109,99,126,139,class_1
13,109,112,113,125,class_1
12,88,114,138,124,class_1
8,95,140,130,126,class_1
13,92,120,113,114,class_1
19,113,128,112,114,class_1
10,105,125,111,129,class_1
16,96,128,139,118,class_1
12,78,138,125,139,class_1
16,80,109,112,127,class_1
13,74,121,132,132,class_1
12,91,120,105,131,class_1
12,98,142,135,147,class_1
13,109,128,145,125,class_1
14,92,115,113,113,class_1
11,91,105,130,115,class_1
10,90,122,127,129,class_1
15,104,108,124,116,class_1
