@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1}

@data
1,305,133,0,8,class_0
2,159,195,0,3,class_0
3,251,336,0,11,class_0
4,215,99,0,1,class_0
5,101,33,0,9,class_0
6,224,285,0,8,class_0
7,306,159,0,9,class_0
8,199,116,0,8,class_0
9,194,53,0,10,class_0
10,325,101,0,11,class_0
11,329,144,0,7,class_0
12,221,152,0,11,class_0
13,318,330,0,6,class_0
14,238,71,0,3,class_0
15,17,75,0,6,class_0
16,121,136,0,11,class_0
17,235,54,0,0,class_0
18,140,185,0,8,class_0
19,58,188,0,10,class_0
20,280,211,0,5,class_0
21,186,129,0,7,class_0
22,337,132,0,5,class_0
23,118,48,0,6,class_0
24,59,177,0,9,class_0
25,52,57,0,1,class_0
26,92,140,0,11,class_0
27,355,173,0,6,class_0
28,77,346,0,5,class_0
29,349,277,0,2,class_0
30,164,112,0,2,class_0
31,211,60,0,4,class_0
32,86,335,1,3,class_0
34,297,186,1,10,class_0
35,210,94,1,4,class_0
36,214,97,1,7,class_0
37,347,16,1,4,class_0
38,91,25,1,9,class_0
39,181,127,1,11,class_0
40,338,187,1,4,class_0
41,216,46,1,11,class_0
42,150,227,1,6,class_0
43,68,262,1,11,class_0
44,152,13,1,7,class_0
45,4,260,1,7,class_0
46,89,201,1,10,class_0
47,212,334,1,10,class_0
49,292,337,1,8,class_0
50,25,331,1,6,class_0
51,302,20,1,10,class_0
52,363,213,1,0,class_0
55,236,226,1,4,class_0
56,179,325,1,11,class_0
58,205,66,1,0,class_0
59,299,234,1,0,class_0
61,108,14,2,7,class_0
62,29,77,2,3,class_0
63,267,207,2,8,class_0
64,275,117,2,5,class_0
65,293,299,2,4,class_0
66,139,296,2,10,class_0
67,122,141,2,6,class_0
68,213,79,2,1,class_0
69,317,278,2,5,class_0
70,323,150,2,11,class_0
72,300,24,2,9,class_0
73,259,241,2,5,class_0
74,354,12,2,3,class_0
76,166,258,2,10,class_0
77,33,220,2,0,class_0
78,332,319,2,11,class_0
79,200,189,2,9,class_0
80,239,170,2,10,class_0
81,334,246,2,3,class_0
82,265,269,2,8,class_0
83,256,281,2,3,class_0
84,258,203,2,11,class_0
85,343,298,2,5,class_0
86,170,121,2,1,class_0
87,268,254,2,9,class_0
88,223,95,2,6,class_0
89,362,147,2,1,class_0
90,217,56,2,3,class_0
91,30,38,2,1,class_0
92,32,224,3,0,class_0
93,271,216,3,6,class_0
94,83,297,3,9,class_0
95,81,37,3,11,class_0
96,269,124,3,11,class_0
97,253,312,3,10,class_0
98,147,142,3,6,class_0
100,219,223,3,11,class_0
102,14,178,3,7,class_0
103,346,89,3,4,class_0
104,124,143,3,5,class_0
105,231,202,3,11,class_0
106,273,182,3,7,class_0
107,148,31,3,10,class_0
108,260,264,3,2,class_0
109,90,138,3,5,class_0
110,336,62,3,5,class_0
111,345,118,3,7,class_0
113,316,256,3,8,class_0
114,252,292,3,7,class_0
115,2,244,3,6,class_0
117,340,137,3,9,class_0
118,74,235,3,0,class_0
119,262,82,3,8,class_0
120,191,111,3,6,class_0
121,208,358,3,0,class_0
122,330,179,4,2,class_0
123,298,96,4,11,class_0
124,40,171,4,3,class_0
125,276,240,4,9,class_0
126,364,301,4,10,class_0
