@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute class {class_0,class_1}

@data
1,1,0,0,0,0,0,1,1,4,2,3,1,6,2,1,1,5,class_0
3,1,0,0,1,1,0,1,1,3,2,3,1,4,2,1,1,3,class_0
2,0,0,0,1,1,1,0,3,1,0,1,0,4,2,0,0,7,class_0
1,0,0,0,0,1,0,1,1,2,1,2,2,2,2,0,1,1,class_0
1,0,0,0,0,0,0,1,1,2,1,3,1,7,2,1,1,3,class_0
2,0,0,0,0,0,0,0,1,2,1,3,1,7,1,1,1,1,class_0
2,0,0,0,0,0,0,1,1,4,2,2,3,4,2,1,1,3,class_0
1,0,0,0,0,0,0,1,1,3,1,3,1,7,2,1,1,4,class_0
3,0,0,0,0,0,0,1,1,3,1,3,3,7,2,1,1,1,class_0
2,0,0,0,0,1,0,1,1,3,2,3,3,3,2,0,1,6,class_0
3,0,0,0,0,0,0,1,1,4,1,1,3,6,2,1,1,7,class_0
1,0,0,0,0,0,0,1,1,3,1,1,1,5,2,1,1,6,class_0
3,0,0,0,0,0,0,1,1,4,1,3,1,7,2,1,1,6,class_0
1,0,0,0,0,0,0,1,1,3,1,3,3,3,2,1,1,5,class_0
3,0,0,0,0,0,0,1,1,2,1,2,2,2,2,1,0,1,class_0
1,0,0,0,0,1,0,1,1,3,1,1,1,3,2,0,1,5,class_0
1,1,0,0,0,1,0,1,1,3,2,2,2,7,2,1,1,4,class_0
1,1,0,0,0,0,0,1,1,3,1,1,1,7,2,0,1,5,class_0
2,0,0,0,0,1,0,1,1,4,1,3,3,1,2,1,1,3,class_0
1,0,0,0,0,1,0,0,1,2,1,1,1,2,0,0,0,1,class_0
3,0,0,0,1,1,0,1,1,3,2,2,3,4,2,1,1,4,class_0
2,1,1,1,1,1,1,0,2,2,1,3,1,3,2,1,1,7,class_0
3,0,0,0,0,1,0,1,1,3,2,3,1,3,2,1,1,4,class_0
1,0,0,0,0,1,0,1,1,3,2,1,1,3,2,1,1,6,class_0
1,0,0,0,0,0,0,1,1,2,1,1,0,6,0,1,1,2,class_0
3,0,0,0,0,1,0,1,1,4,2,3,1,4,2,1,1,2,class_0
3,1,0,0,0,0,0,1,1,2,1,1,3,7,0,0,1,2,class_0
2,0,0,0,0,0,0,1,2,1,1,1,1,7,2,0,1,8,class_0
2,0,0,0,1,1,1,0,3,1,0,3,1,4,2,0,1,4,class_0
2,1,1,1,1,1,1,1,1,4,2,2,3,7,2,1,1,7,class_0
2,0,0,0,0,1,0,0,1,3,1,2,2,7,2,1,1,2,class_0
2,1,1,1,1,1,1,1,3,1,0,1,1,7,0,1,1,4,class_0
3,1,0,0,0,1,0,1,1,4,2,2,2,6,2,1,1,3,class_0
1,0,0,0,0,0,0,1,1,2,1,3,3,7,1,0,1,2,class_0
1,1,1,0,1,1,1,1,1,3,2,3,3,4,2,1,1,5,class_0
2,0,0,0,0,0,0,1,1,2,1,3,3,1,2,1,0,1,class_0
1,0,0,0,0,1,0,1,1,2,1,1,1,7,1,0,1,2,class_0
3,0,0,0,0,0,0,1,1,3,1,1,3,2,1,1,0,1,class_0
1,1,0,0,0,1,0,1,1,4,2,3,3,7,2,1,1,7,class_0
2,1,0,0,0,1,0,1,1,2,1,1,3,7,2,0,1,3,class_0
1,1,1,0,1,1,1,1,1,4,1,1,1,3,2,1,1,6,class_0
1,0,0,0,0,0,0,1,1,2,1,1,1,7,1,1,1,1,class_0
1,0,0,0,0,0,0,1,1,4,2,3,3,4,2,1,1,5,class_0
1,0,0,0,0,0,0,1,1,3,1,2,2,7,2,1,1,3,class_0
2,0,0,0,0,1,0,1,1,4,1,1,1,3,2,1,1,7,class_0
1,0,0,0,0,0,0,1,1,2,1,2,2,4,2,0,0,2,class_0
1,1,0,0,0,1,0,1,1,3,2,2,3,7,2,1,1,2,class_0
3,0,0,0,0,1,0,1,1,4,1,1,3,6,2,1,1,2,class_0
1,0,0,0,0,1,0,1,1,2,1,1,3,7,0,1,1,2,class_0
3,1,1,1,1,1,1,1,1,4,2,3,3,6,2,1,1,8,class_0
3,1,1,0,1,1,0,1,1,1,1,1,0,2,0,1,1,2,class_0
2,0,0,0,0,1,0,1,1,2,1,3,2,7,1,1,1,1,class_0
2,0,0,0,0,0,0,1,1,2,1,3,1,3,2,1,1,3,class_0
0,0,0,0,0,1,0,1,1,2,1,0,0,1,0,0,0,2,class_0
1,1,0,0,0,1,0,1,1,3,2,3,1,7,2,1,1,2,class_0
3,0,0,0,1,0,1,1,1,3,1,2,3,4,2,1,1,7,class_0
1,0,0,0,0,0,0,1,1,3,1,1,1,7,2,1,1,5,class_0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,class_0
3,0,0,0,0,1,0,1,1,4,2,3,2,2,2,1,1,5,class_0
1,0,0,0,0,0,0,0,1,2,2,1,2,2,1,1,0,1,class_0
2,0,0,0,0,0,0,0,1,2,1,1,1,4,0,0,1,2,class_0
1,0,0,0,0,1,0,1,1,3,2,3,1,7,2,1,1,3,class_0
3,1,1,1,1,1,0,1,1,4,2,3,3,6,2,1,1,6,class_0
1,0,0,0,0,0,0,1,1,3,2,1,2,3,2,1,1,2,class_0
2,0,0,0,0,1,0,1,1,4,2,3,1,3,2,1,1,6,class_0
2,1,0,0,1,1,0,1,1,2,1,3,2,4,1,1,1,4,class_0
2,1,0,0,0,0,0,1,1,3,1,1,3,7,2,1,1,3,class_0
1,0,0,0,0,0,0,0,1,2,2,2,2,7,2,0,0,1,class_1
1,1,0,0,0,0,0,1,1,2,2,1,2,7,1,0,0,1,class_1
3,0,0,0,0,0,0,0,2,1,2,3,1,7,0,1,1,1,class_1
2,0,0,0,0,0,0,0,1,2,1,3,2,4,0,1,1,1,class_1
2,1,1,1,1,1,0,1,1,2,2,2,2,3,2,1,1,7,class_1
3,1,0,0,1,0,0,1,1,3,2,2,2,1,1,1,1,3,class_1
2,1,0,0,0,1,0,0,1,2,1,3,2,3,0,1,1,2,class_1
1,1,0,0,0,0,0,1,1,4,2,3,1,7,1,0,1,4,class_1
2,1,0,0,0,1,0,1,1,2,2,2,2,1,1,1,1,3,class_1
1,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,1,1,class_1
3,1,0,0,0,0,0,1,1,2,1,1,2,2,1,1,1,1,class_1
1,1,1,0,1,1,0,1,1,3,1,3,2,4,0,1,1,3,class_1
2,1,0,0,0,0,0,1,1,2,2,2,2,7,1,1,1,1,class_1
1,1,1,0,1,1,0,0,1,2,1,2,2,3,1,0,1,1,class_1
1,1,1,0,0,1,0,0,1,2,2,1,2,2,1,0,0,1,class_1
1,1,0,0,1,1,0,0,1,3,2,3,2,3,2,0,0,1,class_1
1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,1,class_1
1,1,0,0,0,1,0,1,1,2,2,2,2,4,2,1,1,2,class_1
2,1,1,0,0,1,0,0,1,2,2,2,2,4,1,0,1,2,class_1
3,1,1,0,0,1,0,1,1,2,1,2,2,7,2,1,1,2,class_1
2,1,0,0,1,1,0,1,1,3,2,1,2,3,1,1,1,2,class_1
1,1,1,0,1,1,0,1,1,3,2,3,2,3,2,1,1,6,class_1
3,1,1,0,1,1,0,1,1,3,2,3,2,7,1,1,1,3,class_1
2,0,0,0,0,0,0,1,1,3,1,1,1,7,0,0,0,1,class_1
2,1,1,0,1,1,0,0,1,3,2,3,2,3,1,1,1,3,class_1
1,1,0,0,0,0,0,1,1,3,2,2,2,2,1,0,1,1,class_1
2,0,0,0,0,0,0,1,1,2,1,1,2,1,0,1,1,1,class_1
2,1,0,0,0,1,0,1,1,3,1,3,2,3,1,1,1,2,class_1
1,0,0,0,0,0,0,1,1,3,2,2,2,5,2,0,1,4,class_1
1,0,0,0,0,0,0,0,1,2,2,1,1,7,0,1,0,1,class_1
2,1,0,0,0,1,0,1,1,2,1,1,1,0,2,0,0,1,class_1
1,1,0,0,0,1,0,1,1,2,2,2,2,4,2,1,1,1,class_1
1,1,0,0,0,1,0,1,1,2,1,2,2,3,1,0,1,1,class_1
2,1,1,0,1,1,0,1,1,3,1,1,2,3,0,1,1,1,class_1
1,0,0,0,0,0,0,1,1,2,1,1,1,3,0,1,0,2,class_1
3,1,0,0,0,1,0,0,1,2,1,2,2,4,1,0,1,1,class_1
1,1,0,0,0,0,0,1,1,3,2,2,2,1,1,1,0,1,class_1
1,1,0,0,0,0,0,1,1,2,1,2,2,1,2,1,1,2,class_1
2,0,0,0,1,0,0,1,1,2,2,2,2,4,2,0,0,1,class_1
3,1,0,0,1,1,0,1,1,4,2,3,2,3,1,1,1,2,class_1
3,1,0,0,0,0,0,1,1,2,1,1,1,2,1,0,0,1,class_1
1,0,0,0,0,0,0,1,1,2,1,3,1,1,0,1,1,1,class_1
2,1,1,0,0,1,0,0,1,3,1,2,2,3,2,0,1,2,class_1
3,1,0,0,0,1,0,0,1,2,2,1,2,1,1,0,0,1,class_1
1,1,0,0,0,1,0,1,1,2,1,3,3,4,2,1,1,1,class_1
1,1,1,0,0,0,0,1,1,2,1,3,2,7,1,1,1,2,class_1
1,0,0,0,0,0,0,0,1,2,1,1,2,7,1,0,1,1,class_1
1,1,0,0,0,0,0,0,1,2,2,2,2,1,1,1,1,1,class_1
2,1,0,0,1,1,0,0,1,2,1,3,2,1,0,1,1,3,class_1
1,1,0,0,0,1,0,1,1,2,2,1,1,3,1,0,0,2,class_1
3,1,0,0,1,1,0,0,1,1,2,2,2,2,2,1,1,3,class_1
2,1,0,0,0,1,0,0,1,2,2,3,1,3,0,0,0,1,class_1
3,1,0,0,0,1,0,0,1,3,2,3,2,7,2,1,1,2,class_1
3,1,1,0,0,0,0,1,1,2,1,1,2,2,1,1,1,2,class_1
2,1,0,0,0,0,0,0,1,2,1,2,2,4,0,0,0,1,class_1
1,1,0,0,1,1,0,0,1,2,1,3,1,7,2,1,1,1,class_1
2,0,0,0,0,0,1,0,1,2,1,3,2,4,1,0,1,1,class_1
1,1,1,0,1,1,0,1,1,3,2,2,2,7,2,1,1,2,class_1
1,1,0,0,0,0,0,1,1,2,2,2,2,4,1,0,1,1,class_1
2,1,1,0,1,1,0,1,1,2,2,2,3,1,1,1,0,1,class_1
1,1,0,0,0,0,0,0,1,2,1,2,2,4,1,1,1,1,class_1
2,1,0,0,0,0,0,0,1,2,1,2,2,2,2,0,0,2,class_1
1,1,0,0,0,0,0,1,1,2,2,2,2,4,2,0,1,1,class_1
1,1,1,1,1,1,0,0,1,2,1,3,2,7,1,1,1,3,class_1
1,1,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,1,class_1
2,1,0,0,0,0,0,1,1,2,2,2,2,4,1,1,0,1,class_1
3,1,0,0,1,1,0,1,1,3,2,3,2,3,2,1,1,2,class_1
3,1,0,0,0,0,0,0,1,4,2,2,2,3,1,1,0,1,class_1
1,1,0,0,0,0,0,1,1,2,1,1,2,7,2,0,1,1,class_1
2,1,0,0,0,0,0,1,1,2,1,1,1,4,0,0,0,1,class_1
2,0,0,0,0,0,0,0,1,2,2,2,2,3,2,0,1,2,class_1
1,0,0,0,0,0,0,0,1,2,1,1,1,7,0,0,0,1,class_1
1,0,0,0,0,0,0,0,1,1,1,1,2,2,0,1,1,1,class_1
1,1,0,0,0,0,0,0,1,2,2,2,2,2,2,0,1,1,class_1
1,1,0,0,0,1,0,0,1,2,1,1,2,4,1,0,1,2,class_1
3,1,0,0,1,1,0,1,1,2,2,1,2,1,2,1,1,4,class_1
