@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4}

@data
1.89,3240,0.14,0,0,0,7239,0,1,0,1.98,0,class_0
5.55,3608,0.5,2,1,0,7164,1,0,0,1.86,2,class_0
6.36,3388,0.13,2,0,0,4498,0,2,0,2.03,1,class_0
1.63,3142,0.52,1,0,0,4507,1,0,0,1.16,0,class_0
1.47,3551,0.32,0,0,0,4420,2,0,1,2.05,1,class_0
6.43,3138,0.44,1,0,0,3263,0,2,0,0.81,2,class_0
8.28,3151,0.64,2,0,0,4575,0,1,0,0.57,2,class_0
7.93,3138,0.46,2,1,0,4518,2,2,0,1.05,1,class_0
8.24,3140,0.5,1,1,0,7335,1,2,0,1.02,0,class_0
5.43,3076,0.48,1,1,1,6924,1,0,2,0.57,2,class_0
1.6,3124,0.24,1,0,0,3607,2,0,0,1.23,2,class_0
5.68,3148,0.53,2,0,1,4645,0,2,2,1.97,2,class_0
8.23,3139,0.4,1,0,0,4394,0,1,0,1.22,0,class_0
4.36,3420,0.65,0,1,1,3767,2,0,1,1.71,1,class_0
7.57,3130,0.42,1,0,0,4509,2,1,0,1.92,0,class_0
5.44,3150,0.31,2,1,0,3026,1,1,0,1.72,1,class_0
7.1,3447,0.47,1,1,0,7348,2,0,0,1.68,0,class_0
7.22,3465,0.52,2,0,0,6270,0,2,0,1.04,1,class_0
6.52,3164,0.4,0,0,0,4538,0,0,0,1.78,1,class_0
5.87,3090,0.54,2,0,0,3159,0,2,1,0.83,2,class_0
1.46,3146,0.44,2,1,0,4486,1,1,0,0.6,1,class_0
6.71,3406,0.5,2,1,0,4563,2,2,0,1.79,1,class_0
7.65,3119,0.53,2,0,0,4748,0,1,0,0.59,2,class_0
5.54,3143,0.45,1,1,0,4552,2,0,0,1.65,1,class_0
1.58,3522,0.13,0,0,0,4549,2,2,0,1.79,1,class_0
7.65,3168,0.13,1,1,0,3979,1,1,0,0.55,1,class_0
6.38,3125,0.66,2,1,0,4559,2,1,0,0.68,1,class_0
6.12,3132,0.13,2,0,1,7337,1,2,1,1.69,0,class_0
6.9,3132,0.18,1,1,0,4079,0,2,0,1.5,1,class_0
8.26,3133,0.47,2,1,0,3605,1,2,0,1.36,0,class_0
5.66,3425,0.14,0,1,0,3981,1,0,0,1.94,2,class_0
5.83,3389,0.45,1,1,0,3093,2,1,0,0.57,2,class_0
6.9,3223,0.6,0,1,1,4539,1,2,1,1.97,1,class_0
1.45,3131,0.48,2,1,0,6154,1,0,0,0.6,0,class_0
7.9,3531,0.28,0,1,1,6760,2,1,2,1.73,2,class_0
5.59,3473,0.13,2,0,0,4565,2,1,0,1.08,1,class_0
5.69,3129,0.13,2,0,1,3400,0,2,1,1.7,2,class_0
1.45,3120,0.48,1,1,0,3341,2,0,0,0.88,0,class_0
5.61,3140,0.46,1,0,0,5295,2,0,0,1.95,2,class_0
3.18,3117,0.46,1,0,0,4643,0,0,0,1.18,0,class_0
6.21,3468,0.6,0,1,1,4553,0,0,2,1.17,1,class_0
5.77,3167,0.57,0,1,0,3207,2,1,0,1.8,0,class_0
5.86,3405,0.14,0,1,0,4575,1,1,0,1.78,1,class_0
7.75,3139,0.53,1,1,0,7242,2,0,0,1.78,2,class_0
5.58,3070,0.13,1,1,0,7250,1,0,0,1.73,2,class_0
7.11,3603,0.44,0,1,1,4491,0,2,2,1.51,1,class_0
6.35,3189,0.49,0,1,0,4410,1,0,0,1.68,1,class_0
6.18,3123,0.14,2,1,0,3216,0,2,0,1.44,0,class_0
5.61,3505,0.46,0,1,1,3245,1,2,2,0.58,1,class_0
5.54,3115,0.57,2,1,0,6288,2,1,0,1.75,1,class_0
7.85,3570,0.57,2,1,1,3218,1,2,2,1.85,2,class_0
7.39,3559,0.13,2,0,0,5808,2,1,0,0.56,1,class_0
7.53,3124,0.42,2,1,1,4500,2,1,2,0.57,1,class_0
7.42,3486,0.13,0,0,0,5501,1,1,0,0.59,2,class_0
1.59,3478,0.48,0,0,0,3293,0,2,0,1.97,1,class_0
1.76,3134,0.53,1,1,0,4470,2,2,0,0.55,1,class_0
5.92,3119,0.52,2,1,0,7200,1,1,0,0.84,2,class_0
6.28,3507,0.62,0,1,1,3116,0,0,0,1.61,1,class_0
1.55,3147,0.2,2,1,1,3517,0,0,2,1.7,1,class_0
2.19,3344,0.52,0,0,0,7241,2,1,0,2,1,class_0
2.11,3131,0.34,1,0,0,3106,1,0,0,1.79,2,class_0
6.78,3505,0.46,1,0,1,5264,0,0,2,1.93,1,class_0
6.36,3553,0.53,0,1,1,7204,2,2,2,0.6,0,class_0
7.81,3139,0.14,2,1,0,4483,1,1,0,2.04,1,class_0
5.46,3169,0.43,0,0,0,3343,0,0,0,2.06,2,class_0
1.54,3138,0.26,0,0,1,5698,1,1,2,2.07,1,class_0
1.61,3152,0.63,2,0,0,3038,2,2,0,1.19,0,class_0
7.21,3125,0.59,1,1,0,4566,2,1,2,1.91,1,class_0
6.94,3122,0.52,2,0,1,3930,2,0,2,1.94,2,class_0
3.18,3372,0.14,0,1,0,3185,1,2,0,1.7,0,class_0
5.53,3265,0.13,2,0,0,4509,1,0,0,0.56,1,class_0
4.35,3466,0.5,2,1,0,4281,1,2,0,2.03,0,class_0
5.46,3124,0.51,1,0,0,7315,2,1,0,0.99,1,class_0
1.58,3625,0.42,2,1,0,5728,2,1,1,1.05,0,class_0
5.87,3133,0.14,1,1,1,4473,1,0,2,0.57,1,class_0
8.35,3146,0.45,1,1,1,3097,1,0,2,1.56,0,class_0
1.63,3123,0.62,2,0,0,6773,0,0,0,1.24,2,class_0
7.55,3152,0.35,2,1,0,4591,0,1,0,1.87,1,class_0
1.61,3613,0.39,1,1,0,4494,2,1,0,1.8,1,class_0
5.78,3152,0.49,1,0,0,3584,1,1,0,1.03,1,class_0
5.66,3135,0.2,2,1,0,7215,1,1,0,1.89,0,class_0
1.58,3147,0.41,1,0,0,7083,2,0,0,0.6,1,class_0
6.03,3136,0.51,2,0,0,4540,0,2,0,1.08,0,class_0
1.43,3228,0.18,0,1,0,6098,2,0,0,1.58,2,class_0
1.5,3126,0.14,1,0,0,4755,0,0,0,1.86,1,class_0
4,3139,0.47,1,0,0,5725,2,0,0,1.81,1,class_0
6.69,3117,0.13,2,1,0,3585,0,1,0,0.7,0,class_0
6.13,3149,0.52,1,1,0,3376,1,1,0,1.84,0,class_0
4.07,3121,0.34,1,0,0,4538,1,1,0,1.38,0,class_0
1.56,3140,0.44,2,0,0,7283,0,0,1,1.75,2,class_0
5.49,3483,0.13,2,1,0,7219,2,2,0,1.03,0,class_0
5.46,3583,0.25,1,0,0,4533,2,1,0,1.63,1,class_0
2.1,3345,0.36,0,1,0,7341,1,2,0,1.96,0,class_0
5.87,3119,0.31,2,1,1,4589,2,2,2,0.73,1,class_0
7.19,3500,0.13,0,1,1,3541,0,0,2,1.72,2,class_0
1.94,3125,0.65,2,1,0,4686,1,1,0,0.55,1,class_0
1.48,3118,0.48,2,1,0,4495,0,1,0,1.44,1,class_0
1.66,3519,0.49,0,0,0,3294,0,2,0,1.29,1,class_0
6.9,3140,0.14,2,1,1,4410,0,0,2,0.58,1,class_0
5.55,3246,0.49,1,0,0,6339,2,0,0,1.25,2,class_0
2.26,3096,0.47,0,0,1,3390,0,1,2,1.39,1,class_0
7.77,3090,0.43,0,0,1,3117,0,2,2,0.85,1,class_0
5.6,3144,0.62,1,0,0,3328,1,0,2,1.41,0,class_0
5.58,3106,0.49,1,1,0,5437,0,1,0,1.47,2,class_0
7.68,3298,0.61,0,0,1,7214,0,2,0,0.91,1,class_0
1.92,3096,0.45,2,1,1,4556,0,1,2,1.24,1,class_0
6.7,3071,0.57,1,0,0,3370,0,1,0,1.22,1,class_0
7.11,3301,0.18,1,0,0,7282,0,0,2,0.55,1,class_0
2.07,3477,0.45,1,0,0,4537,0,2,1,1.66,0,class_0
2.05,3076,0.48,1,1,0,4473,2,1,2,1.44,1,class_0
2.19,3146,0.46,0,1,1,4480,0,1,2,1.43,1,class_0
1.86,3074,0.14,0,0,0,4511,0,0,0,1.09,1,class_0
5.87,3559,0.48,1,1,1,3277,0,1,0,1.43,2,class_0
5.93,3074,0.13,1,0,1,7200,0,0,2,0.56,0,class_0
