@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5}

@data
0.98,514.5,294,110.25,7,2,0,34,2,class_0
0.98,514.5,294,110.25,7,3,0,34,2,class_0
0.98,514.5,294,110.25,7,4,0,34,2,class_0
0.98,514.5,294,110.25,7,5,0,34,2,class_0
0.9,563.5,318.5,122.5,7,2,0,3,9,class_0
0.9,563.5,318.5,122.5,7,3,0,3,6,class_0
0.9,563.5,318.5,122.5,7,4,0,3,6,class_0
0.9,563.5,318.5,122.5,7,5,0,2,12,class_0
0.86,588,294,147,7,2,0,2,8,class_0
0.86,588,294,147,7,3,0,2,3,class_0
0.86,588,294,147,7,4,0,1,4,class_0
0.86,588,294,147,7,5,0,36,9,class_0
0.82,612.5,318.5,147,7,2,0,35,5,class_0
0.82,612.5,318.5,147,7,3,0,35,2,class_0
0.82,612.5,318.5,147,7,4,0,35,2,class_0
0.82,612.5,318.5,147,7,5,0,34,6,class_0
0.79,637,343,147,7,2,0,10,20,class_0
0.79,637,343,147,7,3,0,12,13,class_0
0.79,637,343,147,7,4,0,12,13,class_0
0.79,637,343,147,7,5,0,10,21,class_0
0.76,661.5,416.5,122.5,7,2,0,6,12,class_0
0.76,661.5,416.5,122.5,7,3,0,5,12,class_0
0.76,661.5,416.5,122.5,7,4,0,6,12,class_0
0.76,661.5,416.5,122.5,7,5,0,5,10,class_0
0.74,686,245,220.5,3.5,2,0,27,0,class_0
0.74,686,245,220.5,3.5,3,0,27,0,class_0
0.74,686,245,220.5,3.5,4,0,27,0,class_0
0.74,686,245,220.5,3.5,5,0,27,0,class_0
0.71,710.5,269.5,220.5,3.5,2,0,27,0,class_0
0.71,710.5,269.5,220.5,3.5,3,0,27,11,class_0
0.71,710.5,269.5,220.5,3.5,4,0,27,0,class_0
0.71,710.5,269.5,220.5,3.5,5,0,27,11,class_0
0.69,735,294,220.5,3.5,2,0,28,11,class_0
0.69,735,294,220.5,3.5,3,0,28,11,class_0
0.69,735,294,220.5,3.5,4,0,28,11,class_0
0.69,735,294,220.5,3.5,5,0,28,11,class_0
0.66,759.5,318.5,220.5,3.5,2,0,28,11,class_0
0.66,759.5,318.5,220.5,3.5,3,0,28,11,class_0
0.66,759.5,318.5,220.5,3.5,4,0,28,11,class_0
0.66,759.5,318.5,220.5,3.5,5,0,28,11,class_0
0.64,784,343,220.5,3.5,2,0,11,35,class_0
0.64,784,343,220.5,3.5,3,0,11,35,class_0
0.64,784,343,220.5,3.5,4,0,11,35,class_0
0.64,784,343,220.5,3.5,5,0,11,35,class_0
0.62,808.5,367.5,220.5,3.5,2,0,30,11,class_0
0.62,808.5,367.5,220.5,3.5,3,0,29,11,class_0
0.62,808.5,367.5,220.5,3.5,4,0,29,11,class_0
0.62,808.5,367.5,220.5,3.5,5,0,29,11,class_0
0.98,514.5,294,110.25,7,2,0.1,6,7,class_1
0.98,514.5,294,110.25,7,3,0.1,6,7,class_1
0.98,514.5,294,110.25,7,4,0.1,6,7,class_1
0.98,514.5,294,110.25,7,5,0.1,6,7,class_1
0.9,563.5,318.5,122.5,7,2,0.1,10,15,class_1
0.9,563.5,318.5,122.5,7,3,0.1,12,12,class_1
0.9,563.5,318.5,122.5,7,4,0.1,10,12,class_1
0.9,563.5,318.5,122.5,7,5,0.1,9,16,class_1
0.86,588,294,147,7,2,0.1,7,13,class_1
0.86,588,294,147,7,3,0.1,8,7,class_1
0.86,588,294,147,7,4,0.1,7,8,class_1
0.86,588,294,147,7,5,0.1,6,14,class_1
0.82,612.5,318.5,147,7,2,0.1,5,8,class_1
0.82,612.5,318.5,147,7,3,0.1,5,6,class_1
0.82,612.5,318.5,147,7,4,0.1,5,6,class_1
0.82,612.5,318.5,147,7,5,0.1,4,10,class_1
0.79,637,343,147,7,2,0.1,18,25,class_1
0.79,637,343,147,7,3,0.1,19,17,class_1
0.79,637,343,147,7,4,0.1,19,16,class_1
0.79,637,343,147,7,5,0.1,18,26,class_1
0.76,661.5,416.5,122.5,7,2,0.1,15,16,class_1
0.76,661.5,416.5,122.5,7,3,0.1,14,16,class_1
0.76,661.5,416.5,122.5,7,4,0.1,15,16,class_1
0.76,661.5,416.5,122.5,7,5,0.1,14,16,class_1
0.74,686,245,220.5,3.5,2,0.1,0,22,class_1
0.74,686,245,220.5,3.5,3,0.1,0,32,class_1
0.74,686,245,220.5,3.5,4,0.1,0,22,class_1
0.74,686,245,220.5,3.5,5,0.1,0,32,class_1
0.71,710.5,269.5,220.5,3.5,2,0.1,11,32,class_1
0.71,710.5,269.5,220.5,3.5,3,0.1,11,32,class_1
0.71,710.5,269.5,220.5,3.5,4,0.1,11,32,class_1
0.71,710.5,269.5,220.5,3.5,5,0.1,11,32,class_1
0.69,735,294,220.5,3.5,2,0.1,11,32,class_1
0.69,735,294,220.5,3.5,3,0.1,11,33,class_1
0.69,735,294,220.5,3.5,4,0.1,11,32,class_1
