@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute class {class_0,class_1,class_2,class_3}

@data
0,0,58.7652,0,0,0,0,0,14.5,261,2.6,156,1718,137.95,172,190,12.2,400,class_0
0,0,70.0726,1,1,1,1,2,1.4,176,3.48,210,516,96.1,55,151,12,1012,class_0
0,0,54.7406,0,1,0,0,2,1.8,244,2.54,64,6121.8,60.63,92,183,10.3,1925,class_0
0,1,70.5599,0,0,1,0,0,12.6,200,2.74,140,918,147.25,143,302,11.5,51,class_0
0,1,53.7139,0,1,0,0,1,1.4,259,4.16,46,1104,79.05,79,258,12,3762,class_0
0,1,59.1376,0,1,1,0,1,3.6,236,3.52,94,591,82.15,95,71,13.6,304,class_0
0,1,56.2218,1,0,0,1,0,0.8,348,2.27,43,728,71,260,156,11,1217,class_0
0,1,52.1834,0,1,0,1,1,2.7,274,3.15,159,1533,117.8,128,224,10.5,769,class_0
0,0,53.9302,0,1,0,0,0,11.4,178,2.8,588,961,280.55,200,283,12.4,131,class_0
0,1,59.9535,0,1,0,1,1,5.1,374,3.51,140,1919,122.45,135,322,13,1356,class_0
1,1,64.1889,1,1,0,0,1,0.6,252,3.83,41,843,65.1,83,336,11.4,3445,class_0
0,0,56.2765,0,1,1,0,1,3.4,271,3.63,464,1376,120.9,55,173,11.6,673,class_0
0,1,55.9671,0,0,0,0,0,17.4,395,2.94,558,6064.8,227.04,191,214,11.7,264,class_0
0,1,54.4394,0,0,0,0,2,21.6,175,3.31,221,3697.4,101.91,168,80,12,77,class_0
0,1,44.9473,0,0,0,0,0,17.2,222,3.23,209,1975,189.1,195,144,13,549,class_0
0,1,41.3854,0,1,0,0,1,3.6,260,2.54,172,7277,121.26,158,124,11,321,class_0
1,1,53.9959,0,1,0,1,1,1.8,262,3.34,101,7277,82.56,158,286,10.6,4523,class_0
0,0,61.7276,0,0,0,1,0,7.1,334,3.01,150,6931.2,180.6,118,102,12,223,class_0
0,1,36.627,0,1,0,0,1,3.3,383,3.53,102,1234,137.95,87,234,11,3244,class_0
0,0,55.3922,0,1,0,1,1,0.7,282,3,52,9066.8,72.24,111,563,10.6,2297,class_0
1,0,46.6694,0,1,1,1,1,1.3,304,3.34,105,11046.6,104.49,55,358,11,4467,class_0
0,0,33.6345,0,1,0,1,1,6.8,1480,3.26,96,1215,151.9,140,226,11.7,1350,class_0
1,1,33.6947,0,1,0,0,1,2.1,253,3.54,122,8778,56.76,118,344,11,4453,class_0
0,1,61.1526,0,1,0,1,1,0.8,227,3.82,58,678,97.65,108,233,11,708,class_0
0,0,53.5086,0,1,0,1,1,1.1,257,3.36,43,1080,106.95,73,128,10.6,2598,class_0
0,0,67.4086,0,1,0,1,1,2.6,273,3.1,94,6456.2,56.76,108,214,11,1000,class_0
0,0,39.1978,0,0,0,0,0,1.3,288,3.4,262,5487.2,73.53,125,254,11,1434,class_0
0,1,60.7064,0,0,1,1,1,1.3,302,2.75,58,1523,43.4,112,329,13.2,3090,class_0
1,1,48.846,0,1,0,1,1,1.2,258,3.57,79,2201,120.9,76,410,11.5,4196,class_0
0,0,51.9206,0,1,0,0,1,8.4,558,3.99,280,967,89.9,309,278,11,1827,class_0
0,0,43.5181,0,0,0,0,2,17.1,674,2.53,207,2078,182.9,598,268,11.5,1191,class_0
0,0,51.9425,0,1,0,0,2,12.2,394,3.08,111,2132,155,243,165,11.6,71,class_0
0,0,47.9452,0,1,0,1,1,6.3,436,3.02,75,2176,170.5,104,236,10.6,1690,class_0
0,1,67.4114,1,1,0,1,1,7.2,247,3.72,269,1303,176.7,91,360,11.2,890,class_0
0,0,63.2635,0,1,0,0,1,14.4,448,3.65,34,1218,60.45,318,385,11.7,2540,class_0
1,0,56.0137,0,1,0,1,2,1.3,250,3.5,48,1138,71.3,100,81,12.9,4050,class_0
0,1,47.217,0,1,0,1,1,2.1,262,3.48,58,2045,89.9,84,225,11.5,3358,class_0
0,1,45.6071,0,1,0,0,2,5,325,3.47,110,2460,246.45,56,430,11.9,460,class_0
0,0,76.7091,0,0,1,1,0,1.4,206,3.13,36,1626,86.8,70,145,12.2,388,class_0
0,0,53.9165,0,1,0,0,1,3.2,201,3.11,178,1212,159.65,69,188,11.8,750,class_0
0,1,51.4689,1,1,0,1,1,2.3,178,3,145,746,178.25,122,119,12,552,class_0
