@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15}

@data
85,10,class_0
85,11,class_0
85,7,class_0
85,12,class_0
85,10,class_0
85,9,class_0
85,16,class_0
85,7,class_0
86,10,class_0
86,9,class_0
86,10,class_0
86,13,class_0
86,12,class_0
86,11,class_0
86,10,class_0
86,11,class_0
87,7,class_0
87,10,class_0
87,10,class_0
87,11,class_0
87,9,class_0
87,9,class_0
87,9,class_0
87,7,class_0
87,10,class_0
87,8,class_0
87,6,class_0
87,12,class_0
87,14,class_0
87,11,class_0
88,8,class_0
88,7,class_0
88,7,class_0
88,9,class_0
88,8,class_0
88,8,class_0
88,9,class_0
88,10,class_0
88,10,class_0
88,11,class_0
88,8,class_0
88,13,class_0
85,13,class_1
85,13,class_1
85,15,class_1
85,16,class_1
85,15,class_1
85,14,class_1
85,13,class_1
85,12,class_1
85,15,class_1
85,12,class_1
86,13,class_1
86,17,class_1
86,14,class_1
86,14,class_1
86,14,class_1
86,18,class_1
86,15,class_1
86,15,class_1
86,18,class_1
86,16,class_1
86,17,class_1
86,21,class_1
86,15,class_1
86,13,class_1
86,15,class_1
86,18,class_1
86,15,class_1
86,11,class_1
87,16,class_1
87,16,class_1
87,13,class_1
87,14,class_1
87,17,class_1
87,13,class_1
87,14,class_1
87,12,class_1
87,12,class_1
87,10,class_1
87,11,class_1
88,12,class_1
88,16,class_1
88,15,class_1
88,15,class_1
88,12,class_1
88,12,class_1
88,12,class_1
88,10,class_1
88,11,class_1
88,16,class_1
88,14,class_1
85,11,class_2
85,13,class_2
85,9,class_2
85,10,class_2
85,14,class_2
85,12,class_2
85,10,class_2
85,10,class_2
85,12,class_2
86,15,class_2
86,12,class_2
86,12,class_2
86,13,class_2
86,16,class_2
86,13,class_2
86,13,class_2
86,12,class_2
87,13,class_2
87,11,class_2
87,13,class_2
87,9,class_2
87,16,class_2
87,10,class_2
87,12,class_2
87,8,class_2
87,9,class_2
87,11,class_2
87,14,class_2
88,13,class_2
88,10,class_2
88,13,class_2
88,10,class_2
88,11,class_2
88,9,class_2
88,10,class_2
88,11,class_2
88,12,class_2
88,11,class_2
85,23,class_3
85,18,class_3
86,16,class_3
86,19,class_3
86,20,class_3
87,19,class_3
88,20,class_3
85,4,class_4
87,3,class_4
87,3,class_4
87,5,class_4
87,3,class_4
87,5,class_4
87,6,class_4
87,1,class_4
88,4,class_4
88,5,class_4
88,4,class_4
85,5,class_5
85,8,class_5
85,9,class_5
85,7,class_5
85,11,class_5
85,7,class_5
85,6,class_5
85,10,class_5
86,9,class_5
86,8,class_5
86,8,class_5
86,9,class_5
87,7,class_5
87,6,class_5
87,10,class_5
87,5,class_5
87,8,class_5
87,10,class_5
87,9,class_5
87,8,class_5
87,7,class_5
88,8,class_5
88,3,class_5
88,7,class_5
88,8,class_5
88,8,class_5
88,4,class_5
85,6,class_6
85,8,class_6
85,9,class_6
85,11,class_6
85,13,class_6
85,14,class_6
85,8,class_6
85,10,class_6
85,10,class_6
86,7,class_6
86,7,class_6
86,12,class_6
86,10,class_6
86,11,class_6
86,16,class_6
87,13,class_6
87,10,class_6
87,8,class_6
87,14,class_6
87,11,class_6
87,10,class_6
87,11,class_6
87,12,class_6
87,10,class_6
87,12,class_6
87,10,class_6
87,14,class_6
88,8,class_6
88,8,class_6
88,12,class_6
88,11,class_6
88,13,class_6
88,10,class_6
88,12,class_6
88,11,class_6
88,12,class_6
88,14,class_6
88,13,class_6
88,10,class_6
88,11,class_6
85,6,class_7
85,4,class_7
85,9,class_7
85,7,class_7
85,3,class_7
86,4,class_7
86,6,class_7
87,8,class_7
87,5,class_7
87,6,class_7
87,4,class_7
87,5,class_7
87,5,class_7
88,7,class_7
88,3,class_7
88,5,class_7
88,11,class_7
88,5,class_7
88,7,class_7
88,9,class_7
88,5,class_7
85,16,class_8
85,23,class_8
85,19,class_8
85,16,class_8
85,16,class_8
86,17,class_8
86,21,class_8
86,22,class_8
88,23,class_8
85,24,class_9
85,18,class_10
85,20,class_10
85,16,class_10
85,19,class_10
85,22,class_10
85,19,class_10
86,17,class_10
86,17,class_10
86,18,class_10
86,17,class_10
86,20,class_10
86,16,class_10
86,16,class_10
87,20,class_10
87,16,class_10
87,15,class_10
88,22,class_10
88,16,class_10
88,17,class_10
88,16,class_10
88,21,class_10
88,17,class_10
88,18,class_10
