@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute class {class_0,class_1}

@data
160,12,5.73,23.11,0,49,25.3,97.2,52,class_0
144,0.01,4.41,28.61,1,55,28.87,2.06,63,class_0
170,7.5,6.41,38.03,0,51,31.99,24.26,58,class_0
134,13.6,3.5,27.78,0,60,25.99,57.34,49,class_0
114,4.08,4.59,14.6,0,62,23.11,6.72,58,class_0
132,0,5.8,30.96,0,69,30.11,0,53,class_0
206,6,2.95,32.27,1,72,26.81,56.06,60,class_0
134,14.1,4.44,22.39,0,65,23.09,0,40,class_0
146,10.5,8.29,35.36,0,78,32.73,13.89,53,class_0
158,2.6,7.46,34.07,0,61,29.3,53.28,62,class_0
124,14,6.23,35.96,0,45,30.09,0,59,class_0
106,1.61,1.74,12.32,1,74,20.92,13.37,20,class_0
124,4,12.42,31.29,0,54,23.23,2.06,42,class_0
145,9.1,5.24,27.55,1,59,20.96,21.6,61,class_0
146,0,6.62,25.69,1,60,28.07,8.23,63,class_0
136,2.52,3.95,25.63,1,51,21.86,0,45,class_0
158,1.02,6.33,23.88,1,66,22.13,24.99,46,class_0
122,6.6,5.58,35.95,0,53,28.07,12.55,59,class_0
126,8.75,6.53,34.02,1,49,30.25,0,41,class_0
122,4.26,4.44,13.04,1,57,19.49,48.99,28,class_0
136,11.2,5.81,31.85,0,75,27.68,22.94,58,class_0
118,0.28,5.8,33.7,0,60,30.98,0,41,class_0
130,2.61,2.72,22.99,0,51,26.29,13.37,51,class_0
162,7.4,8.55,24.65,0,64,25.71,5.86,58,class_0
116,1.91,7.56,26.45,0,52,30.01,3.6,33,class_0
152,0.9,9.12,30.23,1,56,28.64,0.37,42,class_0
134,8.08,1.55,17.5,0,56,22.65,66.65,31,class_0
126,5.1,2.96,26.5,1,55,25.52,12.34,38,class_0
