@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1}

@data
14,1088,3,326,16.79,87.8,25.6,class_0
40,1075,2,264,16.07,86.2,19.95,class_0
33,1068,3,317,16.57,88.3,20.62,class_0
15,1045,5,338,16.3,83.9,27.14,class_0
26,1045,5,293,17.25,83.6,21.05,class_0
25,1033,8,263,15.91,93.7,29.48,class_0
22,1028,7,343,17.41,78.3,24.84,class_0
43,1022,4,333,16.57,75.2,17.42,class_0
49,1017,5,328,16.01,97,25.96,class_0
48,1011,10,304,16.85,77.3,27.69,class_0
35,1001,5,358,15.95,74.2,20.07,class_0
3,999,4,295,15.49,86.4,15.71,class_0
41,999,9,330,15.72,61.2,14.58,class_0
30,997,8,316,15.92,79.5,22.19,class_0
11,995,7,285,16.18,92.1,17.8,class_0
23,988,3,315,16.76,67.9,15.36,class_0
16,985,6,330,16.61,71.4,15.69,class_0
5,983,16,333,16.83,88.3,26.56,class_0
46,982,19,309,16.23,87.5,26.53,class_0
2,981,11,314,15.98,80.9,19.14,class_0
17,975,5,394,16.85,44.8,19.72,class_0
24,975,10,322,16.42,67.7,20.79,class_0
21,973,10,335,16.5,80.7,24.61,class_0
47,968,7,292,17.08,90.6,18.16,class_0
0,964,6,313,16.37,69.6,13.84,class_0
27,917,18,288,14.73,89.1,21.79,class_0
12,977,14,347,15.8,74.6,24.41,class_1
34,958,16,306,16.52,71.5,21.43,class_1
28,925,56,248,16.35,78.1,20.33,class_1
1,923,31,401,15.32,96.5,50.1,class_1
36,908,40,261,14.48,92.1,30.49,class_1
44,904,54,225,16.5,84.2,20.17,class_1
4,899,36,293,15.52,83,25.94,class_1
7,897,42,277,16.95,67.9,27.81,class_1
6,896,69,287,16.75,76.8,26.97,class_1
31,896,59,236,16.86,80.4,33.58,class_1
18,890,46,208,16.05,85.7,20.55,class_1
8,889,39,255,15.91,80.5,22.62,class_1
19,889,50,312,16.9,80.4,25.41,class_1
45,888,52,295,16.08,88.8,22.23,class_1
20,888,65,246,16.79,80.7,31.74,class_1
37,885,50,241,17.27,78.6,27.98,class_1
38,877,59,228,16.67,79.7,25.59,class_1
29,869,64,269,16.37,80.6,27.91,class_1
42,868,32,303,14.95,91.7,19.55,class_1
13,860,48,258,14.39,90.2,17.93,class_1
10,857,47,277,16.4,67.6,21.21,class_1
32,827,47,224,15.31,92.8,19.92,class_1
9,823,51,250,15.55,86.5,16.52,class_1
39,790,48,214,15.42,88.1,15.6,class_1
