@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute class {class_0,class_1,class_2}

@data
1,113,2,0,28,class_0
1,110,9,1,69,class_0
1,121,4,0,57,class_0
1,114,0,1,18,class_0
1,109,9,1,40,class_0
1,95,2,0,43,class_0
1,107,9,1,28,class_0
1,114,9,1,18,class_0
1,117,9,1,42,class_0
1,112,9,1,43,class_0
1,88,0,1,40,class_0
1,106,0,1,42,class_0
1,125,0,1,28,class_0
1,94,9,1,35,class_0
1,103,4,0,43,class_0
1,123,9,1,46,class_0
1,90,2,0,27,class_0
1,90,2,0,46,class_0
1,99,2,0,37,class_0
1,123,2,0,43,class_0
1,127,9,1,43,class_0
1,124,9,1,62,class_0
1,94,9,1,43,class_0
1,112,9,1,40,class_0
1,123,9,1,35,class_0
1,70,2,0,18,class_0
1,126,0,1,27,class_0
1,121,9,1,40,class_0
1,91,4,0,40,class_0
1,113,9,1,43,class_0
1,117,7,0,18,class_0
1,112,2,0,18,class_0
1,97,4,0,35,class_0
1,107,0,0,43,class_0
1,104,4,0,36,class_0
1,117,9,1,37,class_0
1,104,4,0,43,class_0
1,115,0,0,66,class_0
0,123,7,0,35,class_0
0,103,4,0,43,class_0
0,99,4,0,61,class_0
0,100,0,1,47,class_0
0,100,4,0,62,class_0
0,107,9,1,40,class_0
0,91,4,0,30,class_0
0,117,9,1,43,class_0
0,115,9,1,57,class_0
0,93,4,0,43,class_0
0,103,9,1,30,class_0
0,99,4,0,57,class_0
0,115,2,0,36,class_0
0,104,9,1,38,class_0
0,116,4,0,47,class_0
0,94,2,0,51,class_0
0,114,0,1,43,class_0
0,113,4,0,18,class_0
0,119,9,1,57,class_0
0,114,9,1,48,class_0
0,108,9,1,27,class_0
0,97,2,0,46,class_0
0,103,4,0,43,class_0
0,104,4,0,64,class_0
0,97,4,0,18,class_0
0,109,4,0,69,class_0
0,90,4,0,33,class_0
0,99,4,0,38,class_0
0,94,9,1,35,class_0
0,86,4,0,28,class_0
0,93,9,1,35,class_0
0,109,7,0,40,class_0
0,91,4,0,28,class_0
0,109,9,1,43,class_0
0,111,4,0,51,class_0
0,111,4,0,58,class_0
0,107,2,0,18,class_0
