@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute class {class_0,class_1}

@data
1,0,38.5,66,28,2,2,0,1,4,3,3,1,0,5.9,2,4,45,8.4,2,5,1,class_0
0,0,39.2,88,20,2,0,3,0,2,3,1,2,2,7,3,1,50,85,1,2,2,class_0
1,0,38.3,40,24,0,0,2,0,2,2,0,0,0,5,0,0,33,6.7,0,5,0,class_0
1,0,37.3,104,35,2,0,5,1,4,2,0,1,1,6.5,2,4,74,7.4,2,3.1,1,class_0
1,0,37,72,60,1,0,2,0,1,2,1,1,0,2,2,2,43,7.2,2,1,0,class_0
1,1,38.3,90,20,0,2,0,0,4,2,0,1,0,7,2,4,40,6.2,0,2.2,0,class_0
0,0,37.2,42,12,1,0,0,0,2,2,2,2,0,4,3,4,35,7,2,2.9,0,class_0
1,1,38,92,28,0,0,1,0,0,2,1,2,2,7.2,0,0,37,6.1,0,2.6,1,class_0
0,1,37.7,128,36,2,2,3,1,3,3,2,2,1,1.5,3,4,53,7.8,2,4.7,1,class_0
1,0,37.5,48,24,3,0,2,0,2,2,1,1,1,5.3,3,4,40,75,2,2.6,0,class_0
1,0,39.4,110,35,3,2,5,1,1,2,2,1,1,4.5,2,3,55,8.7,1,6.5,0,class_0
1,0,38.4,48,16,0,0,0,0,0,2,0,1,2,5.5,3,2,49,6.8,2,7.4,0,class_0
1,0,37.8,60,42,1,2,3,0,0,0,2,1,0,6.5,3,0,36,7,1,2,0,class_0
0,0,37.8,48,12,2,0,0,0,2,2,1,0,0,2,0,2,37,5.5,1,1.3,0,class_0
0,0,39.1,100,16,2,0,5,1,3,1,2,1,2,5,3,3,41,79,0,4.8,1,class_0
1,0,37.7,48,12,1,0,0,0,0,0,0,0,0,2,3,1,45,76,2,4.6,0,class_0
1,0,38.3,112,16,2,2,4,1,1,0,0,0,1,6,3,4,51,6,1,1,2,class_0
1,0,38.6,52,18,0,0,0,0,2,2,1,0,0,7,0,2,32,6.6,0,5,0,class_0
1,0,38,60,12,2,0,2,0,2,2,0,0,0,2,1,1,47,7,0,2.6,0,class_0
1,0,37.5,48,16,0,0,0,0,0,0,0,0,0,3.5,0,3,37,6.5,2,5,0,class_0
1,0,37.2,84,48,2,2,4,1,3,0,1,0,1,6.5,1,0,73,5.5,1,4.1,1,class_0
1,0,38.6,46,16,0,0,1,0,0,2,1,0,0,7,3,1,49,9.1,0,1.6,0,class_0
1,0,38.2,48,80,0,0,2,0,0,2,0,2,0,7.5,1,1,43,7.7,2,5.7,0,class_0
1,0,38.6,40,20,2,2,2,0,1,2,0,0,2,5,3,0,41,6.4,2,1.6,0,class_0
1,0,37.8,48,32,0,0,2,0,1,0,3,0,0,3,3,4,37,6.7,1,1.4,0,class_0
1,0,38.5,60,40,1,1,0,0,0,1,1,1,0,5,0,0,44,7.7,1,3.4,0,class_0
1,0,38.2,130,16,3,2,3,1,1,3,3,0,0,2,1,4,65,82,1,2,2,class_0
1,0,38.4,54,24,0,0,0,0,0,2,0,1,0,3,2,1,49,7.2,0,2,0,class_0
1,0,37.7,52,16,0,0,2,0,1,3,1,1,2,5.5,0,4,55,7.2,2,2,0,class_0
1,0,38,48,12,0,0,0,0,0,2,2,0,0,4.5,2,1,42,6.3,1,4.1,0,class_0
0,0,37.8,48,28,0,0,0,0,0,1,0,1,2,5,0,0,46,5.9,1,7,0,class_0
1,0,38.7,52,20,1,0,0,0,0,0,0,0,0,5,0,0,33,77,0,1.8,0,class_0
1,0,38,54,30,1,2,2,2,2,0,1,1,1,5,3,3,45,6.2,2,4.1,0,class_0
1,0,39,64,40,0,0,4,0,2,2,1,1,0,5.4,2,2,42,7.5,1,2.3,0,class_0
1,0,38.3,42,10,0,0,0,0,0,0,0,1,0,7.5,0,2,38,61,1,2,0,class_0
1,0,38.8,50,20,2,0,0,0,0,0,0,1,0,7,2,0,42,6.2,2,2,0,class_0
1,0,37.5,48,30,3,0,2,0,0,1,0,0,0,3,0,0,48,8.6,0,1,0,class_0
0,0,38.1,88,32,2,2,3,0,1,2,2,0,2,1,3,4,55,60,0,1.5,2,class_0
1,0,37.7,44,40,1,0,2,0,0,2,1,0,0,5.3,0,4,41,60,2,3.4,0,class_0
1,0,39.6,108,51,2,2,5,1,1,3,2,0,1,6.5,2,4,59,8,1,2.6,0,class_0
0,0,38.2,40,16,2,2,0,0,0,2,2,1,2,2,0,0,34,66,0,4.3,0,class_0
1,0,38.3,40,16,2,0,0,0,1,3,0,0,0,8.5,2,2,37,57,2,4.6,0,class_0
1,0,37.3,50,32,0,0,2,0,0,2,1,1,1,4.3,0,3,44,7,2,4.1,0,class_0
1,0,38,36,40,2,0,0,0,2,2,1,0,0,6.5,3,3,45,70,1,3,0,class_0
1,0,38.1,56,20,1,0,1,0,0,2,0,0,0,2,0,0,46,70,1,2.1,0,class_0
1,0,38.7,40,28,1,0,0,0,2,0,0,0,0,2,0,0,39,62,0,1,0,class_0
0,0,37.4,84,20,0,2,2,0,1,2,2,0,0,4.5,2,4,31,61,1,1,2,class_0
1,0,38,56,96,0,1,2,0,0,0,0,0,0,8,0,0,42,71,0,1,0,class_0
1,0,38,60,32,0,0,2,0,2,2,3,0,0,5.5,0,4,50,7,0,1,0,class_0
0,0,38.1,44,9,2,0,0,0,1,1,0,0,0,6.5,3,4,31,7.3,2,2,0,class_0
1,0,36,42,30,0,0,4,0,1,2,0,1,0,5.5,3,4,64,6.8,2,2,1,class_0
0,0,37.8,48,28,0,0,0,1,0,1,0,1,0,6,0,0,46,5.9,1,7,0,class_0
0,0,37.1,84,40,2,2,5,0,1,3,3,2,1,2,3,4,75,81,2,3.6,2,class_0
1,0,38.7,48,24,0,0,4,0,0,0,0,0,0,7.5,0,3,34,63,1,4.6,0,class_0
1,0,38.9,44,14,2,0,0,0,1,2,1,1,0,6.5,0,1,33,64,2,1,0,class_0
1,0,38.6,48,20,2,0,0,0,0,2,1,1,0,2,2,1,50,7.3,0,2,0,class_0
1,0,38,48,20,2,2,3,0,0,3,1,1,2,5,0,1,49,8.3,0,2,0,class_0
1,0,38.6,52,20,0,0,0,0,2,2,1,0,0,2,0,2,36,6.6,0,5,0,class_0
1,0,38,42,40,2,0,0,0,2,2,0,0,2,5,2,4,35,4.6,0,1.6,0,class_0
1,0,37.8,42,12,0,0,1,0,1,0,1,2,0,8.5,0,2,44,7.5,1,2.1,0,class_0
1,0,39.5,60,10,2,3,0,1,2,2,1,1,0,4.3,2,4,38,56,0,1,0,class_0
0,0,39.4,120,48,0,3,4,0,4,2,2,0,2,5.5,3,3,56,64,0,2,2,class_0
0,0,38.3,40,18,0,0,0,0,2,0,0,0,0,7.2,1,0,43,5.9,0,4.5,0,class_0
1,0,38.2,44,24,0,0,0,0,2,2,0,1,0,6.5,0,0,40,6.3,0,0.9,0,class_0
1,0,37.5,44,20,0,0,2,0,0,0,0,1,1,3,0,3,35,7.2,2,2.8,0,class_0
1,0,38.5,100,20,2,2,4,1,3,2,3,1,0,7,3,4,44,8.3,1,4.3,2,class_0
1,0,37.8,48,14,2,0,0,0,2,1,1,0,2,5.3,0,4,35,7.5,2,1.8,0,class_0
1,0,37.8,56,16,0,0,1,0,1,0,0,1,0,5,0,4,44,68,0,1,0,class_0
1,0,38.2,68,32,1,1,1,0,0,0,0,2,0,7.2,0,0,43,65,2,5,0,class_0
1,1,37.7,100,44,1,0,0,0,3,0,0,2,1,7,0,1,37,4.7,2,2,0,class_0
1,0,37.9,88,24,0,0,1,0,1,1,0,2,1,4.5,3,0,37,56,1,4.6,0,class_0
1,0,38,44,12,2,0,0,0,1,0,1,1,0,5.5,0,1,42,64,1,3.7,0,class_0
1,0,38.5,60,20,0,0,4,1,1,1,0,1,0,7.2,1,2,63,7.5,1,2.3,2,class_0
1,0,38.3,60,20,0,0,0,1,0,2,0,1,0,7,2,4,34,66,1,2.6,0,class_0
1,0,38.5,60,40,2,0,1,0,1,0,1,1,0,7,2,1,49,59,2,2,0,class_0
1,0,37.2,36,9,0,0,0,0,1,2,0,1,0,2,3,0,35,5.7,2,1.3,0,class_0
1,0,38.5,100,28,2,2,4,1,3,2,3,1,0,5.4,3,4,36,6,1,2.2,2,class_0
1,0,37.5,44,10,2,0,0,0,2,0,1,1,0,8.5,2,2,43,51,0,1,0,class_0
0,1,38.9,120,30,0,2,1,1,2,2,2,2,0,3,3,3,47,6.3,0,4.6,0,class_0
1,0,38.6,56,32,1,0,0,0,0,0,0,1,0,5.5,1,0,40,7,1,2.1,0,class_0
