@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8}

@data
6,5,6,6,class_0
6,5,6,7,class_0
9,6,6,6,class_0
5,4,6,6,class_0
6,5,7,6,class_0
8,5,6,6,class_0
6,5,5,6,class_0
8,7,7,5,class_0
7,6,5,6,class_0
5,5,6,7,class_0
7,6,6,6,class_0
6,5,6,7,class_0
7,8,6,5,class_0
6,7,6,6,class_0
6,6,6,6,class_0
6,6,7,6,class_0
4,6,6,6,class_0
6,5,7,5,class_0
6,6,6,6,class_0
7,6,6,7,class_0
7,7,6,6,class_0
7,7,6,5,class_0
6,6,6,5,class_0
7,5,7,6,class_0
6,6,5,7,class_0
6,7,6,6,class_0
6,6,5,6,class_0
6,5,6,6,class_0
6,7,7,6,class_0
5,5,6,6,class_0
6,6,6,6,class_0
6,4,5,6,class_0
7,5,5,6,class_0
5,8,6,6,class_0
5,3,6,7,class_0
6,6,6,6,class_0
6,5,7,6,class_0
7,6,6,6,class_0
7,7,6,5,class_0
5,5,6,6,class_0
7,6,6,5,class_0
6,5,6,6,class_0
6,5,6,5,class_0
6,5,6,6,class_0
6,6,7,6,class_0
6,6,6,6,class_0
7,7,6,6,class_0
6,6,6,6,class_0
5,5,6,7,class_0
6,5,5,6,class_0
6,5,6,6,class_0
5,6,6,6,class_0
6,6,7,6,class_0
6,7,6,6,class_0
7,9,6,5,class_0
5,4,6,6,class_0
6,4,6,6,class_0
6,5,6,6,class_0
6,5,6,7,class_0
6,5,6,6,class_0
6,6,6,6,class_0
7,5,5,6,class_0
6,4,6,6,class_0
6,7,7,6,class_0
6,7,6,6,class_0
7,6,6,5,class_0
5,6,7,6,class_0
6,6,7,6,class_0
6,6,6,7,class_0
5,5,6,6,class_0
7,7,7,5,class_0
6,7,6,5,class_0
8,5,6,5,class_0
7,7,6,6,class_0
8,7,6,6,class_0
7,5,6,6,class_0
7,6,6,6,class_0
8,7,6,6,class_0
5,6,6,6,class_0
6,6,7,7,class_0
6,5,7,7,class_0
5,6,6,6,class_0
7,6,6,6,class_0
6,7,6,6,class_0
6,5,5,6,class_0
5,5,6,6,class_0
5,6,6,6,class_0
5,6,5,6,class_0
7,7,7,6,class_0
7,5,5,6,class_0
5,6,6,6,class_0
6,7,6,6,class_0
7,6,6,6,class_0
8,6,6,5,class_0
5,5,6,7,class_0
6,7,7,6,class_0
8,6,6,6,class_0
5,5,6,6,class_0
5,6,6,7,class_0
6,5,5,6,class_0
8,6,6,5,class_0
7,5,5,7,class_0
6,6,6,6,class_0
5,6,7,6,class_0
7,5,6,6,class_0
5,6,5,7,class_0
5,7,6,6,class_0
6,6,6,6,class_0
6,6,6,6,class_0
8,7,6,6,class_0
6,5,6,6,class_0
5,6,6,6,class_0
5,5,6,6,class_0
7,6,6,6,class_0
4,4,6,7,class_0
5,6,6,6,class_0
6,6,5,6,class_0
6,6,5,6,class_0
6,7,6,6,class_0
5,6,7,6,class_0
6,6,6,6,class_0
8,8,5,6,class_0
6,7,6,6,class_0
5,4,6,7,class_0
7,6,5,6,class_0
6,5,6,5,class_0
6,4,6,5,class_0
9,7,6,6,class_0
6,8,7,6,class_0
6,5,6,6,class_0
8,6,6,6,class_0
6,7,6,6,class_0
5,5,6,6,class_0
6,5,5,6,class_0
4,4,6,8,class_0
5,4,5,5,class_1
5,5,5,5,class_1
6,6,5,5,class_1
4,4,5,7,class_1
6,6,4,5,class_1
4,5,6,5,class_1
6,6,6,6,class_1
5,4,4,5,class_1
5,5,5,5,class_1
5,5,5,6,class_1
5,6,5,5,class_1
6,4,5,6,class_1
5,5,6,6,class_1
5,7,6,5,class_1
7,6,5,5,class_1
4,4,5,6,class_1
6,5,4,5,class_1
6,7,6,5,class_1
6,5,5,5,class_1
5,4,6,5,class_1
5,5,6,5,class_1
6,7,5,4,class_1
6,6,5,5,class_1
6,5,5,5,class_1
7,6,5,6,class_1
6,4,6,6,class_1
6,6,5,5,class_1
5,5,5,6,class_1
6,5,5,6,class_1
5,3,5,7,class_1
6,4,5,6,class_1
7,5,5,5,class_1
6,6,5,5,class_1
4,4,5,6,class_1
5,3,5,6,class_1
4,4,6,6,class_1
5,3,6,6,class_1
5,6,5,5,class_1
6,5,5,6,class_1
5,5,5,5,class_1
4,4,5,6,class_1
6,5,5,5,class_1
5,4,6,5,class_1
5,5,5,5,class_1
5,3,6,6,class_1
5,5,6,5,class_1
6,5,5,5,class_1
4,5,6,6,class_1
6,6,5,5,class_1
5,4,5,6,class_1
5,5,5,5,class_1
6,5,5,6,class_1
4,4,5,6,class_1
5,4,4,5,class_1
5,4,5,5,class_1
5,5,4,5,class_1
4,4,5,6,class_1
4,4,5,6,class_1
5,4,5,5,class_1
5,4,5,6,class_1
5,5,5,6,class_1
5,5,5,6,class_1
7,6,7,4,class_1
6,6,6,5,class_1
6,5,5,6,class_1
6,6,6,5,class_1
5,6,5,5,class_1
6,5,5,5,class_1
5,6,5,5,class_1
6,5,6,5,class_1
4,4,5,7,class_1
4,5,6,7,class_1
5,6,5,6,class_1
8,6,6,5,class_1
5,4,5,6,class_1
6,5,5,6,class_1
6,6,5,5,class_1
5,4,5,6,class_1
5,5,5,5,class_1
4,4,6,6,class_1
5,5,6,5,class_1
4,6,5,5,class_1
5,4,5,5,class_1
6,6,5,5,class_1
7,7,7,6,class_1
5,5,6,5,class_1
3,4,6,6,class_1
5,4,5,6,class_1
4,3,6,6,class_1
5,5,5,6,class_1
5,2,6,6,class_1
6,6,5,6,class_1
6,4,6,6,class_1
5,6,5,5,class_1
6,5,5,5,class_1
6,4,5,6,class_1
5,5,6,5,class_1
5,5,5,5,class_1
6,6,6,5,class_1
6,8,5,5,class_1
5,6,4,5,class_1
5,5,6,6,class_1
5,5,5,6,class_1
5,6,6,5,class_1
6,5,5,6,class_1
5,6,6,5,class_1
6,7,6,5,class_1
6,5,5,6,class_1
5,5,5,6,class_1
4,4,6,5,class_1
3,4,5,6,class_1
6,5,5,5,class_1
5,5,6,6,class_1
7,6,5,5,class_1
4,4,6,6,class_1
7,6,5,5,class_1
5,3,4,5,class_2
5,5,5,5,class_2
6,3,5,5,class_2
4,4,4,5,class_2
4,3,5,6,class_2
4,4,4,6,class_2
4,3,5,5,class_2
5,4,4,5,class_2
4,4,4,5,class_2
4,4,5,5,class_2
6,5,5,5,class_2
6,4,6,6,class_2
5,4,4,6,class_2
3,4,5,6,class_2
4,3,6,5,class_2
3,3,4,5,class_2
6,6,3,5,class_2
4,3,4,4,class_2
4,5,4,5,class_2
5,4,5,6,class_2
4,3,5,6,class_2
4,6,4,5,class_2
4,6,5,4,class_2
3,3,4,5,class_2
2,2,4,6,class_2
5,5,4,4,class_2
5,6,4,5,class_2
3,3,4,5,class_2
4,3,4,5,class_2
6,5,5,5,class_2
5,4,5,5,class_2
5,5,4,4,class_2
4,5,5,5,class_2
4,3,5,5,class_2
6,5,4,5,class_2
4,5,5,4,class_2
5,4,5,5,class_2
3,4,4,5,class_2
5,3,5,6,class_2
8,8,6,4,class_2
6,4,3,5,class_2
3,4,6,5,class_2
5,3,4,5,class_2
4,3,4,5,class_2
2,3,3,6,class_2
4,3,5,5,class_2
5,4,4,5,class_2
4,3,4,5,class_2
4,3,4,6,class_2
3,3,5,5,class_2
4,3,5,6,class_2
5,4,5,6,class_2
5,4,5,5,class_2
3,3,4,4,class_2
8,4,5,5,class_2
5,4,4,5,class_2
4,3,5,6,class_2
3,5,5,5,class_2
3,4,5,4,class_2
4,2,5,6,class_2
4,4,4,5,class_2
5,4,5,5,class_2
4,4,4,5,class_2
4,6,4,4,class_2
6,5,4,4,class_2
4,4,4,4,class_2
4,6,5,4,class_2
5,4,4,5,class_2
5,5,4,5,class_2
4,5,5,4,class_2
4,3,5,5,class_2
6,5,4,4,class_2
4,4,5,6,class_2
3,3,4,5,class_2
3,4,4,5,class_2
5,4,4,5,class_2
4,4,4,6,class_2
5,4,4,5,class_2
5,3,5,6,class_2
6,7,5,4,class_2
4,3,4,5,class_2
5,4,4,4,class_2
0,0,2,5,class_2
3,4,4,5,class_2
5,4,4,6,class_2
3,2,5,6,class_2
5,4,4,5,class_2
6,6,6,4,class_2
3,3,5,5,class_2
5,5,4,4,class_2
4,4,4,5,class_2
5,4,5,6,class_2
4,2,4,6,class_2
5,5,5,3,class_2
7,7,6,4,class_2
6,6,4,4,class_2
6,4,5,5,class_2
4,4,4,5,class_2
5,4,5,5,class_2
4,3,3,5,class_2
4,3,3,5,class_3
4,3,4,4,class_3
3,3,5,4,class_3
2,2,2,5,class_3
4,3,4,6,class_3
4,5,3,4,class_3
4,3,3,4,class_3
4,2,3,4,class_3
2,3,5,4,class_3
3,3,4,4,class_3
3,3,3,5,class_3
3,1,4,4,class_3
3,3,3,5,class_3
4,4,3,3,class_3
3,3,3,5,class_3
4,3,5,5,class_3
4,3,3,4,class_3
6,5,4,4,class_3
