@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute class {class_0,class_1}

@data
0,3,72,1,60,7,69,class_0
0,3,228,1,60,3,38,class_0
0,3,10,1,20,5,49,class_0
0,3,110,1,80,29,68,class_0
0,3,314,1,50,18,43,class_0
0,3,100,0,70,6,70,class_0
0,3,42,1,60,4,81,class_0
0,3,144,1,30,4,63,class_0
0,2,30,1,60,3,61,class_0
0,2,384,1,60,9,42,class_0
0,2,4,1,40,2,35,class_0
0,2,13,1,60,4,56,class_0
0,2,123,0,40,3,55,class_0
0,2,97,0,60,5,67,class_0
0,2,59,1,30,2,65,class_0
0,2,117,1,80,3,46,class_0
0,2,151,1,50,12,69,class_0
0,2,22,1,60,4,68,class_0
0,2,18,1,20,15,42,class_0
0,2,139,1,80,2,64,class_0
0,2,20,1,30,5,65,class_0
0,2,31,1,75,3,65,class_0
0,2,52,1,70,2,55,class_0
0,2,18,1,30,4,60,class_0
0,2,51,1,60,1,67,class_0
0,2,122,1,80,28,53,class_0
0,2,27,1,60,8,62,class_0
0,2,54,1,70,1,67,class_0
0,2,7,1,50,7,72,class_0
0,2,63,1,50,11,48,class_0
0,2,392,1,40,4,68,class_0
0,0,92,1,70,10,60,class_0
0,0,35,1,40,6,62,class_0
0,0,117,1,80,2,38,class_0
0,0,132,1,80,5,50,class_0
0,0,162,1,80,5,64,class_0
0,0,3,1,30,3,43,class_0
0,0,95,1,80,4,34,class_0
0,1,162,1,80,5,62,class_0
0,1,216,1,50,15,52,class_0
0,1,553,1,70,2,47,class_0
0,1,278,1,60,12,63,class_0
0,1,260,1,80,5,45,class_0
0,1,156,1,70,2,66,class_0
0,1,182,0,90,2,62,class_0
0,1,143,1,90,8,60,class_0
0,1,105,1,80,11,66,class_0
0,1,103,1,80,5,38,class_0
1,3,112,1,80,6,60,class_0
1,3,87,0,80,3,48,class_0
1,3,242,1,50,1,70,class_0
1,3,111,1,70,3,62,class_0
1,3,587,1,60,3,58,class_0
1,3,389,1,90,2,62,class_0
1,3,33,1,30,6,64,class_0
1,3,25,1,20,36,63,class_0
1,3,357,1,70,13,58,class_0
1,3,467,1,90,2,64,class_0
1,3,1,1,50,7,35,class_0
1,3,30,1,70,11,63,class_0
1,3,283,1,90,2,51,class_0
1,2,25,1,30,2,69,class_0
1,2,21,1,20,4,71,class_0
1,2,13,1,30,2,62,class_0
1,2,87,1,60,2,60,class_0
1,2,7,1,20,11,66,class_0
1,2,24,1,60,8,49,class_0
1,2,99,1,70,3,72,class_0
1,2,8,1,80,2,68,class_0
1,2,99,1,85,4,62,class_0
1,2,61,1,70,2,71,class_0
1,2,25,1,70,2,70,class_0
1,2,95,1,70,1,61,class_0
1,2,80,1,50,17,71,class_0
1,2,29,1,40,8,67,class_0
1,0,24,1,40,2,60,class_0
1,0,83,0,99,3,57,class_0
1,0,31,1,80,3,39,class_0
1,0,51,1,60,5,62,class_0
1,0,52,1,60,3,43,class_0
1,0,73,1,60,3,70,class_0
1,0,8,1,50,5,66,class_0
1,0,36,1,70,8,61,class_0
1,0,48,1,10,4,81,class_0
1,0,7,1,40,4,58,class_0
1,0,140,1,70,3,63,class_0
1,0,186,1,90,3,60,class_0
1,0,19,1,50,10,42,class_0
1,0,45,1,40,3,69,class_0
1,0,80,1,40,4,63,class_0
1,1,52,1,60,4,45,class_0
1,1,53,1,60,12,66,class_0
1,1,15,1,30,5,63,class_0
1,1,133,1,75,1,65,class_0
1,1,111,1,60,5,64,class_0
1,1,378,1,80,4,65,class_0
1,1,49,1,30,3,37,class_0
0,3,411,1,70,5,64,class_1
0,3,126,1,60,9,63,class_1
0,3,118,1,70,11,65,class_1
0,3,82,1,40,10,69,class_1
0,3,8,1,40,58,63,class_1
0,3,25,0,80,9,52,class_1
0,3,11,1,70,11,48,class_1
0,2,54,1,80,4,63,class_1
0,2,153,1,60,14,63,class_1
0,2,16,1,30,4,53,class_1
0,2,56,1,80,12,43,class_1
0,2,21,1,40,2,55,class_1
0,2,287,1,60,25,66,class_1
0,2,10,1,40,23,67,class_1
0,0,8,1,20,19,61,class_1
0,0,12,1,50,4,63,class_1
0,1,177,1,50,16,66,class_1
0,1,12,1,40,12,68,class_1
0,1,200,1,80,12,41,class_1
0,1,250,1,70,8,53,class_1
0,1,100,1,60,13,37,class_1
1,3,999,1,90,12,54,class_1
1,3,231,0,50,8,52,class_1
1,3,991,1,70,7,50,class_1
1,3,1,1,20,21,65,class_1
1,3,201,1,80,28,52,class_1
1,3,44,1,60,13,70,class_1
1,3,15,1,50,13,40,class_1
1,2,103,0,70,22,36,class_1
1,2,2,1,40,36,44,class_1
1,2,20,1,30,9,54,class_1
1,2,51,1,30,87,59,class_1
1,0,18,1,40,5,69,class_1
1,0,90,1,60,22,50,class_1
1,0,84,1,80,4,62,class_1
1,1,164,1,70,15,68,class_1
1,1,19,1,30,4,39,class_1
1,1,43,1,60,11,49,class_1
1,1,340,1,80,10,64,class_1
1,1,231,1,70,18,67,class_1
