@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute class {class_0,class_1}

@data
24,1,2,3,1,1,1,2,0,class_0
45,0,2,10,1,1,2,3,0,class_0
43,1,2,7,1,1,2,3,0,class_0
42,2,1,9,1,1,2,2,0,class_0
36,2,2,8,1,1,2,1,0,class_0
19,3,3,0,1,1,2,2,0,class_0
38,1,2,6,1,1,2,1,0,class_0
21,2,2,1,1,0,2,1,0,class_0
27,1,2,3,1,1,2,3,0,class_0
45,0,0,8,1,1,1,1,1,class_0
38,0,2,2,1,0,2,2,1,class_0
42,0,3,4,1,1,0,2,0,class_0
44,3,3,1,1,0,0,3,0,class_0
42,1,3,1,1,0,2,2,0,class_0
38,2,3,2,1,1,1,2,0,class_0
26,1,3,0,1,1,3,0,0,class_0
48,0,0,7,1,1,1,3,0,class_0
39,1,1,6,1,1,1,3,0,class_0
37,1,1,8,1,1,1,2,0,class_0
39,1,0,5,1,1,1,0,1,class_0
26,2,3,1,1,0,3,0,0,class_0
24,2,3,0,1,0,2,0,0,class_0
46,3,3,1,0,1,0,3,0,class_0
39,3,3,1,1,1,0,3,0,class_0
48,3,3,5,1,1,0,3,0,class_0
40,1,3,8,1,1,2,2,0,class_0
38,3,3,1,1,0,0,3,0,class_0
29,3,3,0,1,0,0,3,0,class_0
24,3,3,0,1,0,1,1,0,class_0
43,0,1,8,1,1,1,3,0,class_0
31,2,3,2,1,1,0,3,0,class_0
31,3,3,2,1,1,2,1,0,class_0
26,1,3,0,1,0,0,1,0,class_0
33,1,1,2,1,1,2,0,0,class_0
24,1,2,1,1,1,2,2,0,class_0
42,0,2,9,1,1,2,1,1,class_0
43,0,1,8,1,0,2,0,0,class_0
25,2,2,4,1,1,2,1,0,class_0
42,1,1,3,1,1,2,3,0,class_0
28,1,1,1,1,1,1,3,0,class_0
28,0,0,3,1,1,2,0,0,class_0
47,1,2,0,1,0,0,2,0,class_0
48,1,3,2,1,1,0,2,0,class_0
40,3,3,2,0,1,0,3,0,class_0
28,1,1,1,1,1,2,1,0,class_0
25,0,3,1,1,1,1,0,0,class_0
32,3,3,2,1,1,1,2,0,class_0
45,3,3,0,1,1,1,3,0,class_0
26,3,3,1,1,1,0,3,0,class_0
26,3,3,0,1,0,0,3,0,class_0
31,3,3,0,1,0,0,3,0,class_0
49,3,3,7,0,1,1,3,0,class_0
40,2,3,8,1,1,2,2,0,class_0
34,3,3,1,0,0,1,2,0,class_0
36,1,3,5,1,1,1,2,0,class_0
20,1,1,2,1,1,1,1,1,class_0
43,3,3,5,1,0,0,3,0,class_0
37,2,3,7,1,1,1,0,0,class_0
21,1,2,0,1,1,2,3,0,class_0
49,3,3,6,1,1,0,1,0,class_0
42,2,2,10,1,1,2,2,0,class_0
20,1,2,1,1,1,1,2,0,class_0
47,0,1,2,1,0,0,2,0,class_0
22,1,2,1,1,1,1,0,0,class_0
27,1,3,1,1,0,0,2,0,class_0
24,1,3,1,1,1,2,0,0,class_0
44,3,1,8,1,1,2,2,0,class_0
30,1,2,3,1,1,2,0,0,class_0
23,2,3,2,1,1,2,3,0,class_0
25,3,3,1,1,0,2,2,0,class_0
47,1,2,4,1,1,1,2,0,class_0
48,1,2,8,1,1,0,3,0,class_0
29,1,2,1,1,1,0,0,0,class_0
29,1,2,1,1,1,0,1,0,class_0
21,2,3,0,1,1,1,2,0,class_0
21,2,3,1,1,1,1,2,0,class_0
29,3,3,0,1,0,1,3,0,class_0
45,2,3,3,1,1,0,3,0,class_0
33,1,2,2,1,1,2,1,0,class_0
38,3,3,1,1,0,0,3,0,class_0
24,3,3,0,0,1,0,3,0,class_0
49,3,3,6,0,0,0,3,0,class_0
24,1,3,1,1,0,3,3,0,class_0
28,3,3,0,0,0,0,3,0,class_0
30,3,3,2,1,1,0,3,0,class_0
33,3,3,2,1,1,0,3,0,class_0
25,3,3,1,1,1,0,2,0,class_0
35,3,3,3,0,1,0,3,0,class_0
27,1,3,4,1,1,0,3,0,class_0
24,1,1,3,1,0,1,0,0,class_0
25,1,2,0,1,1,1,0,0,class_0
46,1,3,6,1,1,0,3,0,class_0
26,1,1,3,1,1,1,0,0,class_0
38,1,1,1,1,0,2,1,0,class_0
47,0,1,3,1,1,0,2,0,class_0
41,0,2,10,1,1,1,2,1,class_0
41,1,2,1,1,0,1,2,0,class_0
28,3,3,5,1,1,1,0,0,class_0
17,1,1,3,1,1,2,0,0,class_0
27,1,2,5,1,1,1,0,0,class_0
27,0,1,4,1,1,2,0,1,class_0
19,1,2,0,1,0,1,1,0,class_0
27,1,3,3,1,0,2,1,0,class_0
26,3,2,4,1,1,1,2,0,class_0
23,1,3,2,1,1,2,2,0,class_0
40,2,2,3,1,1,2,1,0,class_0
22,3,3,0,1,1,0,0,0,class_0
44,2,3,4,1,0,0,2,0,class_0
29,1,2,2,1,1,2,0,0,class_0
26,1,2,3,1,1,2,0,0,class_0
45,3,3,1,1,0,2,2,0,class_0
32,2,2,7,1,0,1,2,0,class_0
21,3,3,1,1,1,0,3,0,class_0
31,1,1,4,1,1,2,2,0,class_0
21,2,3,0,1,1,0,2,0,class_0
37,3,3,1,1,1,0,3,0,class_0
34,3,3,3,0,0,2,2,0,class_0
44,2,3,1,1,1,0,2,0,class_0
49,3,2,5,1,1,1,2,0,class_0
26,1,2,2,1,1,2,2,0,class_0
38,0,1,1,1,1,1,3,1,class_0
36,1,2,5,1,1,1,2,0,class_0
26,2,3,2,1,1,2,2,0,class_0
20,1,2,1,0,1,2,1,0,class_0
44,1,0,3,1,0,2,1,0,class_0
31,2,3,2,1,1,0,1,1,class_0
45,3,3,1,1,1,0,2,0,class_0
36,1,2,2,1,1,2,1,1,class_0
43,0,2,2,1,0,1,1,1,class_0
25,2,3,0,1,1,0,2,0,class_0
48,2,3,3,1,1,2,0,0,class_0
30,3,3,0,0,0,0,2,0,class_0
48,0,1,8,1,1,2,0,0,class_0
28,2,3,1,1,1,2,0,1,class_0
26,3,3,1,1,1,0,2,0,class_0
26,2,2,3,1,0,1,3,0,class_0
24,3,3,2,1,1,2,2,0,class_0
21,2,2,2,1,1,1,1,0,class_0
30,3,3,2,0,1,2,0,0,class_0
20,3,3,1,1,1,0,3,0,class_0
33,3,3,2,1,1,0,2,0,class_0
30,3,3,0,0,0,2,2,0,class_0
47,3,3,1,1,0,0,2,0,class_0
35,3,3,2,0,1,2,2,0,class_0
30,1,3,2,1,1,2,3,0,class_0
33,3,3,3,1,1,0,3,0,class_0
